combination,model_id,prediction_type,bin,left,right,closed,plot_midpoint,n,mean_gust,mean_observed,mean_prediction,mean_residual,sem,ci_lower,ci_upper,interval_rule,excluded_from_bins
R0c_all,final,LAD_OOF,1,4,6,"(left,right]",5,7647,5.1108016240077658,1.827660204285299,1.8355052378517507,-0.0078450335664513662,0.012892781351998516,-0.033114885016368459,0.017424817883465726,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,2,6,8,"(left,right]",7,8925,7.0585770317419572,1.8186008129231841,1.8039024561868255,0.014698356736358423,0.011850868036588464,-0.0085293446153549644,0.037926058088071812,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,3,8,10,"(left,right]",9,8475,9.0249321535273648,1.8095034046982952,1.7932750142743783,0.016228390423917004,0.012306993457571164,-0.0078933167529224753,0.040350097600756488,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,4,10,12,"(left,right]",11,6996,10.996969700404888,1.8448488346286536,1.8166022713180463,0.028246563310607188,0.013799195582577209,0.0012001399687558596,0.05529298665245852,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,5,12,14,"(left,right]",13,4653,12.98330110348657,1.815865772322939,1.8374433490239348,-0.021577576700995704,0.016754209614797087,-0.054415827545997997,0.011260674144006586,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,6,14,16,"(left,right]",15,3230,14.995944275280271,1.8157567917565984,1.8816387527199927,-0.065881960963394326,0.021052002998985513,-0.10714388684140594,-0.02462003508538272,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,7,16,18,"(left,right]",17,2288,16.993618895123888,1.929698564297166,1.9482036272975627,-0.01850506300039699,0.023542135733311733,-0.064647649037687993,0.027637523036894006,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,8,18,20,"(left,right]",19,1443,18.970478191362513,1.9324006246167751,1.9974887720666947,-0.065088147449919573,0.03181282323504888,-0.12744128099061539,-0.0027350139092237671,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,9,20,23,"(left,right]",21.5,1308,21.443425096867646,2.0830946123330754,2.100911227442368,-0.01781661510929259,0.038350889254449419,-0.092984358048013444,0.057351127829428271,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,10,23,26,"(left,right]",24.5,708,24.447598847965736,2.3459734996863637,2.182106102240581,0.1638673974457831,0.050743453016211741,0.064410229534008087,0.2633245653575581,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,11,26,30,"(left,right]",28,463,27.774082097327476,2.7031794250546493,2.6600658561656823,0.043113568888966627,0.066968510144521848,-0.088144710994296202,0.17437184877222944,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,12,30,45,"(left,right]",37.5,313,32.358147051387704,3.3066315319655755,3.3348991348099841,-0.028267602844407932,0.090686153269314396,-0.20601246325226416,0.14947725756344829,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,0,0,4,"(left,right]",2,361,3.1468144069087804,1.2298520379904698,1.1842366891551888,0.045615348835281129,0.059348618242656942,-0.070707942920326478,0.16193864059088872,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,1,4,6,"(left,right]",5,700,5.1422857134682793,1.1193850719823928,1.1532235335332264,-0.033838461550833289,0.04486684491342699,-0.12177747758115018,0.054100554479483608,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
