target,candidate,bin,lower,upper,n,events,mean_probability,observed_frequency,sparse,valid_prediction
wthr_gt5,temporal_model,8,0.026665378734377455,0.030480718872946417,2235,78,0.02815802657275091,0.0348993288590604,False,True
wthr_gt5,temporal_model,9,0.030480718872946417,0.04616876678298512,2991,115,0.03650157195909936,0.03844867937144768,False,True
wthr_gt5,temporal_model,10,0.04616876678298512,0.6106155275146594,3334,461,0.11331834363213707,0.13827234553089382,False,True
wthr_gt5,temporal_model,11,0.6106155275146594,1.0,0,0,,,True,True
wthr_gt100,temporal_model,0,0.0,0.01365837590374084,0,0,,,True,True
wthr_gt100,temporal_model,1,0.01365837590374084,0.013658378232654339,1254,6,0.013658376411880913,0.004784688995215311,False,True
wthr_gt100,temporal_model,2,0.013658378232654339,0.013658445484698944,1471,16,0.013658403461658199,0.010876954452753228,False,True
wthr_gt100,temporal_model,3,0.013658445484698944,0.013659226906539855,2307,17,0.013658663967029224,0.007368877329865626,False,True
wthr_gt100,temporal_model,4,0.013659226906539855,0.013663697281430283,1399,16,0.013660767227456459,0.01143674052894925,False,True
wthr_gt100,temporal_model,5,0.013663697281430283,0.01368017330746789,878,11,0.013669901982024375,0.012528473804100227,False,True
wthr_gt100,temporal_model,6,0.01368017330746789,0.013750190736370327,2038,20,0.013711056661022897,0.009813542688910697,False,True
wthr_gt100,temporal_model,7,0.013750190736370327,0.0141047810316215,2517,31,0.013878559597176513,0.012316249503377036,False,True
wthr_gt100,temporal_model,8,0.0141047810316215,0.015244201536983228,2235,35,0.014525890563775965,0.015659955257270694,False,True
wthr_gt100,temporal_model,9,0.015244201536983228,0.021800542502605543,2991,59,0.017594630073159628,0.01972584419926446,False,True
wthr_gt100,temporal_model,10,0.021800542502605543,0.5594652273266185,3334,301,0.06873028218359674,0.09028194361127774,False,True
wthr_gt100,temporal_model,11,0.5594652273266185,1.0,0,0,,,True,True
wthr_gt1000,temporal_model,0,0.0,0.001572655747328534,0,0,,,True,True
wthr_gt1000,temporal_model,1,0.001572655747328534,0.0015726557473295577,1254,0,0.0015726557473286769,0.0,False,True
wthr_gt1000,temporal_model,2,0.0015726557473295577,0.0015726557476134467,1471,1,0.001572655747406988,0.0006798096532970768,False,True
wthr_gt1000,temporal_model,3,0.0015726557476134467,0.0015726557659166958,2307,3,0.0015726557512275392,0.0013003901170351106,False,True
