target,month,start,end,lads,n,events,valid_prediction,model_brier,baseline_brier,brier_skill,mean_prediction,observed_rate,prediction_minus_observed,baseline_probability,baseline_minus_observed
any_gt1000,2024-02,2024-02-01,2024-02-29,111,3219,24,True,0.007386287635271842,0.007400638915220468,0.001939194725351423,0.007790948080020055,0.007455731593662628,0.0003352164863574267,0.008159475264738423,0.0007037436710757954
any_gt1000,2024-03,2024-03-01,2024-03-31,111,3441,31,True,0.008901122800708894,0.008928568473267258,0.003073916343984906,0.007976991391917715,0.009009009009009009,-0.0010320176170912944,0.008159475264738423,-0.0008495337442705857
wthr_gt0,2023-09,2023-09-30,2023-09-30,111,111,0,True,0.0011541271543303233,0.002336225700788757,0.505986449023026,0.033972422574997295,0.0,0.033972422574997295,0.04833451872925557,0.04833451872925557
wthr_gt0,2023-10,2023-10-01,2023-10-31,111,3441,183,True,0.04957645548455688,0.05037736669035356,0.015898234830722946,0.041950897224974346,0.05318221447253706,-0.011231317247562711,0.04833451872925557,-0.004847695743281484
wthr_gt0,2023-11,2023-11-01,2023-11-30,111,3330,199,True,0.05149381570374407,0.05631906700582068,0.08567704613391258,0.051527716827650075,0.05975975975975976,-0.008232042932109683,0.04833451872925557,-0.011425241030504185
wthr_gt0,2023-12,2023-12-01,2023-12-31,111,3441,231,True,0.05910197293980944,0.0629783217040099,0.0615505249952325,0.06971123987347409,0.06713164777680906,0.0025795920966650288,0.04833451872925557,-0.01879712904755349
wthr_gt0,2024-01,2024-01-01,2024-01-31,111,3441,397,True,0.08942361651155842,0.1065566244595714,0.16078782558012994,0.07257038250018483,0.11537343795408311,-0.04280305545389829,0.04833451872925557,-0.06703891922482755
wthr_gt0,2024-02,2024-02-01,2024-02-29,111,3219,127,True,0.03819470386175884,0.03797556470133834,-0.0057705306594895145,0.058290953774511114,0.03945324634979808,0.018837707424713038,0.04833451872925557,0.008881272379457496
wthr_gt0,2024-03,2024-03-01,2024-03-31,111,3441,92,True,0.02559699235840159,0.02648805614363008,0.03364021053099342,0.05196763506314627,0.026736413833188026,0.025231221229958245,0.04833451872925557,0.021598104896067546
wthr_gt5,2023-09,2023-09-30,2023-09-30,111,111,0,True,0.000596528710195844,0.0011939990357206043,0.5003943115952133,0.024423933323023554,0.0,0.024423933323023554,0.034554291133238504,0.034554291133238504
wthr_gt5,2023-10,2023-10-01,2023-10-31,111,3441,135,True,0.03722434834905024,0.037715458319075905,0.013021450405582669,0.02955560160089391,0.03923278116826504,-0.009677179567371134,0.034554291133238504,-0.004678490035026538
wthr_gt5,2023-11,2023-11-01,2023-11-30,111,3330,151,True,0.039996349102635685,0.043405591851865336,0.07854386045154549,0.03642579938177013,0.045345345345345345,-0.008919545963575214,0.034554291133238504,-0.01079105421210684
wthr_gt5,2023-12,2023-12-01,2023-12-31,111,3441,175,True,0.04568285247117389,0.048536631440070074,0.058796395304438254,0.0493203199965349,0.05085730892182505,-0.001536988925290153,0.034554291133238504,-0.016303017788586546
wthr_gt5,2024-01,2024-01-01,2024-01-31,111,3441,300,True,0.07004139183532862,0.08235279744317683,0.14949590044397754,0.054811098693921784,0.08718395815170009,-0.032372859457778305,0.034554291133238504,-0.052629667018461584
wthr_gt5,2024-02,2024-02-01,2024-02-29,111,3219,76,True,0.023075831044281833,0.02317217478836047,0.004157734220399223,0.04125577806561833,0.023609816713264987,0.017645961352353343,0.034554291133238504,0.010944474419973517
wthr_gt5,2024-03,2024-03-01,2024-03-31,111,3441,59,True,0.01685376177088276,0.017155229389186996,0.01757292843278757,0.036884880394976796,0.017146178436501017,0.01973870195847578,0.034554291133238504,0.017408112696737487
wthr_gt100,2023-09,2023-09-30,2023-09-30,111,111,0,True,0.00018657427345541698,0.00037486639393255174,0.5022912790390419,0.013659219317628426,0.0,0.013659219317628426,0.019361466729887783,0.019361466729887783
wthr_gt100,2023-10,2023-10-01,2023-10-31,111,3441,57,True,0.016239844426909317,0.016298374906804622,0.003591185024886645,0.015951087377125854,0.016564952048823016,-0.0006138646716971619,0.019361466729887783,0.002796514681064767
wthr_gt100,2023-11,2023-11-01,2023-11-30,111,3330,94,True,0.025531762925897136,0.02751001481879174,0.07191024453913719,0.019818746515516135,0.02822822822822823,-0.008409481712712094,0.019361466729887783,-0.008866761498340446
wthr_gt100,2023-12,2023-12-01,2023-12-31,111,3441,106,True,0.02844443861893153,0.029987005031905177,0.051441162974842136,0.026627377533477894,0.03080499854693403,-0.004177621013456135,0.019361466729887783,-0.011443531817046246
wthr_gt100,2024-01,2024-01-01,2024-01-31,111,3441,179,True,0.04328767520040793,0.05038027032032027,0.14078120412648176,0.03499186665632743,0.052019761697181054,-0.01702789504085362,0.019361466729887783,-0.03265829496729327
wthr_gt100,2024-02,2024-02-01,2024-02-29,111,3219,38,True,0.011825707915158941,0.01172265406977242,-0.008790999442033653,0.02248890399209919,0.011804908356632494,0.010683995635466695,0.019361466729887783,0.007556558373255289
wthr_gt100,2024-03,2024-03-01,2024-03-31,111,3441,38,True,0.010610611721453703,0.010990538735847264,0.03456855241812429,0.020381424354225373,0.01104330136588201,0.009338122988343363,0.019361466729887783,0.008318165364005772
wthr_gt1000,2023-09,2023-09-30,2023-09-30,111,111,0,True,2.4732461991542823e-06,5.7620485462628155e-06,0.5707696352613351,0.0015726557789784374,0.0,0.0015726557789784374,0.0024004267425320057,0.0024004267425320057
wthr_gt1000,2023-10,2023-10-01,2023-10-31,111,3441,6,True,0.0017411687081773826,0.0017410700633935796,-5.665756127615218e-05,0.001668873498345668,0.0017436791630340018,-7.480566468833372e-05,0.0024004267425320057,0.0006567475794980039
wthr_gt1000,2023-11,2023-11-01,2023-11-30,111,3330,15,True,0.0043457606902369645,0.004488641086901831,0.03183154854635217,0.002047629661848007,0.0045045045045045045,-0.0024568748426564975,0.0024004267425320057,-0.0021040777619724988
wthr_gt1000,2023-12,2023-12-01,2023-12-31,111,3441,14,True,0.004020520413665207,0.004054814083190003,0.008457519585661655,0.0023798874376706083,0.004068584713746004,-0.001688697276075396,0.0024004267425320057,-0.0016681579712139985
wthr_gt1000,2024-01,2024-01-01,2024-01-31,111,3441,26,True,0.007228199303424268,0.007525430112884635,0.03949685333619202,0.006381662845303642,0.007555943039814008,-0.001174280194510366,0.0024004267425320057,-0.005155516297282002
wthr_gt1000,2024-02,2024-02-01,2024-02-29,111,3219,5,True,0.0015357848032983563,0.0015515824065999069,0.010181607650584956,0.0022353897289529427,0.0015532774153463808,0.0006821123136065619,0.0024004267425320057,0.0008471493271856249
wthr_gt1000,2024-03,2024-03-01,2024-03-31,111,3441,3,True,0.0008780259032155818,0.0008734160559699211,-0.005277951114078805,0.002321516168206007,0.0008718395815170009,0.001449676586689006,0.0024004267425320057,0.0015285871610150048
