request_key,cache_file_path,cache_status,cache_sha256,cache_bytes,cache_error,cache_attrs_json,product_status,units_basis,units_response_metadata_available
50.8_-0.0_2022-02-26,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-02-26.pkl,readable,8738362b2cf031c4f43c68b0ed7045e838df3b05ae390d72643057e786853810,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-03-04,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-03-04.pkl,readable,4d91dc9fd71aa1326a5d69f5a0e9e72d45f729ffc7767873f7c02952e0295499,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-04-25,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-04-25.pkl,readable,5b9d06fbe146d5b8cc7ed74c60b90d42a51c1c67abc525813e1e3f4ddbe01f01,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-05-25,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-05-25.pkl,readable,d1cd61b891d1710781baa091bf65e6ec9269202a596828074ed09cb4a210ef5c,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-06-03,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-06-03.pkl,readable,fff406bc0cb075ddcaa8e517159623295b2d83725d605ac5b660df39dd38f7eb,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-06-14,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-06-14.pkl,readable,5ed242f6b19375e343a3347f3d09d48269ce6a6cc465527afc30c603ff6a2b8c,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-06-15,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-06-15.pkl,readable,ec2ebeeb3544cf9be3947ff7ae249c4ced34d18677ab8ffa3cd1fe232fd2cdcd,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-06-22,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-06-22.pkl,readable,991a4e52989be7ced9feed44362e22ed2e21868f8843f97a4938ba20229d1595,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-07-21,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-07-21.pkl,readable,6abe8e5bab1a3018f4a757ab2d3bf33c18dd2d1d5dc9100b06fc45ffa8cb31cf,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-07-26,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-07-26.pkl,readable,905eaf9f20c63239764e07fb116011c197d5e66d368aacfba23fd10882572235,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-08-10,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-08-10.pkl,readable,5ec2d6d3f61b17f80efc94123140b908bd8892faa73b69616b1a76cda772969d,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-08-19,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-08-19.pkl,readable,908b6562185ffa6a754d051abf1571b88e60f0e280cac488ffed276971a0451c,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-08-30,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-08-30.pkl,readable,d8934b7e5a36c86bf192971e2342a292c5c44e0f41a7cc808e27e17e2925e154,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-09-14,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-09-14.pkl,readable,83ab2351b0a451a1b972da412d66c92535e4d0bd5c517322bf903f4f29a38f6c,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-09-17,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-09-17.pkl,readable,af56c7f77556974c4dd42296a1f76ea1c778f191be34f380bf46aef38549e6ab,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-09-25,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-09-25.pkl,readable,e996da112ea0986a071bf70be75092d554edb34d306f8bc3c844722aa8ec7f28,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-09-26,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-09-26.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
