LAD21CD,date,gust,precip,n_inc,maxc,wmaxc,log_population,urban_binary,income_deprivation_rate,year,month,any_gt0,wthr_gt0,any_gt5,wthr_gt5,any_gt100,wthr_gt100,any_gt1000,wthr_gt1000,hours,grid_lat,grid_lon,gust_proxy
E07000215,2021-04-01,14.0,0.0248637225115318,0,-1.0,-1.0,11.408109245600745,1.0,0.063,2021,4,0,0,0,0,0,0,0,0,24,51.25,0.0,10.3208063105018
E07000216,2021-04-01,13.3,0.02154623418215,0,-1.0,-1.0,11.777801955768314,0.0,0.054,2021,4,0,0,0,0,0,0,0,0,24,51.25,-0.75,10.462641217349498
E07000217,2021-04-01,13.4,0.0263509433709574,1,1.0,-1.0,11.562220263694984,1.0,0.067,2021,4,1,0,0,0,0,0,0,0,24,51.25,-0.5,10.396594151567191
E07000223,2021-04-01,13.9,0.0283152083189432,0,-1.0,-1.0,11.076464923159543,1.0,0.108,2021,4,0,0,0,0,0,0,0,0,24,50.75,-0.25,10.770422857903489
E07000224,2021-04-01,13.1,0.0275398288768029,0,-1.0,-1.0,12.015027145562168,1.0,0.104,2021,4,0,0,0,0,0,0,0,0,24,50.75,-0.5,10.67122384060895
E07000226,2021-04-01,13.7,0.0232455492661921,0,-1.0,-1.0,11.694905296716165,1.0,0.11,2021,4,0,0,0,0,0,0,0,0,24,51.25,-0.25,10.452025934254248
E07000227,2021-04-01,14.0,0.023494120237334,0,-1.0,-1.0,11.901583454762012,0.0,0.056,2021,4,0,0,0,0,0,0,0,0,24,51.0,-0.25,10.573144461208177
E07000228,2021-04-01,14.0,0.0246334959993539,0,-1.0,-1.0,11.937663648421978,1.0,0.053,2021,4,0,0,0,0,0,0,0,0,24,51.0,-0.25,10.563795851478512
E07000229,2021-04-01,13.1,0.0280672268476984,0,-1.0,-1.0,11.623160082869282,1.0,0.101,2021,4,0,0,0,0,0,0,0,0,24,50.75,-0.5,10.726504305157349
E07000240,2021-04-01,12.6,0.0877896414887906,0,-1.0,-1.0,11.9091749056273,1.0,0.06,2021,4,0,0,0,0,0,0,0,0,24,51.75,-0.25,10.19590307881058
E07000241,2021-04-01,12.6,0.081496418193495,0,-1.0,-1.0,11.693136462767283,1.0,0.086,2021,4,0,0,0,0,0,0,0,0,24,51.75,-0.25,10.14469678307556
