target,version,bin,lower,upper,n,mean_probability,observed_frequency,events
any_gt5,era5_daily_max,2,0.1478442209286861,0.15042145925864073,20846,0.14969896495419138,0.15389043461575364,3208
any_gt5,era5_daily_max,3,0.15042145925864073,0.15127503354166563,14316,0.15078042509802247,0.14759709416038,2113
any_gt5,era5_daily_max,4,0.15127503354166563,0.15187737876438545,4655,0.1515556010664003,0.14758324382384533,687
any_gt5,era5_daily_max,5,0.15187737876438545,0.15329095202520698,12139,0.1528593442894711,0.14169206689183622,1720
any_gt5,era5_daily_max,6,0.15329095202520698,0.15465363366576318,9606,0.15381331332901826,0.1404330626691651,1349
any_gt5,era5_daily_max,7,0.15465363366576318,0.1583674144045656,10769,0.1562224011600324,0.15516761073451574,1671
any_gt5,era5_daily_max,8,0.1583674144045656,0.16764896623361195,11568,0.1623536935920201,0.16243084370677732,1879
any_gt5,era5_daily_max,9,0.16764896623361195,0.19587733685812858,11995,0.17860149412385262,0.17899124635264693,2147
any_gt5,era5_daily_max,10,0.19587733685812858,0.7577413287102764,12728,0.26427496428747693,0.2617850408548083,3332
any_gt5,era5_daily_max,11,0.7577413287102764,1.0,1,0.7577413287102764,1.0,1
any_gt100,proxy,1,0.05197417197275398,0.05240956847337477,8322,0.05240689518488901,0.0597212208603701,497
any_gt100,proxy,2,0.05240956847337477,0.05254041534320022,5862,0.052442001366228654,0.05441828727396793,319
any_gt100,proxy,3,0.05254041534320022,0.05276806562974555,14301,0.05266967472738333,0.053143136843577375,760
any_gt100,proxy,4,0.05276806562974555,0.05307026116564035,17918,0.052898040243072854,0.05419131599508874,971
any_gt100,proxy,5,0.05307026116564035,0.05355020882943676,8112,0.0533801890867641,0.04930966469428008,400
any_gt100,proxy,6,0.05355020882943676,0.05369299617128389,11590,0.05357583168901063,0.052372735116479725,607
any_gt100,proxy,7,0.05369299617128389,0.054159051930431995,17019,0.054062917555743446,0.05170691579998825,880
any_gt100,proxy,8,0.054159051930431995,0.05617777044153653,14688,0.05480758419851902,0.05555555555555555,816
any_gt100,proxy,9,0.05617777044153653,0.0672928849117784,12227,0.06005145859194292,0.05880428559744827,719
any_gt100,proxy,10,0.0672928849117784,0.6845706794861558,11617,0.12142912328923744,0.12051304123267625,1400
any_gt100,era5_daily_max,1,0.05197417197275398,0.05240956847337477,16010,0.0520260005910474,0.055715178013741415,892
any_gt100,era5_daily_max,2,0.05240956847337477,0.05254041534320022,18354,0.05250430865015092,0.05410264792415822,993
any_gt100,era5_daily_max,3,0.05254041534320022,0.05276806562974555,10107,0.052611724895612715,0.05313149302463639,537
any_gt100,era5_daily_max,4,0.05276806562974555,0.05307026116564035,6354,0.052951066151038416,0.05256531318854265,334
any_gt100,era5_daily_max,5,0.05307026116564035,0.05355020882943676,16316,0.053177698267120106,0.05203481245403285,849
any_gt100,era5_daily_max,6,0.05355020882943676,0.05369299617128389,12557,0.05364023323246592,0.04921557696902126,618
any_gt100,era5_daily_max,7,0.05369299617128389,0.054159051930431995,7496,0.05387099610669544,0.05416221985058698,406
any_gt100,era5_daily_max,8,0.054159051930431995,0.05617777044153653,9643,0.05500120409414168,0.05558436171315981,536
any_gt100,era5_daily_max,9,0.05617777044153653,0.0672928849117784,12104,0.060116648442594366,0.05799735624586914,702
any_gt100,era5_daily_max,10,0.0672928849117784,0.6845706794861558,12714,0.11815469597218006,0.11805883278275917,1501
any_gt100,era5_daily_max,11,0.6845706794861558,1.0,1,0.6845706794861558,1.0,1
any_gt1000,proxy,1,0.007067066652597104,0.0072565320044916965,22365,0.007075762167939787,0.008093002459199642,181
any_gt1000,proxy,2,0.0072565320044916965,0.007320729341431339,8180,0.007319702971513005,0.007701711491442543,63
any_gt1000,proxy,3,0.007320729341431339,0.007323398013877727,24182,0.007322272121518679,0.007319493838392192,177
any_gt1000,proxy,4,0.007323398013877727,0.007341086547066343,6799,0.007328050793175615,0.006177379026327401,42
any_gt1000,proxy,5,0.007341086547066343,0.0073842512374276284,20593,0.007370254566371832,0.007672510076239499,158
any_gt1000,proxy,6,0.0073842512374276284,0.007480391456619033,5104,0.007431562977458248,0.005877742946708464,30
any_gt1000,proxy,7,0.007480391456619033,0.007585370887400535,21191,0.0074893032094208185,0.006889717332829975,146
any_gt1000,proxy,8,0.007585370887400535,0.008118363012572993,4646,0.00778385991515091,0.00667240637107189,31
any_gt1000,proxy,9,0.008118363012572993,0.008560236551845048,1271,0.008318587244563674,0.007081038552321007,9
any_gt1000,proxy,10,0.008560236551845048,0.3318924159938713,7325,0.02452218108718876,0.02498293515358362,183
any_gt1000,era5_daily_max,1,0.007067066652597104,0.0072565320044916965,1869,0.00725653198101748,0.008025682182985553,15
any_gt1000,era5_daily_max,2,0.0072565320044916965,0.007320729341431339,16249,0.007262498894315589,0.007446612099206105,121
any_gt1000,era5_daily_max,3,0.007320729341431339,0.007323398013877727,149,0.007322782654164894,0.0,0
any_gt1000,era5_daily_max,4,0.007323398013877727,0.007341086547066343,17447,0.007338632103496657,0.006534074626010202,114
any_gt1000,era5_daily_max,5,0.007341086547066343,0.0073842512374276284,3716,0.0073532526340022025,0.010495156081808395,39
any_gt1000,era5_daily_max,6,0.0073842512374276284,0.007480391456619033,19333,0.007456861367595766,0.006517353747478405,126
any_gt1000,era5_daily_max,7,0.007480391456619033,0.007585370887400535,3128,0.0075196013640824845,0.006074168797953964,19
any_gt1000,era5_daily_max,8,0.007585370887400535,0.008118363012572993,3675,0.007784419092934464,0.008435374149659863,31
any_gt1000,era5_daily_max,9,0.008118363012572993,0.008560236551845048,26285,0.008126773799884105,0.009320905459387484,245
any_gt1000,era5_daily_max,10,0.008560236551845048,0.3318924159938713,29804,0.01085487086707723,0.010367735874379279,309
any_gt1000,era5_daily_max,11,0.3318924159938713,1.0,1,0.3318924159938713,1.0,1
wthr_gt0,proxy,1,0.03236464975826884,0.03290580405524492,10482,0.03262864624058633,0.03587101698149208,376
wthr_gt0,proxy,2,0.03290580405524492,0.03321236327839767,5706,0.03316862103842536,0.028916929547844375,165
wthr_gt0,proxy,3,0.03321236327839767,0.03364389956356324,19204,0.0333107594126685,0.03468027494272027,666
wthr_gt0,proxy,4,0.03364389956356324,0.033934756854684375,11925,0.03377491129101001,0.030943396226415093,369
wthr_gt0,proxy,5,0.033934756854684375,0.03498729123376337,9673,0.034358062057290174,0.037733898480306005,365
wthr_gt0,proxy,6,0.03498729123376337,0.035682451621877644,14767,0.03522915858237982,0.028780388704543917,425
wthr_gt0,proxy,7,0.035682451621877644,0.03892153723932191,12365,0.03701844137638132,0.0405175899716943,501
wthr_gt0,proxy,8,0.03892153723932191,0.04745881002127508,12946,0.04235091212808187,0.04897265564653175,634
wthr_gt0,proxy,9,0.04745881002127508,0.07737283571994932,12586,0.058882745100904535,0.05633243286191006,709
wthr_gt0,proxy,10,0.07737283571994932,0.7748370258394199,12002,0.16239257414929006,0.15930678220296618,1912
wthr_gt0,era5_daily_max,1,0.03236464975826884,0.03290580405524492,13676,0.03254385379961277,0.03626791459491079,496
wthr_gt0,era5_daily_max,2,0.03290580405524492,0.03321236327839767,18799,0.03299132007458958,0.03356561519229746,631
wthr_gt0,era5_daily_max,3,0.03321236327839767,0.03364389956356324,5119,0.03341930060336848,0.036921273686266846,189
wthr_gt0,era5_daily_max,4,0.03364389956356324,0.033934756854684375,12193,0.0337123448072277,0.03280570819322562,400
wthr_gt0,era5_daily_max,5,0.033934756854684375,0.03498729123376337,14842,0.034613934091352834,0.032744913084489964,486
wthr_gt0,era5_daily_max,6,0.03498729123376337,0.035682451621877644,9601,0.03524185706827359,0.02760129153213207,265
wthr_gt0,era5_daily_max,7,0.035682451621877644,0.03892153723932191,11861,0.03700146581802643,0.03928842424753393,466
wthr_gt0,era5_daily_max,8,0.03892153723932191,0.04745881002127508,11446,0.042394231846589976,0.046479119343001925,532
wthr_gt0,era5_daily_max,9,0.04745881002127508,0.07737283571994932,11782,0.05857457841203947,0.05584790358173485,658
wthr_gt0,era5_daily_max,10,0.07737283571994932,0.7748370258394199,12336,0.1628438509469859,0.1619649805447471,1998
wthr_gt0,era5_daily_max,11,0.7748370258394199,1.0,1,0.7748370258394199,1.0,1
wthr_gt5,proxy,1,0.023144743105817368,0.023276039534990575,7583,0.02325271369205075,0.021759198206514573,165
wthr_gt5,proxy,2,0.023276039534990575,0.023579920716246597,16642,0.0233457541089551,0.025057084485037857,417
wthr_gt5,proxy,3,0.023579920716246597,0.02386632629204036,8572,0.023808786527846314,0.022048530097993468,189
wthr_gt5,proxy,4,0.02386632629204036,0.023975974121201095,14404,0.023910078005345718,0.024923632324354347,359
wthr_gt5,proxy,5,0.023975974121201095,0.024811704544171084,12792,0.024269846985097952,0.024390243902439025,312
wthr_gt5,proxy,6,0.024811704544171084,0.025094163484337,11535,0.025009897012332406,0.020459471174685738,236
wthr_gt5,proxy,7,0.025094163484337,0.0267155493778168,12519,0.02570189497416192,0.02596053997923157,325
wthr_gt5,proxy,8,0.0267155493778168,0.03194694375146635,12957,0.02876713973815916,0.0349617967122019,453
wthr_gt5,proxy,9,0.03194694375146635,0.05265386779141466,12596,0.039639085550144726,0.03802794537948555,479
wthr_gt5,proxy,10,0.05265386779141466,0.7289811209695309,12056,0.12338544802920189,0.1210185799601858,1459
wthr_gt5,era5_daily_max,1,0.023144743105817368,0.023276039534990575,16688,0.023204239844644446,0.025467401725790987,425
wthr_gt5,era5_daily_max,2,0.023276039534990575,0.023579920716246597,7741,0.023379214527079615,0.02506136158119106,194
wthr_gt5,era5_daily_max,3,0.023579920716246597,0.02386632629204036,15705,0.023741094800401187,0.023750397962432345,373
wthr_gt5,era5_daily_max,4,0.02386632629204036,0.023975974121201095,9990,0.023895492347116756,0.024924924924924926,249
wthr_gt5,era5_daily_max,5,0.023975974121201095,0.024811704544171084,11539,0.024304043494381908,0.023658895918190485,273
wthr_gt5,era5_daily_max,6,0.024811704544171084,0.025094163484337,12649,0.02494657614802017,0.019527235354573486,247
wthr_gt5,era5_daily_max,7,0.025094163484337,0.0267155493778168,11780,0.025717636425356155,0.025891341256366725,305
wthr_gt5,era5_daily_max,8,0.0267155493778168,0.03194694375146635,11553,0.02885711371214795,0.03142041028304336,363
wthr_gt5,era5_daily_max,9,0.03194694375146635,0.05265386779141466,11674,0.03951084356352442,0.038889840671577865,454
wthr_gt5,era5_daily_max,10,0.05265386779141466,0.7289811209695309,12336,0.12333319339482335,0.1224059662775616,1510
wthr_gt5,era5_daily_max,11,0.7289811209695309,1.0,1,0.7289811209695309,1.0,1
wthr_gt100,proxy,2,0.012944828880457955,0.012995821703445952,21383,0.012978891934448901,0.014310433521956694,306
wthr_gt100,proxy,3,0.012995821703445952,0.013086166275803774,22227,0.013061112411766147,0.01079767849912269,240
wthr_gt100,proxy,4,0.013086166275803774,0.013126551042189813,9514,0.013098224553540025,0.012612991381122556,120
