LAD21CD,date,gust_grid,hours,grid_lat,grid_lon
E09000013,2023-04-27,11.8,24,51.5,-0.25
E09000013,2023-04-28,11.9,24,51.5,-0.25
E09000013,2023-04-29,5.3,24,51.5,-0.25
E09000013,2023-04-30,9.3,24,51.5,-0.25
E09000013,2023-05-01,10.3,24,51.5,-0.25
E09000013,2023-05-02,7.5,24,51.5,-0.25
E09000013,2023-05-03,12.2,24,51.5,-0.25
E09000013,2023-05-04,13.0,24,51.5,-0.25
E09000013,2023-05-05,11.3,24,51.5,-0.25
E09000013,2023-05-06,9.8,24,51.5,-0.25
E09000013,2023-05-07,6.5,24,51.5,-0.25
E09000013,2023-05-08,12.1,24,51.5,-0.25
E09000013,2023-05-09,8.1,24,51.5,-0.25
E09000013,2023-05-10,9.6,24,51.5,-0.25
E09000013,2023-05-11,5.6,24,51.5,-0.25
E09000013,2023-05-12,16.5,24,51.5,-0.25
E09000013,2023-05-13,11.2,24,51.5,-0.25
E09000013,2023-05-14,7.2,24,51.5,-0.25
E09000013,2023-05-15,12.9,24,51.5,-0.25
E09000013,2023-05-16,9.8,24,51.5,-0.25
E09000013,2023-05-17,6.1,24,51.5,-0.25
E09000013,2023-05-18,6.7,24,51.5,-0.25
E09000013,2023-05-19,9.1,24,51.5,-0.25
E09000013,2023-05-20,12.0,24,51.5,-0.25
E09000013,2023-05-21,12.5,24,51.5,-0.25
E09000013,2023-05-22,13.8,24,51.5,-0.25
E09000013,2023-05-23,10.0,24,51.5,-0.25
E09000013,2023-05-24,8.3,24,51.5,-0.25
E09000013,2023-05-25,9.3,24,51.5,-0.25
E09000013,2023-05-26,11.6,24,51.5,-0.25
E09000013,2023-05-27,8.9,24,51.5,-0.25
E09000013,2023-05-28,11.5,24,51.5,-0.25
E09000013,2023-05-29,13.7,24,51.5,-0.25
E09000013,2023-05-30,12.8,24,51.5,-0.25
E09000013,2023-05-31,12.0,24,51.5,-0.25
E09000013,2023-06-01,11.4,24,51.5,-0.25
E09000013,2023-06-02,11.4,24,51.5,-0.25
E09000013,2023-06-03,11.5,24,51.5,-0.25
E09000013,2023-06-04,10.9,24,51.5,-0.25
E09000013,2023-06-05,10.1,24,51.5,-0.25
E09000013,2023-06-06,10.7,24,51.5,-0.25
E09000013,2023-06-07,10.4,24,51.5,-0.25
E09000013,2023-06-08,11.5,24,51.5,-0.25
E09000013,2023-06-09,12.8,24,51.5,-0.25
E09000013,2023-06-10,10.8,24,51.5,-0.25
E09000013,2023-06-11,8.5,24,51.5,-0.25
E09000013,2023-06-12,9.2,24,51.5,-0.25
E09000013,2023-06-13,12.9,24,51.5,-0.25
E09000013,2023-06-14,8.6,24,51.5,-0.25
E09000013,2023-06-15,7.4,24,51.5,-0.25
E09000013,2023-06-16,7.6,24,51.5,-0.25
E09000013,2023-06-17,7.8,24,51.5,-0.25
E09000013,2023-06-18,10.5,24,51.5,-0.25
E09000013,2023-06-19,12.0,24,51.5,-0.25
E09000013,2023-06-20,13.6,24,51.5,-0.25
E09000013,2023-06-21,9.6,24,51.5,-0.25
E09000013,2023-06-22,5.7,24,51.5,-0.25
E09000013,2023-06-23,9.5,24,51.5,-0.25
E09000013,2023-06-24,7.2,24,51.5,-0.25
E09000013,2023-06-25,13.9,24,51.5,-0.25
E09000013,2023-06-26,12.5,24,51.5,-0.25
E09000013,2023-06-27,9.5,24,51.5,-0.25
E09000013,2023-06-28,8.4,24,51.5,-0.25
E09000013,2023-06-29,8.3,24,51.5,-0.25
E09000013,2023-06-30,13.4,24,51.5,-0.25
E09000013,2023-07-01,12.1,24,51.5,-0.25
E09000013,2023-07-02,13.5,24,51.5,-0.25
E09000013,2023-07-03,17.9,24,51.5,-0.25
E09000013,2023-07-04,11.3,24,51.5,-0.25
E09000013,2023-07-05,12.7,24,51.5,-0.25
E09000013,2023-07-06,11.5,24,51.5,-0.25
E09000013,2023-07-07,9.0,24,51.5,-0.25
E09000013,2023-07-08,8.8,24,51.5,-0.25
E09000013,2023-07-09,10.6,24,51.5,-0.25
E09000013,2023-07-10,16.3,24,51.5,-0.25
E09000013,2023-07-11,13.8,24,51.5,-0.25
E09000013,2023-07-12,14.4,24,51.5,-0.25
E09000013,2023-07-13,12.2,24,51.5,-0.25
E09000013,2023-07-14,17.3,24,51.5,-0.25
E09000013,2023-07-15,22.2,24,51.5,-0.25
E09000013,2023-07-16,16.6,24,51.5,-0.25
E09000013,2023-07-17,13.3,24,51.5,-0.25
E09000013,2023-07-18,8.9,24,51.5,-0.25
E09000013,2023-07-19,10.7,24,51.5,-0.25
E09000013,2023-07-20,7.0,24,51.5,-0.25
E09000013,2023-07-21,9.6,24,51.5,-0.25
E09000013,2023-07-22,15.0,24,51.5,-0.25
E09000013,2023-07-23,15.1,24,51.5,-0.25
E09000013,2023-07-24,10.1,24,51.5,-0.25
E09000013,2023-07-25,9.6,24,51.5,-0.25
E09000013,2023-07-26,11.5,24,51.5,-0.25
E09000013,2023-07-27,12.4,24,51.5,-0.25
E09000013,2023-07-28,10.4,24,51.5,-0.25
E09000013,2023-07-29,13.8,24,51.5,-0.25
E09000013,2023-07-30,15.4,24,51.5,-0.25
E09000013,2023-07-31,14.7,24,51.5,-0.25
E09000013,2023-08-01,13.6,24,51.5,-0.25
E09000013,2023-08-02,16.3,24,51.5,-0.25
E09000013,2023-08-03,9.9,24,51.5,-0.25
E09000013,2023-08-04,8.9,24,51.5,-0.25
E09000013,2023-08-05,15.8,24,51.5,-0.25
E09000013,2023-08-06,12.9,24,51.5,-0.25
E09000013,2023-08-07,10.1,24,51.5,-0.25
E09000013,2023-08-08,9.4,24,51.5,-0.25
E09000013,2023-08-09,6.4,24,51.5,-0.25
E09000013,2023-08-10,10.0,24,51.5,-0.25
