date,LAD21CD,grid_truth,grid_loo
2021-09-10,E07000243,10.1,10.53905476053413
2021-09-10,E09000001,10.8,10.913852335589258
2021-09-10,E09000002,10.7,10.900675793336912
2021-09-10,E09000003,10.9,10.807250111447475
2021-09-10,E09000004,10.7,10.99483905756328
2021-09-10,E09000005,10.9,10.85930762426405
2021-09-10,E09000006,11.5,11.074063563459253
2021-09-10,E09000007,10.9,10.876833373159098
2021-09-10,E09000008,11.5,11.08073696902185
2021-09-10,E09000010,10.3,10.790662002105947
2021-09-10,E09000011,10.8,10.969200658944649
2021-09-10,E09000012,10.8,10.878052324650945
2021-09-10,E09000013,10.9,10.923829322892859
2021-09-10,E09000014,10.8,10.838432494193466
2021-09-10,E09000015,10.9,10.8184139095427
2021-09-10,E09000016,10.7,10.888808728921209
2021-09-10,E09000017,10.8,10.869063481078497
2021-09-10,E09000019,10.8,10.879082776587994
2021-09-10,E09000020,10.9,10.919649287224818
2021-09-10,E09000021,10.9,11.037224819893076
2021-09-10,E09000022,10.8,10.97702192779549
2021-09-10,E09000023,10.8,10.989914510769914
2021-09-10,E09000024,10.9,11.017775566969092
2021-09-10,E09000025,10.8,10.908748041868526
2021-09-10,E09000026,10.8,10.853708119814533
2021-09-10,E09000027,10.9,10.975024279487533
2021-09-10,E09000028,10.8,10.958505944889966
2021-09-10,E09000029,11.4,11.066464227319427
2021-09-10,E09000030,10.8,10.915124426862452
2021-09-10,E09000031,10.8,10.840027813123307
2021-09-10,E09000032,10.9,10.972675067290238
2021-09-10,E09000033,10.9,10.90899156512916
2021-09-11,E06000031,9.6,9.450121031901476
2021-09-11,E06000032,9.5,9.54995337886001
2021-09-11,E06000033,8.7,9.884378971536206
2021-09-11,E06000034,9.6,9.792144842996358
2021-09-11,E06000035,9.8,9.95172929527087
2021-09-11,E06000043,12.4,10.634565420146373
2021-09-11,E06000055,9.2,9.521425037137691
2021-09-11,E06000056,9.5,9.530962884853945
2021-09-11,E06000060,10.2,9.564242771891728
2021-09-11,E07000008,9.5,9.49357725208351
2021-09-11,E07000009,9.5,9.480739654616311
2021-09-11,E07000010,9.5,9.47577577221609
2021-09-11,E07000011,9.3,9.490019501490263
2021-09-11,E07000012,9.4,9.501662406349231
2021-09-11,E07000061,12.8,10.965551751682026
2021-09-11,E07000062,12.9,10.910399905577345
2021-09-11,E07000063,12.0,10.626950471481273
2021-09-11,E07000064,12.8,10.712269023870926
2021-09-11,E07000065,12.4,10.512949464941125
2021-09-11,E07000066,9.8,9.74276917337136
2021-09-11,E07000067,9.6,9.560777608114336
2021-09-11,E07000068,9.5,9.683727277169993
2021-09-11,E07000069,9.8,9.81350820788069
2021-09-11,E07000070,9.6,9.655986214612062
2021-09-11,E07000071,9.7,9.609151811302405
2021-09-11,E07000072,9.5,9.624483826978368
2021-09-11,E07000073,9.4,9.5984709354347
2021-09-11,E07000074,9.5,9.72329488354153
2021-09-11,E07000075,8.7,9.847213702712894
2021-09-11,E07000076,9.6,9.647004398373669
2021-09-11,E07000077,9.6,9.548655533614726
2021-09-11,E07000095,9.4,9.603003661364525
2021-09-11,E07000096,9.7,9.570629563136961
2021-09-11,E07000098,9.4,9.607076213645396
2021-09-11,E07000099,9.4,9.537425697906468
2021-09-11,E07000102,9.7,9.601228520174935
2021-09-11,E07000103,9.7,9.600100444037896
2021-09-11,E07000105,10.7,10.580372895551005
2021-09-11,E07000106,11.0,10.433838243644033
2021-09-11,E07000107,9.6,9.836967819489086
2021-09-11,E07000108,11.6,10.646068640663405
2021-09-11,E07000109,9.8,9.90794648183851
2021-09-11,E07000110,11.0,10.210580167353974
2021-09-11,E07000111,10.6,9.978210475872077
2021-09-11,E07000112,13.0,10.71402765656867
2021-09-11,E07000113,10.7,10.170930664855096
2021-09-11,E07000114,11.6,10.382805066878312
2021-09-11,E07000115,10.6,10.051416922194782
2021-09-11,E07000116,12.8,10.309004004987548
2021-09-11,E07000143,9.6,9.469095376464214
2021-09-11,E07000144,9.7,9.373201429990063
2021-09-11,E07000145,8.0,9.617279590655787
2021-09-11,E07000146,9.5,9.50578521666898
2021-09-11,E07000147,9.7,9.41154172236409
2021-09-11,E07000148,9.7,9.382433138111345
