target,candidate,bin,lower,upper,n,events,mean_probability,observed_frequency,sparse
any_gt1000,M2,3,0.007251295988719739,0.007264530790410783,6931,47,0.0072554280951026,0.006781128264319723,False
any_gt1000,M2,4,0.007264530790410783,0.007328061847995933,8948,58,0.007308009576782474,0.006481895395619133,False
any_gt1000,M2,5,0.007328061847995933,0.007338566484320578,13775,95,0.007329624660957861,0.006896551724137931,False
any_gt1000,M2,6,0.007338566484320578,0.007350831275668515,16839,121,0.007341987644513279,0.007185699863412317,False
any_gt1000,M2,7,0.007350831275668515,0.007458726017850879,7993,61,0.007386646733161315,0.007631677718003253,False
any_gt1000,M2,8,0.007458726017850879,0.007467213049339937,9339,62,0.007466546800929625,0.0066388264268122926,False
any_gt1000,M2,9,0.007467213049339937,0.007885757383445251,16981,116,0.007545466657951719,0.006831164242388552,False
any_gt1000,M2,10,0.007885757383445251,0.37323197467565233,12086,224,0.01806121789657079,0.018533840807545922,False
any_gt1000,M2,11,0.37323197467565233,1.0,1,0,0.37323197467565233,0.0,True
wthr_gt0,M0,0,0.0,0.03205819609936484,0,0,,,True
wthr_gt0,M0,1,0.03205819609936484,0.03254150083590301,8860,329,0.03240171574332629,0.037133182844243794,False
wthr_gt0,M0,2,0.03254150083590301,0.03293330989186293,10395,332,0.03286770659553788,0.03193843193843194,False
wthr_gt0,M0,3,0.03293330989186293,0.03336345982425346,15418,550,0.0330597399662344,0.0356725904786613,False
wthr_gt0,M0,4,0.03336345982425346,0.033829677548906596,13597,458,0.033651277750161974,0.03368390086048393,False
wthr_gt0,M0,5,0.033829677548906596,0.034943429798577605,10068,365,0.034284333107588626,0.03625347636074692,False
wthr_gt0,M0,6,0.034943429798577605,0.03566147923719982,15418,424,0.03511511938944584,0.02750032429627708,False
wthr_gt0,M0,7,0.03566147923719982,0.0387843249638943,12014,462,0.03690006500336141,0.03845513567504578,False
wthr_gt0,M0,8,0.0387843249638943,0.04724336206881812,11767,545,0.042297126730693566,0.046315968386164696,False
wthr_gt0,M0,9,0.04724336206881812,0.07791329471876174,11901,668,0.05876446370703457,0.05612973699689102,False
wthr_gt0,M0,10,0.07791329471876174,0.7922405529052573,12218,1989,0.16372450732315305,0.16279260108037322,False
wthr_gt0,M0,11,0.7922405529052573,1.0,0,0,,,True
wthr_gt0,M1,0,0.0,0.03205819609936484,0,0,,,True
wthr_gt0,M1,1,0.03205819609936484,0.03254150083590301,9384,344,0.03234951408229997,0.03665814151747655,False
wthr_gt0,M1,2,0.03254150083590301,0.03293330989186293,15078,519,0.03286713782266507,0.03442101074413052,False
wthr_gt0,M1,3,0.03293330989186293,0.03336345982425346,10427,354,0.033084654469859746,0.03395032128128896,False
wthr_gt0,M1,4,0.03336345982425346,0.033829677548906596,14706,494,0.03359575649476613,0.03359173126614987,False
wthr_gt0,M1,5,0.033829677548906596,0.034943429798577605,8959,331,0.034313273732632446,0.036946087733005915,False
wthr_gt0,M1,6,0.034943429798577605,0.03566147923719982,15030,408,0.03513432641944799,0.02714570858283433,False
wthr_gt0,M1,7,0.03566147923719982,0.0387843249638943,12002,462,0.036911338125066966,0.03849358440259957,False
wthr_gt0,M1,8,0.0387843249638943,0.04724336206881812,11824,547,0.0423192466839197,0.046261840324763194,False
wthr_gt0,M1,9,0.04724336206881812,0.07791329471876174,12038,676,0.05882195008595393,0.056155507559395246,False
wthr_gt0,M1,10,0.07791329471876174,0.7922405529052573,12208,1987,0.16383021169268067,0.162762123197903,False
wthr_gt0,M1,11,0.7922405529052573,1.0,0,0,,,True
wthr_gt0,M2,0,0.0,0.03205819609936484,0,0,,,True
wthr_gt0,M2,1,0.03205819609936484,0.03254150083590301,18244,614,0.03232672862515315,0.03365490024117518,False
wthr_gt0,M2,2,0.03254150083590301,0.03293330989186293,10883,393,0.032687714201077,0.03611136635118993,False
wthr_gt0,M2,3,0.03293330989186293,0.03336345982425346,10663,344,0.033219579519048525,0.03226108974960142,False
wthr_gt0,M2,4,0.03336345982425346,0.033829677548906596,8173,301,0.033560946218652785,0.03682858191606509,False
wthr_gt0,M2,5,0.033829677548906596,0.034943429798577605,17500,550,0.03440391500524066,0.03142857142857143,False
wthr_gt0,M2,6,0.034943429798577605,0.03566147923719982,6083,191,0.03528948065918117,0.031398980766069375,False
wthr_gt0,M2,7,0.03566147923719982,0.0387843249638943,12406,439,0.037010741132484225,0.03538610349830727,False
wthr_gt0,M2,8,0.0387843249638943,0.04724336206881812,13073,609,0.042280405762780936,0.04658456360437543,False
wthr_gt0,M2,9,0.04724336206881812,0.07791329471876174,12560,706,0.05838238449057302,0.05621019108280255,False
wthr_gt0,M2,10,0.07791329471876174,0.7922405529052573,12070,1974,0.1649885607148271,0.16354598177299087,False
wthr_gt0,M2,11,0.7922405529052573,1.0,1,1,0.7922405529052573,1.0,True
wthr_gt5,M0,0,0.0,0.022937811180598844,0,0,,,True
wthr_gt5,M0,1,0.022937811180598844,0.023192436204742886,7962,202,0.02315381176783742,0.025370509922130118,False
wthr_gt5,M0,2,0.023192436204742886,0.02350661952532895,15765,403,0.02330043441510349,0.025562955915001587,False
wthr_gt5,M0,3,0.02350661952532895,0.0237267479021284,9798,241,0.02368191467744869,0.0245968565013268,False
wthr_gt5,M0,4,0.0237267479021284,0.023919053956692204,14268,344,0.023846747842228445,0.024109896271376507,False
wthr_gt5,M0,5,0.023919053956692204,0.024674410423471044,12788,296,0.02420192143091822,0.023146700031279326,False
wthr_gt5,M0,6,0.024674410423471044,0.025026708117986216,12816,266,0.02492154330445493,0.020755305867665417,False
wthr_gt5,M0,7,0.025026708117986216,0.026672606852224518,12350,306,0.025641060256788844,0.024777327935222672,False
wthr_gt5,M0,8,0.026672606852224518,0.03185533641516593,11758,368,0.02875786542124238,0.031297839768668144,False
wthr_gt5,M0,9,0.03185533641516593,0.05305622032843001,11958,467,0.03958099209963768,0.0390533534035792,False
wthr_gt5,M0,10,0.05305622032843001,0.7408185291879894,12193,1501,0.1242161053515692,0.12310341999507915,False
