scope,role,peak_lower,peak_upper,feature,n,zero_n,positive_n,zero_fraction,min,p05,p25,p50,p75,p95,max,correlation_with_G
fold_0,train,0.0,5.0,G,2109,0,2109,0.0,2.6,3.3,3.8,4.3,4.7,4.9,4.9,0.9999999999999998
fold_0,train,0.0,5.0,H,2109,2109,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,0.0,5.0,I,2109,2109,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,0.0,5.0,h,2109,2109,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,0.0,5.0,J,2109,2109,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,0.0,5.0,x,2109,2109,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,5.0,10.0,G,36028,0,36028,0.0,5.0,5.6,6.9,8.1,9.1,9.8,9.9,1.0
fold_0,train,5.0,10.0,H,36028,36028,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,5.0,10.0,I,36028,36028,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,5.0,10.0,h,36028,36028,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,5.0,10.0,J,36028,36028,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,5.0,10.0,x,36028,36028,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,train,10.0,15.0,G,39213,0,39213,0.0,10.0,10.1,11.0,12.0,13.3,14.6,14.9,1.0
fold_0,train,10.0,15.0,H,39213,31811,7402,0.8112360696707724,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.6085395136179885
fold_0,train,10.0,15.0,I,39213,31811,7402,0.8112360696707724,0.0,0.0,0.0,0.0,0.0,61.50000000000006,458.45000000000044,0.5632937418434597
fold_0,train,10.0,15.0,h,39213,31811,7402,0.8112360696707724,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.9166666666666666,0.6085395136179891
fold_0,train,10.0,15.0,J,39213,31811,7402,0.8112360696707724,0.0,0.0,0.0,0.0,0.0,0.013854346885813162,0.1032768346309113,0.563293741843461
fold_0,train,10.0,15.0,x,39213,31811,7402,0.8112360696707724,0.0,0.0,0.0,0.0,0.0,0.013759252727028817,0.09828469212656218,0.5657346614202485
fold_0,train,15.0,20.0,G,14577,0,14577,0.0,15.0,15.1,15.7,16.7,18.1,19.5,19.9,1.0
fold_0,train,15.0,20.0,H,14577,0,14577,0.0,1.0,3.0,5.0,8.0,12.0,19.0,24.0,0.5464435990182868
fold_0,train,15.0,20.0,I,14577,0,14577,0.0,40.04000000000002,87.38000000000005,199.36000000000016,395.1200000000003,786.1300000000001,1666.6560000000002,4160.38,0.7691042952641591
fold_0,train,15.0,20.0,h,14577,0,14577,0.0,0.041666666666666664,0.125,0.20833333333333334,0.3333333333333333,0.5,0.7916666666666666,1.0,0.5464435990182865
fold_0,train,15.0,20.0,J,14577,0,14577,0.0,0.009019968281430224,0.019684436274509817,0.0449106113033449,0.08901023644752025,0.1770945970299885,0.375454152249135,0.9372251658016147,0.7691042952641591
fold_0,train,15.0,20.0,x,14577,0,14577,0.0,0.00897953134555019,0.019493203228028937,0.04393134233543281,0.08526924376662687,0.16304919635694057,0.31878396889509647,0.6612566222748711,0.7901504966796169
fold_0,train,20.0,25.0,G,3620,0,3620,0.0,20.0,20.1,20.6,21.4,22.7,24.4,24.9,1.0
fold_0,train,20.0,25.0,H,3620,0,3620,0.0,2.0,8.0,13.0,16.0,20.0,24.0,24.0,0.20532750140650705
fold_0,train,20.0,25.0,I,3620,0,3620,0.0,243.81000000000006,793.2800000000002,1477.1100000000004,2109.01,2869.9575000000004,4082.125499999999,8051.97,0.5078913016330469
fold_0,train,20.0,25.0,h,3620,0,3620,0.0,0.08333333333333333,0.3333333333333333,0.5416666666666666,0.6666666666666666,0.8333333333333334,1.0,1.0,0.20532750140650677
fold_0,train,20.0,25.0,J,3620,0,3620,0.0,0.054924037629757796,0.17870530565167247,0.33275437932525964,0.47510497765282594,0.6465266138624569,0.919596466803633,1.8138989511245676,0.5078913016330472
fold_0,train,20.0,25.0,x,3620,0,3620,0.0,0.05346876208906854,0.16441663751426336,0.28724770091735474,0.3887291584921383,0.49866798377398414,0.6521149876411093,1.0345710487100457,0.5066868647089748
fold_0,train,25.0,30.0,G,771,0,771,0.0,25.0,25.1,25.5,26.1,27.2,28.75,29.9,1.0
fold_0,train,25.0,30.0,H,771,0,771,0.0,5.0,10.0,16.0,20.0,22.0,24.0,24.0,0.3901710132793514
fold_0,train,25.0,30.0,I,771,0,771,0.0,819.8200000000002,1476.5500000000004,2652.65,3703.6800000000003,4342.955,6068.82,8857.640000000001,0.5067329594433585
fold_0,train,25.0,30.0,h,771,0,771,0.0,0.20833333333333334,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.9166666666666666,1.0,1.0,0.3901710132793513
fold_0,train,25.0,30.0,J,771,0,771,0.0,0.18468407583621688,0.3326282259227221,0.597572898644752,0.8343425605536333,0.9783545541378316,1.3671469506920415,1.995395400807382,0.5067329594433583
fold_0,train,25.0,30.0,x,771,0,771,0.0,0.16947613637242584,0.2871531020136256,0.46848553918286256,0.6066861396823228,0.6822654656706992,0.8616711394517538,1.0970762431564651,0.4951724295126225
fold_0,train,30.0,35.0,G,129,0,129,0.0,30.0,30.1,30.7,31.6,32.3,33.7,34.9,0.9999999999999998
fold_0,train,30.0,35.0,H,129,0,129,0.0,14.0,20.0,21.0,22.0,23.0,24.0,24.0,-0.13270496682535093
fold_0,train,30.0,35.0,I,129,0,129,0.0,3684.9600000000005,4513.1500000000015,5036.81,5711.880000000001,6176.42,7923.18,11096.54,0.4103439976559571
fold_0,train,30.0,35.0,h,129,0,129,0.0,0.5833333333333334,0.8333333333333334,0.875,0.9166666666666666,0.9583333333333334,1.0,1.0,-0.13270496682535132
fold_0,train,30.0,35.0,J,129,0,129,0.0,0.8301254325259517,1.016695051182238,1.134661998990773,1.2867376730103808,1.391386425893887,1.7848859212802768,2.499761209630911,0.41034399765595686
