target,candidate,fold,n,valid,brier,brier_m0,absolute_gain,relative_gain,constant_brier,diagnostic_brier
wthr_gt1000,M0,1,24112,True,0.002465544098893692,0.002465544098893692,0.0,0.0,0.002605983754766076,0.002465544098893692
wthr_gt1000,M0,2,24112,True,0.002190360809544579,0.002190360809544579,0.0,0.0,0.0022346975521358946,0.002190360809544579
wthr_gt1000,M0,3,24112,True,0.0022260193103852146,0.0022260193103852146,0.0,0.0,0.0022759439310815386,0.0022260193103852146
wthr_gt1000,M0,4,24112,True,0.0025984279184388392,0.0025984279184388392,0.0,0.0,0.002688512819609265,0.0025984279184388392
wthr_gt1000,M1,0,25208,True,0.0028757407294129657,0.002875710916134191,-2.981327877453477e-08,-1.0367272526340256e-05,0.0029666621511327145,0.0028757407294129657
wthr_gt1000,M1,1,24112,True,0.002465470845775935,0.002465544098893692,7.325311775696272e-08,2.9710731107925402e-05,0.002605983754766076,0.002465470845775935
wthr_gt1000,M1,2,24112,True,0.002190120363792079,0.002190360809544579,2.404457524998911e-07,0.00010977449534895792,0.0022346975521358946,0.002190120363792079
wthr_gt1000,M1,3,24112,True,0.002226046821495309,0.0022260193103852146,-2.7511110094451813e-08,-1.2358882048373152e-05,0.0022759439310815386,0.002226046821495309
wthr_gt1000,M1,4,24112,True,0.002599655749857607,0.0025984279184388392,-1.227831418767946e-06,-0.0004725285662361722,0.002688512819609265,0.002599655749857607
wthr_gt1000,M2,0,25208,True,0.002872662270773063,0.002875710916134191,3.0486453611281057e-06,0.001060136241102562,0.0029666621511327145,0.002872662270773063
wthr_gt1000,M2,1,24112,True,0.0024626307175915287,0.002465544098893692,2.913381302163242e-06,0.001181638285630542,0.002605983754766076,0.0024626307175915287
wthr_gt1000,M2,2,24112,True,0.0021885244269290987,0.002190360809544579,1.836382615480383e-06,0.0008383927467466899,0.0022346975521358946,0.0021885244269290987
wthr_gt1000,M2,3,24112,True,0.0022258053290776254,0.0022260193103852146,2.139813075892165e-07,9.612733662772531e-05,0.0022759439310815386,0.0022258053290776254
wthr_gt1000,M2,4,24112,True,0.0025978641047071597,0.0025984279184388392,5.638137316795605e-07,0.00021698263310621497,0.002688512819609265,0.0025978641047071597
