feature,G_lower,G_upper,feature_lower,feature_upper,n
x,10.0,15.0,0.9,1.0,0
x,10.0,15.0,1.0,1.1,0
x,10.0,15.0,1.1,1.2000000000000002,0
x,10.0,15.0,1.2000000000000002,1.3,0
x,10.0,15.0,1.3,1.4000000000000001,0
x,15.0,20.0,0.0,0.1,10374
x,15.0,20.0,0.1,0.2,4734
x,15.0,20.0,0.2,0.30000000000000004,2102
x,15.0,20.0,0.30000000000000004,0.4,878
x,15.0,20.0,0.4,0.5,226
x,15.0,20.0,0.5,0.6000000000000001,26
x,15.0,20.0,0.6000000000000001,0.7000000000000001,3
x,15.0,20.0,0.7000000000000001,0.8,0
x,15.0,20.0,0.8,0.9,0
x,15.0,20.0,0.9,1.0,0
x,15.0,20.0,1.0,1.1,0
x,15.0,20.0,1.1,1.2000000000000002,0
x,15.0,20.0,1.2000000000000002,1.3,0
x,15.0,20.0,1.3,1.4000000000000001,0
x,20.0,25.0,0.0,0.1,36
x,20.0,25.0,0.1,0.2,331
x,20.0,25.0,0.2,0.30000000000000004,946
x,20.0,25.0,0.30000000000000004,0.4,1092
x,20.0,25.0,0.4,0.5,1021
x,20.0,25.0,0.5,0.6000000000000001,645
x,20.0,25.0,0.6000000000000001,0.7000000000000001,316
x,20.0,25.0,0.7000000000000001,0.8,97
x,20.0,25.0,0.8,0.9,24
x,20.0,25.0,0.9,1.0,6
x,20.0,25.0,1.0,1.1,6
x,20.0,25.0,1.1,1.2000000000000002,0
x,20.0,25.0,1.2000000000000002,1.3,0
x,20.0,25.0,1.3,1.4000000000000001,0
x,25.0,30.0,0.0,0.1,0
x,25.0,30.0,0.1,0.2,1
x,25.0,30.0,0.2,0.30000000000000004,67
x,25.0,30.0,0.30000000000000004,0.4,90
x,25.0,30.0,0.4,0.5,144
x,25.0,30.0,0.5,0.6000000000000001,167
x,25.0,30.0,0.6000000000000001,0.7000000000000001,286
x,25.0,30.0,0.7000000000000001,0.8,122
x,25.0,30.0,0.8,0.9,48
x,25.0,30.0,0.9,1.0,21
