candidate,target,scope,start,method,success,iterations,message,theta,beta,p0,nll,prediction_std,projected_gradient,boundary,n_unique_values,n,events,constant_nll,nll_improvement_vs_constant,valid,weak_identification,theta_outside_support,support_min,support_max,near_optimal_solutions,selection_reason,gamma,origin,baseline_nll,nll_gain_vs_m0,gamma_coordinate_scale,feature_min,feature_max,near_optimal_gamma_span
M0,wthr_gt0,fold_0,1,L-BFGS-B,True,27,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30.058477813519442,0.32100955198869,0.03290438950973071,17716.947940461083,0.04831135369371937,1.354046245473322e-10,,309,96448,4786,19039.075659511633,1322.1277190505498,True,False,False,2.6,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,17716.947940461083,0.0,,,,
M0,wthr_gt0,fold_1,0,L-BFGS-B,True,27,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,29.843577918360133,0.31535094601272845,0.03236464511106772,17647.50636069084,0.04815192835640808,6.251050889542917e-10,,311,97544,4748,18981.73274675711,1334.2263860662679,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,17647.50636069084,0.0,,,,
M0,wthr_gt0,fold_2,0,L-BFGS-B,True,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,29.68425615631469,0.3153868628459654,0.0329324071280166,17945.617671634034,0.04950966739982484,3.369063392355338e-11,,308,97544,4865,19328.032666832947,1382.414995198913,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,17945.617671634034,0.0,,,,
M0,wthr_gt0,fold_3,1,L-BFGS-B,True,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28.841430236415754,0.3007382361453429,0.034959630843465636,18552.134885857315,0.05252957583843346,5.356661152097411e-10,,309,97544,5105,20029.19487264111,1477.0599867837955,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,18552.134885857315,0.0,,,,
M0,wthr_gt0,fold_4,0,L-BFGS-B,True,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,29.573272427424143,0.31315115959708284,0.03364390069440783,18240.105240937555,0.050846865214449574,4.254347314124168e-11,,313,97544,4984,19677.214511918228,1437.1092709806726,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,18240.105240937555,0.0,,,,
M0,wthr_gt5,full,0,L-BFGS-B,True,30,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.027176176469748,0.3053214489082873,0.02378027882469351,17478.837826940406,0.04095891862667506,3.714503235293707e-10,,314,121656,4394,18905.962138601535,1427.1243116611295,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,17478.837826940406,0.0,,,,
M0,wthr_gt5,fold_0,6,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.66129995045354,0.3181590244245504,0.023144740558452618,13712.523612067529,0.039578853784748604,1.3938325256200505e-10,,309,96448,3428,14805.673919711944,1093.150307644415,True,False,False,2.6,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,13712.523612067529,0.0,,,,
M0,wthr_gt5,fold_1,0,L-BFGS-B,True,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.429095483848403,0.3102211346647929,0.023252767186911796,13745.026392836578,0.039069006878019716,2.9266019742836476e-10,,311,97544,3420,14818.599764363558,1073.5733715269798,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,13745.026392836578,0.0,,,,
M0,wthr_gt5,fold_2,0,L-BFGS-B,True,30,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.87348541833444,0.30161011107627933,0.023697579307589534,13956.064197168707,0.04126227394224809,2.2811514646297444e-09,,308,97544,3508,15109.15361905471,1153.089421886003,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,13956.064197168707,0.0,,,,
M0,wthr_gt5,fold_3,0,L-BFGS-B,True,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30.213479972912783,0.29280671544235737,0.024924860299099686,14404.7890865999,0.043339295460215865,7.417205517685094e-12,,309,97544,3665,15621.875661876395,1217.0865752764948,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,14404.7890865999,0.0,,,,
M0,wthr_gt5,fold_4,0,L-BFGS-B,True,27,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.037156040417603,0.30468237635716094,0.023866164569230134,14089.078489082307,0.041575759354794045,8.466214073511919e-11,,313,97544,3555,15263.394102425029,1174.315613342722,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,14089.078489082307,0.0,,,,
M0,wthr_gt100,full,3,L-BFGS-B,True,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.67314983040265,0.2806119238368181,0.01312311007874779,11010.312061814839,0.030428835937701355,1.6992417716730675e-11,,314,121656,2472,12078.044998426623,1067.7329366117847,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,11010.312061814839,0.0,,,,
M0,wthr_gt100,fold_0,0,L-BFGS-B,True,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.90571093964699,0.2855113840034684,0.013109767244686007,8765.939837510912,0.03023898094216839,1.4798767077952628e-10,,309,96448,1969,9611.08368500503,845.1438474941169,True,False,False,2.6,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,8765.939837510912,0.0,,,,
M0,wthr_gt100,fold_1,0,L-BFGS-B,True,28,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33.24596685272402,0.28653915297294785,0.01312650310699489,8737.941138865503,0.02837924434863472,3.0641811384809257e-10,,311,97544,1937,9509.058298590358,771.1171597248558,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,8737.941138865503,0.0,,,,
M0,wthr_gt100,fold_2,8,L-BFGS-B,True,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.800255784583875,0.2859934926110803,0.012822641764873311,8774.151762431422,0.03048156827051847,8.682797725570045e-11,,308,97544,1972,9645.206266186591,871.0545037551692,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,8774.151762431422,0.0,,,,
M0,wthr_gt100,fold_3,1,L-BFGS-B,True,24,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.76191804419054,0.26574559816282434,0.013625504608809298,8991.24964648288,0.032354347519612546,2.0965223526909382e-10,,309,97544,2038,9900.226016650295,908.9763701674146,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,8991.24964648288,0.0,,,,
M0,wthr_gt100,fold_4,0,L-BFGS-B,True,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.730187754636646,0.2800270004511341,0.012922646064487543,8767.892752295684,0.030729280728943514,4.638002842896117e-10,,313,97544,1972,9645.206266186591,877.3135138909074,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,8767.892752295684,0.0,,,,
M1,any_gt0,full,4,L-BFGS-B,True,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,26.777153805645426,0.3779676647960607,0.3189368163992507,77781.86680928772,0.04714903468762704,8.915663723326085e-10,,2357,121656,41926,78353.42829221259,571.5614829248661,True,False,False,2.4,35.9,16,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",-0.21257026771770712,new duration fit,77783.96496177369,2.098152485967148,0.23410712557846583,0.0,1.0,6.017552089815359e-06
M1,any_gt0,fold_0,6,L-BFGS-B,True,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26.638396634445648,0.3807466961967384,0.32152421342827003,61855.268476489655,0.045757980262182786,1.985566126746333e-09,,2269,96448,33493,62280.0431923357,424.7747158460479,True,False,False,2.6,35.9,16,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",-0.27816924441317153,new duration fit,61858.06918919337,2.800712703712634,0.23584773778241205,0.0,1.0,1.1470622469644809e-06
M1,any_gt0,fold_1,4,L-BFGS-B,True,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26.665109653766745,0.37524831567179895,0.32160213388684566,62510.466786575475,0.0456251238914034,6.220007851992257e-09,,2254,97544,33797,62939.29576636109,428.8289797856123,True,False,False,2.4,35.9,16,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",-0.252743041019089,new duration fit,62512.73833237351,2.2715457980375504,0.2330952301118215,0.0,1.0,2.5329039433086287e-06
M1,any_gt0,fold_2,1,L-BFGS-B,True,28,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,26.597948902141134,0.36655982089467765,0.3243224419891683,62634.63199554047,0.046622623151707385,7.859427931860836e-10,,2268,97544,34021,63080.30028753784,445.6682919973682,True,False,False,2.4,35.9,16,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",-0.22147507397415334,new duration fit,62636.382464843744,1.7504693032751675,0.2335664434459038,0.0,1.0,1.1742585470930766e-06
M1,any_gt0,fold_3,0,L-BFGS-B,True,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27.003906992265485,0.37402919775027454,0.3172114679019849,62211.30784381548,0.05081123367324281,3.5558187007673137e-09,,2280,97544,33493,62744.297485365794,532.9896415503172,True,False,False,2.4,35.9,16,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",-0.06107622325494128,new duration fit,62211.44951576994,0.14167195446498226,0.2340622210508646,0.0,1.0,9.837381740041007e-06
M1,any_gt0,fold_4,0,L-BFGS-B,True,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27.22514208323458,0.3969532766195489,0.3099713139581418,61889.442063979805,0.04710982359553232,2.3502494036993896e-09,,2303,97544,32900,62351.81249390351,462.370429923707,True,False,False,2.4,35.9,16,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",-0.21963252526800883,new duration fit,61891.39089188394,1.9488279041324859,0.23384091427182846,0.0,1.0,6.369820535090387e-06
