Incident Reference,cause_group_official,customers_v2_event_excl_reinterruptions,duration_A_customer_weighted_hours,duration_B_full_span_hours,lat,lon,incident_date_utc,temperature_0h,pressure_msl_0h,gust_0h,precipitation_24h_sum,weather_status_v3,LAD21CD,population,rural_urban_classification,deprivation_gap_pct,morans_i,income_deprivation_rate,cv_fold_v3,urban_binary,log_population,incident_year,incident_month,substation,LAD21NM
FREP-271589-Z,weather_natural,22.0,1.5333333333333334,1.5333333333333334,52.5675657948615,1.10617928336132,2021-11-27,4.449999809265137,996.0999755859376,17.399999618530273,7.400000095367432,matched,E07000149,142509.0,Mainly Rural (rural including hub towns >=80%) ,0.15,0.05,0.078,3.0,0.0,11.867160434591204,2021,11,WYMONDHAM PRIMARY,South Norfolk
FREP-271702-Z,technical_asset,1.0,5.45,5.45,51.5371200975242,0.764354408394138,2021-11-27,4.763000011444092,996.0999755859376,20.39999961853028,6.5,matched,E06000033,180655.0,Urban with City and Town,0.4549999999999999,0.38,0.144,3.0,1.0,12.10434441402282,2021,11,THORPE BAY PRIMARY,Southend-on-Sea
FREP-271713-Z,weather_natural,617.0,1.036547811993517,2.6666666666666665,51.6834517846981,0.0004237284673146,2021-11-27,2.700000047683716,1000.9000244140624,19.799999237060547,5.099999904632568,matched,E07000072,134941.0,Urban with Significant Rural (rural including hub towns 26-49%),0.224,0.14,0.091,3.0,1.0,11.812592924855009,2021,11,WALTHAM ABBEY PRIMARY,Epping Forest
FREP-271724-Z,technical_asset,2.0,10.741666666666667,17.783333333333335,52.7653164863162,0.428518467436399,2021-11-28,0.8610000014305115,1005.5,11.800000190734863,5.600000381469727,matched,E07000146,154920.0,Largely Rural (rural including hub towns 50-79%) ,0.301,0.29,0.12,2.0,0.0,11.950664133628688,2021,11,GAYWOOD BRIDGE PRIMARY,King's Lynn and West Norfolk
FREP-271802-Z,technical_asset,116.0,3.4203074433656955,16.65,51.5408946262329,-0.288423634196154,2021-11-28,2.0999999046325684,1007.2999877929688,8.300000190734863,1.7000000476837158,matched,E09000005,339248.0,Urban with Major Conurbation,0.3239999999999999,0.55,0.155,2.0,1.0,12.734486682322332,2021,11,BERESFORD AV PRIMARY,Brent
FREP-271745-Z,weather_natural,392.0,1.4397228637413395,8.6,52.6846328706583,0.945193420743859,2021-11-27,3.950000047683716,999.7000122070312,19.299999237060547,6.5,matched,E07000143,142160.0,Mainly Rural (rural including hub towns >=80%) ,0.207,0.18,0.1,3.0,0.0,11.864708462828533,2021,11,EAST DEREHAM PRIMARY,Breckland
FREP-271761-Z,technical_asset,75.0,2.841666666666667,14.716666666666669,51.5498865985953,-0.294576699283663,2021-11-28,-0.2000000029802322,1007.2000122070312,9.0,2.299999952316284,matched,E09000005,339248.0,Urban with Major Conurbation,0.3239999999999999,0.55,0.155,2.0,1.0,12.734486682322332,2021,11,CENTRAL WEMBLEY PRIMARY,Brent
FREP-271769-Z,technical_asset,147.0,1.383671171171171,34.78333333333333,52.0622863132542,1.18245663277473,2021-11-28,2.150000095367432,1004.4000244140624,12.5,3.700000047683716,matched,E07000202,139638.0,Urban with City and Town,0.296,0.25,0.141,2.0,1.0,11.84680863857272,2021,11,ROUNDWOOD RD PRIMARY,Ipswich
FREP-271792-Z,technical_asset,27.0,2.7641975308641973,17.833333333333332,52.4154043568626,0.743753608578155,2021-11-28,0.0,1008.5,7.599999904632568,0.7000000476837158,matched,E07000143,142160.0,Mainly Rural (rural including hub towns >=80%) ,0.207,0.18,0.1,2.0,0.0,11.864708462828533,2021,11,WATER LN PRIMARY,Breckland
FREP-57298-C,technical_asset,116.0,8.572844827586207,13.6,51.4630321731921,0.355340222846226,2021-11-27,2.650000095367432,1001.0999755859376,17.600000381469727,6.500000476837158,matched,E06000034,175933.0,Urban with Major Conurbation,0.3289999999999999,0.4,0.13,3.0,1.0,12.077858519724389,2021,11,SELWYN RD PRIMARY,Thurrock
FREP-56998-C,technical_asset,0.0,,1.0,51.803888482106,1.16435758884433,2021-11-28,4.315000057220459,999.5,18.799999237060547,8.5,matched,E07000076,148925.0,Largely Rural (rural including hub towns 50-79%) ,0.5249999999999999,0.49,0.173,2.0,0.0,11.911198102496888,2021,11,VALLEYBRIDGE RD PRIMARY,Tendring
FREP-57130-C,technical_asset,10.0,1.2833333333333334,1.2833333333333334,51.8629652183193,0.684052661863248,2021-11-26,5.25,988.2999877929688,10.199999809265137,4.299999713897705,matched,E07000067,155693.0,Largely Rural (rural including hub towns 50-79%) ,0.195,0.15,0.092,2.0,0.0,11.955641398558386,2021,11,COGGESHALL PRIMARY,Braintree
FREP-57280-C,weather_natural,105.0,0.9276190476190476,5.266666666666667,52.1311799252025,0.66639483384976,2021-11-27,3.700000047683716,994.5,19.5,3.8000001907348633,matched,E07000200,92724.0,Mainly Rural (rural including hub towns >=80%) ,0.169,0.17,0.08,3.0,0.0,11.437382617721584,2021,11,BOXTED PRIMARY,Babergh
FREP-278666-J,technical_asset,19.0,2.168128654970761,9.416666666666666,51.5687137747035,0.0842568054883287,2021-11-26,2.25,1005.5,8.199999809265137,0.0,matched,E09000026,310130.0,Urban with Major Conurbation,0.2739999999999999,0.41,0.121,2.0,1.0,12.644746843395373,2021,11,LEY ST B,Redbridge
FREP-278795-J,technical_asset,1.0,9.066666666666666,9.066666666666666,51.5132480845336,-0.138207081532514,2021-11-27,4.5,996.5999755859376,16.200000762939453,3.3999998569488525,matched,E09000033,205759.0,Urban with Major Conurbation,0.391,0.48,0.135,3.0,1.0,12.234460859988477,2021,11,CARNABY ST C 11KV,Westminster
FREP-278844-J,technical_asset,87.0,2.607789855072464,15.4,51.5357624271409,0.0798094496235656,2021-11-27,3.299999952316284,1000.5,16.899999618530273,7.700000286102295,matched,E09000002,218714.0,Urban with Major Conurbation,0.254,0.27,0.194,3.0,1.0,12.295520219247926,2021,11,AXE ST,Barking and Dagenham
FREP-278660-J,technical_asset,140.0,2.3162365591397847,14.783333333333331,51.4596810194951,0.0784216086642374,2021-11-25,0.4000000059604645,1013.9000244140624,5.0,0.0,matched,E09000011,289537.0,Urban with Major Conurbation,0.312,0.34,0.159,1.0,1.0,12.576038374391663,2021,11,ELTHAM GRID 11KV,Greenwich
