Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose,cubic_eta
FREP-74587-N,0,2023-10-16,E09000006,0.6931471805599453,1.7429672191040306,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7324275668306013
FREP-74593-V,0,2021-11-04,E09000008,2.70805020110221,1.5989066261335452,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.5861911761465666
FREP-74596-C,4,2023-05-04,E07000095,1.0986122886681098,1.9210852877675533,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9108931674015281
FREP-74598-V,4,2021-11-05,E07000209,0.6931471805599453,1.9616675316083498,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.946944794900653
FREP-74599-V,4,2021-11-05,E09000008,0.6931471805599453,1.7120323564824806,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.755772492088624
FREP-7461-I,2,2023-07-21,E07000011,0.0,2.5248628959833828,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.5172038382339683
FREP-74611-C,4,2023-05-04,E07000071,1.0986122886681098,1.890420732526651,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.877667438713753
FREP-74611-N,0,2023-10-16,E09000019,1.6094379124341003,1.6256297973863805,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6154292685072702
FREP-7462-I,0,2023-07-20,E07000202,0.6931471805599453,2.2332394160340487,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.231973084033846
FREP-74622-C,3,2023-05-05,E07000242,1.3862943611198906,2.0350209144360925,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9930657083311005
FREP-74628-N,2,2023-10-17,E09000033,0.0,1.692125228556407,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6998315673001296
FREP-74630-C,2,2023-06-15,E07000076,2.9444389791664403,2.1137837863950373,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.0988891470803703
FREP-74630-V,4,2021-11-02,E07000113,0.0,2.023654318782636,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1141341789924657
FREP-74641-C,3,2023-05-05,E09000016,4.276666119016055,1.8684885590048217,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.816653318512575
FREP-74647-C,0,2023-05-06,E07000068,2.772588722239781,2.014441014366281,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.0054709442593213
FREP-74654-C,1,2023-05-07,E07000241,2.1972245773362196,2.136476540169186,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1555617136409224
FREP-74654-N,2,2023-10-17,E09000007,4.343805421853684,1.6644230478763649,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6832063276719342
