k1,k2,sse,lr
19.0,25.0,67374.70475620807,68.39412294653347
19.0,26.0,67354.63456126727,53.147969458280464
19.0,27.0,67342.95508620558,44.273663980444226
19.0,28.0,67328.95506304312,33.634129914585195
19.0,29.0,67317.44709331713,24.886813583947234
19.0,30.0,67311.19023039813,20.130285511630934
19.0,31.0,67306.6013158414,16.641466953464697
19.0,32.0,67304.68249185909,15.182570241746065
19.0,33.0,67305.50337694651,15.806700612087239
19.0,34.0,67307.96918333389,17.681441793276207
20.0,24.0,67395.15062744441,83.92098648475381
20.0,25.0,67374.26163595481,68.05755943399129
20.0,26.0,67360.49916816033,57.603438126412236
20.0,27.0,67354.4240672917,52.988045421655926
20.0,28.0,67344.12719792934,45.16432806231674
20.0,29.0,67335.80728861428,38.841861073538155
20.0,30.0,67332.46832691955,36.30429703243176
20.0,31.0,67330.19434993285,34.57603439395173
20.0,32.0,67330.0898813726,34.4966350422499
20.0,33.0,67332.33487931704,36.2028761117451
20.0,34.0,67336.09230272539,39.05846197026614
