population,window,events,denominator_events,events_pct,customers_sum,customers_nonmissing_n,denominator_customers_sum,customers_pct,duration_mean_hours,gust_max_ms,overlap_events,summed_window_memberships,UTC_window_days_unique,timezone,end_rule
main_candidate_R0c,Henk,494,60436,0.817393606459726,68536,494,5622103,1.2190456133585599,17.088933873144402,29.600000381469727,479,4931,25,UTC,exclusive next-day midnight
main_candidate_R0c,UNIQUE_ANY,4452,60436,7.366470315705871,745372,4452,5622103,13.257885883627532,34.48060796645703,39.400001525878906,479,4931,25,UTC,exclusive next-day midnight
weather_candidate_E0,Arwen,81,9857,0.8217510398701431,14800,81,1892162,0.7821740421803207,5.517901234567901,22.200000762939453,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_E0,Dudley,121,9857,1.2275540225220656,22156,121,1892162,1.170935680982918,18.45633608815427,27.700000762939453,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_E0,Eunice,1398,9857,14.18281424368469,364131,1398,1892162,19.244176767105564,59.621506914639966,39.400001525878906,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_E0,Franklin,884,9857,8.968245916607486,151854,884,1892162,8.025422770354758,49.93902714932128,32.20000076293945,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_E0,Babet,80,9857,0.811605965303845,15516,80,1892162,0.8200143539506659,7.181041666666667,22.799999237060547,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_E0,Ciaran,206,9857,2.089885360657401,49112,206,1892162,2.595549429699994,8.853640776699029,32.5,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_E0,Henk,336,9857,3.408745054276149,61405,336,1892162,3.245229531086662,12.242361111111112,29.600000381469727,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_E0,UNIQUE_ANY,2750,9857,27.89895505731967,622601,2750,1892162,32.904212218615534,43.14798181818182,39.400001525878906,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_R0c,Arwen,81,9857,0.8217510398701431,14800,81,1892162,0.7821740421803207,5.517901234567901,22.200000762939453,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_R0c,Dudley,121,9857,1.2275540225220656,22156,121,1892162,1.170935680982918,18.45633608815427,27.700000762939453,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_R0c,Eunice,1398,9857,14.18281424368469,364131,1398,1892162,19.244176767105564,59.621506914639966,39.400001525878906,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_R0c,Franklin,884,9857,8.968245916607486,151854,884,1892162,8.025422770354758,49.93902714932128,32.20000076293945,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_R0c,Babet,80,9857,0.811605965303845,15516,80,1892162,0.8200143539506659,7.181041666666667,22.799999237060547,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_R0c,Ciaran,206,9857,2.089885360657401,49112,206,1892162,2.595549429699994,8.853640776699029,32.5,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_R0c,Henk,336,9857,3.408745054276149,61405,336,1892162,3.245229531086662,12.242361111111112,29.600000381469727,356,3106,25,UTC,exclusive next-day midnight
weather_candidate_R0c,UNIQUE_ANY,2750,9857,27.89895505731967,622601,2750,1892162,32.904212218615534,43.14798181818182,39.400001525878906,356,3106,25,UTC,exclusive next-day midnight
main_E0_actual_fit,Arwen,270,60436,0.4467535905751539,25061,270,5622103,0.4457584644038005,11.019012345679014,22.200000762939453,479,4931,25,UTC,exclusive next-day midnight
main_E0_actual_fit,Dudley,291,60436,0.4815010920643325,30092,291,5622103,0.5352445517273519,15.853665521191296,27.700000762939453,479,4931,25,UTC,exclusive next-day midnight
main_E0_actual_fit,Eunice,1659,60436,2.745052617645112,395470,1659,5622103,7.034200547375244,54.56398432790837,39.400001525878906,479,4931,25,UTC,exclusive next-day midnight
main_E0_actual_fit,Franklin,1132,60436,1.873055794559534,165963,1132,5622103,2.951973665370414,45.924587750294464,32.20000076293945,479,4931,25,UTC,exclusive next-day midnight
main_E0_actual_fit,Babet,509,60436,0.8422132503805678,56696,509,5622103,1.0084482621538595,14.911067452521284,22.799999237060547,479,4931,25,UTC,exclusive next-day midnight
main_E0_actual_fit,Ciaran,576,60436,0.9530743265603283,69801,576,5622103,1.2415460904931839,14.302459490740741,32.5,479,4931,25,UTC,exclusive next-day midnight
main_E0_actual_fit,Henk,494,60436,0.817393606459726,68536,494,5622103,1.2190456133585599,17.088933873144402,29.600000381469727,479,4931,25,UTC,exclusive next-day midnight
main_E0_actual_fit,UNIQUE_ANY,4452,60436,7.366470315705871,745372,4452,5622103,13.257885883627532,34.48060796645703,39.400001525878906,479,4931,25,UTC,exclusive next-day midnight
main_R0c_actual_fit,Arwen,270,60436,0.4467535905751539,25061,270,5622103,0.4457584644038005,11.019012345679014,22.200000762939453,479,4931,25,UTC,exclusive next-day midnight
main_R0c_actual_fit,Dudley,291,60436,0.4815010920643325,30092,291,5622103,0.5352445517273519,15.853665521191296,27.700000762939453,479,4931,25,UTC,exclusive next-day midnight
main_R0c_actual_fit,Eunice,1659,60436,2.745052617645112,395470,1659,5622103,7.034200547375244,54.56398432790837,39.400001525878906,479,4931,25,UTC,exclusive next-day midnight
main_R0c_actual_fit,Franklin,1132,60436,1.873055794559534,165963,1132,5622103,2.951973665370414,45.924587750294464,32.20000076293945,479,4931,25,UTC,exclusive next-day midnight
main_R0c_actual_fit,Babet,509,60436,0.8422132503805678,56696,509,5622103,1.0084482621538595,14.911067452521284,22.799999237060547,479,4931,25,UTC,exclusive next-day midnight
main_R0c_actual_fit,Ciaran,576,60436,0.9530743265603283,69801,576,5622103,1.2415460904931839,14.302459490740741,32.5,479,4931,25,UTC,exclusive next-day midnight
main_R0c_actual_fit,Henk,494,60436,0.817393606459726,68536,494,5622103,1.2190456133585599,17.088933873144402,29.600000381469727,479,4931,25,UTC,exclusive next-day midnight
main_R0c_actual_fit,UNIQUE_ANY,4452,60436,7.366470315705871,745372,4452,5622103,13.257885883627532,34.48060796645703,39.400001525878906,479,4931,25,UTC,exclusive next-day midnight
weather_E0_actual_fit,Arwen,81,9857,0.8217510398701431,14800,81,1892162,0.7821740421803207,5.517901234567901,22.200000762939453,356,3106,25,UTC,exclusive next-day midnight
weather_E0_actual_fit,Dudley,121,9857,1.2275540225220656,22156,121,1892162,1.170935680982918,18.45633608815427,27.700000762939453,356,3106,25,UTC,exclusive next-day midnight
weather_E0_actual_fit,Eunice,1398,9857,14.18281424368469,364131,1398,1892162,19.244176767105564,59.621506914639966,39.400001525878906,356,3106,25,UTC,exclusive next-day midnight
weather_E0_actual_fit,Franklin,884,9857,8.968245916607486,151854,884,1892162,8.025422770354758,49.93902714932128,32.20000076293945,356,3106,25,UTC,exclusive next-day midnight
weather_E0_actual_fit,Babet,80,9857,0.811605965303845,15516,80,1892162,0.8200143539506659,7.181041666666667,22.799999237060547,356,3106,25,UTC,exclusive next-day midnight
weather_E0_actual_fit,Ciaran,206,9857,2.089885360657401,49112,206,1892162,2.595549429699994,8.853640776699029,32.5,356,3106,25,UTC,exclusive next-day midnight
weather_E0_actual_fit,Henk,336,9857,3.408745054276149,61405,336,1892162,3.245229531086662,12.242361111111112,29.600000381469727,356,3106,25,UTC,exclusive next-day midnight
weather_E0_actual_fit,UNIQUE_ANY,2750,9857,27.89895505731967,622601,2750,1892162,32.904212218615534,43.14798181818182,39.400001525878906,356,3106,25,UTC,exclusive next-day midnight
weather_R0c_actual_fit,Arwen,81,9857,0.8217510398701431,14800,81,1892162,0.7821740421803207,5.517901234567901,22.200000762939453,356,3106,25,UTC,exclusive next-day midnight
weather_R0c_actual_fit,Dudley,121,9857,1.2275540225220656,22156,121,1892162,1.170935680982918,18.45633608815427,27.700000762939453,356,3106,25,UTC,exclusive next-day midnight
weather_R0c_actual_fit,Eunice,1398,9857,14.18281424368469,364131,1398,1892162,19.244176767105564,59.621506914639966,39.400001525878906,356,3106,25,UTC,exclusive next-day midnight
weather_R0c_actual_fit,Franklin,884,9857,8.968245916607486,151854,884,1892162,8.025422770354758,49.93902714932128,32.20000076293945,356,3106,25,UTC,exclusive next-day midnight
weather_R0c_actual_fit,Babet,80,9857,0.811605965303845,15516,80,1892162,0.8200143539506659,7.181041666666667,22.799999237060547,356,3106,25,UTC,exclusive next-day midnight
weather_R0c_actual_fit,Ciaran,206,9857,2.089885360657401,49112,206,1892162,2.595549429699994,8.853640776699029,32.5,356,3106,25,UTC,exclusive next-day midnight
weather_R0c_actual_fit,Henk,336,9857,3.408745054276149,61405,336,1892162,3.245229531086662,12.242361111111112,29.600000381469727,356,3106,25,UTC,exclusive next-day midnight
weather_R0c_actual_fit,UNIQUE_ANY,2750,9857,27.89895505731967,622601,2750,1892162,32.904212218615534,43.14798181818182,39.400001525878906,356,3106,25,UTC,exclusive next-day midnight
