combination,model_id,prediction_type,n,k,sse,aic,bic,r2,adj_r2,rmse,n_columns,knots,component_action,source,predictions_saved,knots_mode
E0_all,H11,year_holdout,60437,,,,,,,1.9770248796731904,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A6_M5_+LAD_FE/cv_year,False,none_or_fixed10.8
E0_all,H12,in_sample,60437,21,239551.60216403584,254786.63947676719,254975.83596912937,0.027588808545461196,0.02726690335761206,1.9908937841744807,21,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A7_M5_no_socio,True,none_or_fixed10.8
E0_all,H12,LAD_OOF,60437,,,,,,,1.9923665035599183,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A7_M5_no_socio/cv_lad,False,none_or_fixed10.8
E0_all,H12,random_OOF,48324,,,,,,,2.0015617414146165,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A7_M5_no_socio/cv_random,False,none_or_fixed10.8
E0_all,H12,year_holdout,60437,,,,,,,2.0005591671249792,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A7_M5_no_socio/cv_year,False,none_or_fixed10.8
E0_all,H13,in_sample,60437,26,237591.89185664948,254300.18640000719,254534.42967626514,0.035543855465190788,0.035144732729043837,1.9827335646480866,26,[13.0],REUSE,results/new/20260909183317/results/model_selection/knots.json#E0/one_knot,False,full_sample_selected
E0_all,H13,LAD_OOF,60437,,,,,,,1.9869395330927375,,,REUSE,results/new/20260909183317/results/model_selection/knots.json#E0/nested_cv/rmse_one_knot,False,train_selected
E0_all,H14,in_sample,60437,27,237417.5514557283,254257.82260289986,254501.07523593697,0.036251554998180446,0.035836765069856558,1.9820059851066041,27,"[14.0, 26.0]",REUSE,results/new/20260909183317/results/model_selection/knots.json#E0/two_knot,False,full_sample_selected
E0_all,H14,LAD_OOF,60437,,,,,,,1.9864794242583639,,,REUSE,results/new/20260909183317/results/model_selection/knots.json#E0/nested_cv/rmse_two_knot,False,train_selected
E0_all,F01,in_sample,60437,27,237627.40551594101,254311.21944661313,254554.47207965024,0.035399694961012917,0.034984538398671994,1.9828817420388809,27,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F01,LAD_OOF,60437,,,,,,,1.9872478907816467,,,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/quadratic,False,none_or_fixed10.8
E0_all,F02,in_sample,60437,28,237268.64855069271,254221.90599539498,254474.16798521124,0.036855996170723992,0.036425515810125542,1.9813843530161344,28,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F02,LAD_OOF,60437,,,,,,,1.9856983185077843,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F03,in_sample,60437,26,238524.34907266893,254536.91425749904,254771.15753375698,0.031758734329624505,0.031358045189538108,1.9866204897957185,26,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F03,LAD_OOF,60437,,,,,,,1.9910713770060258,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F04,in_sample,60437,29,237511.23006531157,254285.6647216389,254546.9360682343,0.03587128566357467,0.035424397767908178,1.9823969697917874,29,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F04,LAD_OOF,60437,,,,,,,1.986661188002425,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F05,in_sample,60437,27,237337.00933542688,254237.31632629561,254480.56895933271,0.036578499416239363,0.036163850202281744,1.9816697662707403,27,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F05,LAD_OOF,60437,,,,,,,1.9858436812057567,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_all,F06,in_sample,60437,27,237251.19469570869,254215.45999108491,254458.71262412201,0.03692684655856171,0.036512347270538648,1.9813114748011003,27,[13.0],REFIT,APP-C-COMPLETE,True,full_sample_selected
E0_all,F06,LAD_OOF,60437,,,,,,,1.98550706416819,,,REFIT,APP-C-COMPLETE,True,train_selected
E0_all,F07,in_sample,60437,28,237078.25897859657,254173.39055235515,254425.65254217142,0.037628844062243205,0.037198709128535956,1.9805892403301442,28,"[14.0, 26.0]",REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#all/two_hinge,False,full_sample_selected
E0_all,F07,LAD_OOF,60437,,,,,,,1.9850602661014722,,,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/two_hinge,False,train_selected
E0_all,F08,in_sample,60437,27,237084.04103533734,254172.86452092353,254416.11715396063,0.037605372974454321,0.03719116571898895,1.9806133922907529,27,"[14.0, 25.0]",DERIVE,results/new/20260909183317/results/final_models/final_summary.json#E0/final,True,full_sample_selected
E0_all,F08,LAD_OOF,60437,,,,,,,1.984977852482861,,,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#all/nested_cv/ramp,False,train_selected
E0_weather,H01,in_sample,9857,5,47164.700791587951,43413.731763295524,43449.711449003851,0.027062001568046834,0.026666980050210065,2.1874400710140542,5,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H01,LAD_OOF,9857,,,,,,,2.1895929236056633,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H01,random_OOF,7750,,,,,,,2.1933036302774296,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H01,year_holdout,9857,,,,,,,2.1936122908766871,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H02,in_sample,9857,6,46982.92925623362,43377.669748364817,43420.845371214811,0.030811679416339111,0.030319755591050379,2.1832208331902589,6,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H02,LAD_OOF,9857,,,,,,,2.1860411395239803,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H02,random_OOF,7750,,,,,,,2.1938892868894913,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H02,year_holdout,9857,,,,,,,2.2047120840647536,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H03,in_sample,9857,7,46911.946577935974,43364.766349493388,43415.137909485049,0.032275947052667786,0.031686470472192307,2.1815709845965401,7,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H03,LAD_OOF,9857,,,,,,,2.18463276238856,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H03,random_OOF,7750,,,,,,,2.1939784311528729,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H03,year_holdout,9857,,,,,,,2.2012797284522807,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H04,in_sample,9857,12,46784.966480271745,43348.04949088853,43434.400736588519,0.034895358603862503,0.033817029395598719,2.1786164727278465,12,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H04,LAD_OOF,9857,,,,,,,2.1881251914307467,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H04,random_OOF,7750,,,,,,,2.1933674169056792,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H04,year_holdout,9857,,,,,,,2.2005446096824444,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H05,in_sample,9857,26,46285.607502132261,43270.2753784097,43457.369744093005,0.045196395534784939,0.042768352597990056,2.1669585585689837,26,[],DERIVE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/paper,True,none_or_fixed10.8
E0_weather,H05,LAD_OOF,9857,,,,,,,2.1784068292120016,,,REUSE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/paper/cv_lad,False,none_or_fixed10.8
E0_weather,H05,random_OOF,7750,,,,,,,2.18892921634952,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H05,year_holdout,9857,,,,,,,2.2147861205630339,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H06,in_sample,9857,27,45994.604110091466,43210.107555134557,43404.39785795952,0.051199364980942796,0.048689821083639173,2.1601358483767572,27,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H06,LAD_OOF,9857,,,,,,,2.1713658248619589,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H06,random_OOF,7750,,,,,,,2.1754554468152874,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H06,year_holdout,9857,,,,,,,2.1952208127234423,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H07,in_sample,9857,25,46351.956174064333,43282.394898507344,43462.293327048981,0.043827720593891062,0.041493695501768846,2.1685111290460619,25,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H07,LAD_OOF,9857,,,,,,,2.1799100526618918,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H07,random_OOF,7750,,,,,,,2.178052919376078,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H07,year_holdout,9857,,,,,,,2.1989918852029158,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H08,in_sample,9857,26,46113.726656960505,43233.603437849146,43420.69780353245,0.04874204307761909,0.046323016638491921,2.1629313337800418,26,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H08,LAD_OOF,9857,,,,,,,2.174091043314168,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H08,random_OOF,7750,,,,,,,2.1756522043330837,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H08,year_holdout,9857,,,,,,,2.1978334716565602,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H09,in_sample,9857,28,46078.056425283816,43229.97582767767,43431.462067644301,0.049477867183966739,0.046866808318768438,2.1620946286057738,28,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H09,LAD_OOF,9857,,,,,,,2.1740422135344581,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H09,random_OOF,7750,,,,,,,2.1774690426597698,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
