combination,model_id,family,n,k,n_columns,aic,bic,adj_r2,rmse,knots,full_action,full_source,sample_id_sha256,status,cache_used,LAD_OOF_RMSE,LAD_OOF_n,LAD_OOF_action,LAD_OOF_source,LAD_OOF_knots,random_OOF_RMSE,random_OOF_n,random_OOF_action,random_OOF_source,random_OOF_knots,year_holdout_RMSE,year_holdout_n,year_holdout_action,year_holdout_source,year_holdout_knots,delta_BIC_best_nonFE,delta_AIC_best_nonFE
E0_weather,H07,historical,9857,25,25,43282.394898507344,43462.293327048981,0.041493695501768846,2.1685111290460619,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1799100526618918,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.178052919376078,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1989918852029158,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,63.419514678185806,77.811388961512421
E0_weather,H08,historical,9857,26,26,43233.603437849146,43420.69780353245,0.046323016638491921,2.1629313337800418,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.174091043314168,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1756522043330837,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1978334716565602,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,21.823991161654703,29.019928303314373
E0_weather,H09,historical,9857,28,28,43229.97582767767,43431.462067644301,0.046866808318768438,2.1620946286057738,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1740422135344581,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1774690426597698,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.198370629506992,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,32.588255273505638,25.392318131838692
E0_weather,H10,historical,9857,29,29,43237.699307016694,43446.381484124991,0.046216171906432013,2.1627224312057791,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1747064286565401,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1896858667575816,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.2062804715294226,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,47.507671754196053,33.115797470862162
E0_weather,H11,historical,9857,126,130,43236.803473949869,44143.491553799715,0.05556816704640688,2.1414467437554356,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.8899943247835851,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1932507859268182,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.2137882279701042,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,744.61774142891954,32.219964404037455
E0_weather,H12,historical,9857,21,21,43287.623110332737,43438.737790307714,0.040596823687758077,2.1699667012684891,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1748448619394241,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1896768887218898,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.2160186517224578,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,39.863977936918673,83.039600786905794
E0_weather,H13,historical,9857,26,26,43233.873316194586,43420.96768187789,0.046296905216173356,2.162960943819872,[11.0],REUSE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/knots/one_knot,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1742993432399964,9857,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,22.093869507094496,29.289806648754166
E0_weather,H14,historical,9857,27,27,43204.583509545831,43398.873812370795,0.049222803588461428,2.1595306430792327,"[11.0, 26.0]",REUSE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/knots/two_knot,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1717180856772988,9857,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,0,0
R0c_all,H01,historical,51173,7,7,161679.13554104869,161741.03631234597,0.069658479503800108,1.1742804125331381,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1748778379784359,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1889905681772888,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1960942909268122,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2203.1162332076638,2397.6615144276875
R0c_all,H02,historical,51173,8,8,160889.76182346055,160960.50556208601,0.083917325710915036,1.1652354954046265,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1658635292874198,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1771194153255764,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1841332565678842,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1422.585482947703,1608.2877968395478
R0c_all,H03,historical,51173,9,9,160867.40123168076,160946.9879376344,0.084335421139868916,1.1649581768159725,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1656577737015521,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1778011311307313,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1836261424114485,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1409.0678584960988,1585.9272050597647
R0c_all,H04,historical,51173,14,14,160139.86881096713,160263.6703535617,0.097349607134379124,1.1565933549791252,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1597471421607148,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1694906161234861,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1759734636324135,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,725.75027442339342,858.39478434613557
R0c_all,H05,historical,51173,28,28,159323.50931900644,159571.11240419556,0.11187818453852794,1.1470906561504295,[],REUSE,results/new/20260909183317/results/final_models/final_summary.json#R0c/paper,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1505728095036865,51173,REUSE,results/new/20260909183317/results/final_models/final_summary.json#R0c/paper_cv_lad,none_or_fixed10.8,1.156673366030498,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1760296282124121,51173,REUSE,results/new/20260909183317/results/final_models/final_summary.json#R0c/paper_cv_year,none_or_fixed10.8,33.192325057258131,42.03529238543706
R0c_all,H06,historical,51173,29,29,159318.44117994653,159574.88723246384,0.11198348288565807,1.1470114394119999,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1506572683661096,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1566256124256764,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1729701033291584,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,36.967153325531399,36.967153325531399
R0c_all,H07,historical,51173,27,27,159724.71622915831,159963.47634701926,0.10487027567303819,1.1516186997375335,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1551417082949205,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1629464397951581,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1878953353165493,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,425.55626788095105,443.24220253730891
R0c_all,H08,historical,51173,28,28,159505.21016114223,159752.81324633135,0.1087191101206697,1.1491289621359289,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1526180763351761,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1617255954918315,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1833862424674322,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,214.8931671930477,223.73613452122663
R0c_all,H09,historical,51173,30,30,159416.83597429775,159682.12499414323,0.11029174983049617,1.1480922634456554,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1516540620553541,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1627539560290105,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1796931474226136,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,144.2049150049279,135.36194767674897
R0c_all,H10,historical,51173,31,31,159299.1446342014,159573.27662137506,0.11235294936873952,1.1467503802258618,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1503369240679924,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1568632479121694,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1755649132788062,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,35.356542236753739,17.670607580395881
R0c_all,H11,historical,51173,134,138,158351.44858565481,159536.40620763134,0.13038967012643732,1.1338962134688415,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1938156558504707,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1479893670201911,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1677170842725031,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,-1.5138715069624595,-930.02544096618658
R0c_all,H12,historical,51173,23,23,160105.93169096793,160309.31993951614,0.098106608237757409,1.1560065720206258,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1570908453842441,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1659587823517483,41177,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.1823779262777576,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,771.39986037783092,824.4576643469336
R0c_all,H13,historical,51173,28,28,159293.74380654283,159541.34689173196,0.11239462317202431,1.1467570937576235,[17.0],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1503512768607238,51173,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,3.4268125936505385,12.269779921829468
R0c_all,H14,historical,51173,29,29,159281.474026621,159537.9200791383,0.1126247505150193,1.1465972161794444,"[13.0, 19.0]",REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1502997471828955,51173,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,0,0
R0c_weather,H01,historical,9254,7,7,31492.142353362036,31542.072031548305,0.1880762862179558,1.3255761567045272,[],REFIT,APP-C-COMPLETE,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.3299990830247075,9254,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.4016837364888852,7277,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1.4662631784259237,9254,REFIT,APP-C-COMPLETE,none_or_fixed10.8,1052.3633611659825,1223.5508292331906
