model,term,old_coef,new_coef,coef_difference,old_se_twoway,new_se_twoway,se_twoway_difference,old_se_lad,new_se_lad,se_lad_difference,old_p_t_G1,new_p_t_G1,p_difference
E0_weather_final,incident_month[10],0.55462524703508054,0.55462524703508054,0,0.2041049366486985,0.2041049366486988,3.0531133177191805e-16,0.15513212379598992,0.15513212379599142,1.4988010832439613e-15,0.0077099363312168479,0.0077099363312169468,9.8879238130678004e-17
E0_weather_final,incident_month[11],0.27597963323406105,0.27597963323406105,0,0.18291804485801091,0.18291804485801011,-8.0491169285323849e-16,0.15627662733102554,0.1562766273310261,5.5511151231257827e-16,0.13439187777554665,0.13439187777554501,-1.6375789613221059e-15
E0_weather_final,incident_month[12],0.55963749928882145,0.55963749928882145,0,0.14798291122292245,0.14798291122292134,-1.1102230246251565e-15,0.12504924834451234,0.12504924834451372,1.3877787807814457e-15,0.00026027334727740951,0.00026027334727738344,-2.6075062248276382e-17
E0_weather_final,gust_low,-0.059490066800773581,-0.059490066800773581,0,0.01528202491600949,0.015282024916009593,1.0234868508263162e-16,0.012007383614723416,0.012007383614722875,-5.4123372450476381e-16,0.00017523335348816935,0.00017523335348818556,1.6208822478658291e-17
E0_weather_final,gust_ramp,0.078501781906975335,0.078501781906975335,0,0.0099525500084420519,0.009952550008442116,6.4184768611141862e-17,0.0076106390450387772,0.0076106390450388405,6.3317406873153459e-17,3.2369942577389192e-12,3.2369942577397343e-12,8.1506370904883293e-25
E0_weather_final,z_temperature_sq,0.092837296950974493,0.092837296950974493,0,0.018884764868212316,0.01888476486821233,1.3877787807814457e-17,0.013385474092253945,0.013385474092253906,-3.9898639947466563e-17,3.3104498796670239e-06,3.3104498796670646e-06,4.0657581468206416e-20
R0c_weather_final,Intercept,2.6037246216858407,2.6037246216858407,0,0.77691462287857815,0.77691462287896773,3.8957725934096743e-13,0.76410754331877073,0.7641075433186264,-1.4432899320127035e-13,0.001125226297993767,0.0011252262979999173,6.1502452436412725e-15
R0c_weather_final,z_gust_0h,-0.054476182609053327,-0.054476182609053327,0,0.088972575068232168,0.088972575068230836,-1.3322676295501878e-15,0.043178704899226289,0.043178704899226185,-1.0408340855860843e-16,0.54170145499924005,0.54170145499923406,-5.9952043329758453e-15
R0c_weather_final,z_precipitation_24h_sum,0.06039950150937571,0.06039950150937571,0,0.023402591785042184,0.023402591785042202,1.7347234759768071e-17,0.01775538149395604,0.017755381493955977,-6.2450045135165055e-17,0.01126280488059812,0.011262804880598184,6.4184768611141862e-17
R0c_weather_final,z_temperature_0h,-0.13372587989107373,-0.13372587989107373,0,0.06341001979582013,0.063410019795820047,-8.3266726846886741e-17,0.028380501560170347,0.028380501560170249,-9.7144514654701197e-17,0.037377269510293271,0.037377269510292965,-3.0531133177191805e-16
R0c_weather_final,z_pressure_msl_0h,-0.10170053300783588,-0.10170053300783588,0,0.033694484692006949,0.033694484692006997,4.8572257327350599e-17,0.022999030873324316,0.022999030873324205,-1.1102230246251565e-16,0.0032037586254923707,0.0032037586254924102,3.9464959078472361e-17
R0c_weather_final,urban_binary,0.002785827329820289,0.002785827329820289,0,0.05093172477364457,0.050931724773644521,-4.8572257327350599e-17,0.055832123708595194,0.055832123708594882,-3.1225022567582528e-16,0.95648558327520183,0.95648558327520183,0
R0c_weather_final,log_population,-0.13807931489924105,-0.13807931489924105,0,0.062783723542290268,0.062783723542341505,5.1236792586450974e-14,0.06351792170475655,0.063517921704752345,-4.2049697057677804e-15,0.030093906745003392,0.030093906745134777,1.3138448662353142e-13
R0c_weather_final,income_deprivation_rate,-4.1246825119830879,-4.1246825119830879,0,1.2522481477925544,1.2522481477928558,3.0131452888326749e-13,1.2554996345630962,1.2554996345631424,4.6185277824406512e-14,0.0013553811593223122,0.001355381159325766,3.4538344406698229e-15
R0c_weather_final,deprivation_gap_pct,1.3488223724646393,1.3488223724646393,0,0.51797684216267592,0.51797684216266104,-1.4876988529977098e-14,0.56294123390614792,0.5629412339061417,-6.2172489379008766e-15,0.010574724593237651,0.010574724593235493,-2.157996004115148e-15
R0c_weather_final,morans_i,0.1131095276321233,0.1131095276321233,0,0.24904286478887372,0.24904286478893625,6.2533311862011942e-14,0.27170748497272679,0.27170748497272118,-5.6066262743570405e-15,0.65065710545891742,0.65065710545899924,8.1823436914874037e-14
R0c_weather_final,incident_year[2022],0.25916142459347891,0.25916142459347891,0,0.04716377215387129,0.047163772153870707,-5.8286708792820718e-16,0.033272823612968495,0.03327282361296837,-1.2490009027033011e-16,2.8427492106201515e-07,2.8427492106193066e-07,-8.4491536488616459e-20
R0c_weather_final,incident_year[2023],0.10757109903365869,0.10757109903365869,0,0.049967350009808627,0.049967350009808419,-2.0816681711721685e-16,0.040489544866495281,0.040489544866495503,2.2204460492503131e-16,0.033666749368411499,0.03366674936841077,-7.2858385991025898e-16
R0c_weather_final,incident_year[2024],-0.1539546282416504,-0.1539546282416504,0,0.14856554048499801,0.1485655404849989,8.8817841970012523e-16,0.088166991160792851,0.088166991160792976,1.2490009027033011e-16,0.30250104435584446,0.30250104435584735,2.886579864025407e-15
R0c_weather_final,incident_month[2],0.75897922364617243,0.75897922364617243,0,0.16553635724670229,0.16553635724670199,-3.0531133177191805e-16,0.075169667759929976,0.075169667759928879,-1.0963452368173421e-15,1.2807763815674132e-05,1.2807763815673656e-05,-4.7603251635691679e-19
R0c_weather_final,incident_month[3],-0.35055517439341266,-0.35055517439341266,0,0.13255311422234672,0.13255311422234559,-1.1379786002407855e-15,0.085087435295111966,0.085087435295111369,-5.9674487573602164e-16,0.0094576650575386237,0.0094576650575380374,-5.863365348801608e-16
R0c_weather_final,incident_month[4],-0.30657539030549236,-0.30657539030549236,0,0.1407384796430956,0.14073847964309405,-1.5543122344752192e-15,0.094299997952259199,0.094299997952258172,-1.0269562977782698e-15,0.031662089161224163,0.031662089161222311,-1.85268467234323e-15
