term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,gust_hinge_11,z_temperature_sq,z_gust_precip
incident_year[2022],-0.0010717139923843901,5.1092148425753145e-05,1.816761374569812e-06,-0.00014178832969342938,-1.8794561161916502e-05,-1.086145502359922e-05,-7.9184205941954421e-06,-0.00041205368397740434,0.00014257432099857534,6.527207662635879e-05,0.0013473573084267509,0.00079959253960294535,0.0011066639256426996,-0.00027134762834616315,5.9512630301677959e-05,0.00019653306611594674,0.00062024566667615922,0.00067323666237423545,0.00069173372409362343,0.00061328713844784532,0.00060097304117796835,0.00056681236864578348,0.0002601046051775295,0.00027221949637360891,-1.4508308342734887e-05,4.4215335759690864e-06,-2.7088736867247769e-06,-2.0719288269744554e-05,1.134401514851818e-05
incident_year[2023],-0.00099763365878743969,-9.6286914692477492e-07,-7.9801380184629794e-06,-0.00011661059266792211,5.9124036575220017e-05,8.4654770913590722e-06,-1.5042008897011838e-05,-0.00083884220807548308,0.00011087780335552451,0.00013324369489003097,0.00079959253960294535,0.0012233959600139325,0.0010420962200976597,0.00017505291872948938,2.0247920441145558e-05,0.00016854593849985412,0.00062735399907307002,0.0004586429217008755,0.00051142058164966252,0.00052138091572316472,0.00046783098420910693,0.00056181862337873476,0.00026032622997426062,0.00019913827600516758,-2.054061797321875e-05,6.7628036257171275e-06,1.2683861908349663e-05,1.483013218812504e-05,-3.3078639179240117e-07
incident_year[2024],-0.0029210136633060625,4.8391257983369264e-05,-6.9813292537192079e-05,-0.00021500135187049445,9.9200645251209694e-05,-2.1554453595344161e-05,-4.5208527944905334e-05,-0.00058637970385915232,5.2039316476723809e-05,6.0048918090161768e-05,0.0011066639256426996,0.0010420962200976597,0.0038102932214547163,0.0018475890394245829,0.0016307982663185067,0.0023492910191352189,0.0028376722033887007,0.0028654805711406887,0.0028943206825112013,0.0028726771651957938,0.0028238551043962409,0.0028914550156158765,0.002565299921378768,0.0024037689552735067,-2.0703676573345296e-05,1.2961364887715112e-05,1.9339771356035871e-05,1.7126116052212587e-05,-2.8386340108244711e-05
incident_month[2],-0.0028147982492256018,-1.7623436200484787e-05,4.5762427188789679e-05,4.8272432842629714e-05,8.5662531764245343e-05,-1.2341625435158724e-05,3.4931764853482159e-05,0.00094823857187737945,-9.1912648713288609e-05,-0.00025067409997451764,-0.00027134762834616315,0.00017505291872948938,0.0018475890394245829,0.0030685273211727322,0.0020426717113535579,0.0024376763619770722,0.0024265073958194415,0.0022426076812385874,0.0022777066566184554,0.0023055584595457266,0.0023144300481957735,0.0023953716633775832,0.0024673709047764152,0.0024345940181458451,5.6851703919258054e-06,-4.4513870771050252e-06,-3.7115950438806238e-06,1.0943837326205429e-05,4.1306429117941946e-05
incident_month[3],-0.0022846901381512906,0.00014744362457762796,3.3326615100358762e-05,-7.5996157780078901e-05,0.00011147072022286332,-7.7581049712413559e-06,-6.572337642340584e-06,0.00079421945880205947,-0.0002322184388427729,-4.2908002660239945e-05,5.9512630301677959e-05,2.0247920441145558e-05,0.0016307982663185067,0.0020426717113535579,0.0039315558979905636,0.0022675731772053972,0.0023246410233579815,0.0024276502037065121,0.0024040179406915945,0.0024308209703575922,0.0024149325268666179,0.0023795469675250598,0.0023380452166463367,0.0022826979381665095,-1.2879549718277353e-05,3.7392336349087486e-06,1.9404335740090981e-06,1.8205439796627843e-05,1.1648010836595224e-05
incident_month[4],-0.0036792944682584416,0.00011796495667474279,7.9891619492279074e-06,-0.00012739422952685807,8.3842433081331947e-05,9.2086592475648301e-06,4.9549096041208883e-05,0.0015363479788798482,-0.00018173490146910438,-0.00023113654028987795,0.00019653306611594674,0.00016854593849985412,0.0023492910191352189,0.0024376763619770722,0.0022675731772053972,0.0068948354954851999,0.0028891644507218171,0.0030101863417976138,0.0029828400176610788,0.0030161957685538058,0.0029870724655681521,0.0029505259362396928,0.0028279450096137995,0.0027543755838368377,-1.3915270684936352e-06,1.8994590900503659e-05,9.1110278100072197e-06,3.0458680524380106e-05,-1.2345532952957517e-05
incident_month[5],-0.0029566668419617201,0.00034067141912045993,-2.8027441377327585e-05,-0.00043490264088621755,5.3951893287966267e-05,-3.9930030643057887e-05,-5.4350512164735989e-05,0.0002469996732345706,-0.00013568535441538249,3.9331406788883909e-05,0.00062024566667615922,0.00062735399907307002,0.0028376722033887007,0.0024265073958194415,0.0023246410233579815,0.0028891644507218171,0.0054910813652191909,0.0037292975415933178,0.0036976290869273529,0.0037410931172400428,0.0036482605417442215,0.003493415783228631,0.0029851310010464947,0.0028438874696981318,-1.8991819999575702e-05,8.403763781116421e-06,-1.6908308866297005e-05,7.9946161073394406e-05,3.5655105115224342e-05
incident_month[6],-0.0030251269456232481,0.00062208935944243896,-8.0585012231932496e-05,-0.00079272678080496647,2.4999833461516446e-05,-3.1685746258831428e-05,-6.2113571944359664e-05,-0.00031269507476820258,0.00012791730023829046,5.648370134542284e-05,0.00067323666237423545,0.0004586429217008755,0.0028654805711406887,0.0022426076812385874,0.0024276502037065121,0.0030101863417976138,0.0037292975415933178,0.006052496562043483,0.0045502015163009458,0.0045414986729372369,0.0043448172393581166,0.0039372784027290738,0.0031247432164337612,0.0029123562357775859,-4.7311782688526338e-05,1.0447186756182422e-05,-3.9337949170565861e-05,9.2283347994660619e-05,3.5126262265118201e-05
incident_month[7],-0.0031470829086820383,0.00048164375872983061,-6.700806844782253e-05,-0.00082656754645142269,5.8708086125605895e-05,-8.7149430575705504e-06,-6.1712217477509886e-05,-0.00024263065762041437,0.00023410440113968777,-1.0787089660223317e-06,0.00069173372409362343,0.00051142058164966252,0.0028943206825112013,0.0022777066566184554,0.0024040179406915945,0.0029828400176610788,0.0036976290869273529,0.0045502015163009458,0.0057133067939225714,0.0045890839719506691,0.0043577479849238685,0.0039295721041193573,0.0031336963439495295,0.0029041233790557952,-3.9515074934387895e-05,2.3703132213580297e-05,-2.3504101613437981e-05,3.8254062114893974e-05,3.2282544278353826e-05
incident_month[8],-0.0030080383054976651,0.0005976323764815449,-5.3361431014651188e-05,-0.0008153939227216714,7.1897923049756644e-05,-3.1459995409953911e-05,-6.8587391676298083e-05,-0.00053956650213803623,0.00029292385487019346,-5.4570764142340572e-06,0.00061328713844784532,0.00052138091572316472,0.0028726771651957938,0.0023055584595457266,0.0024308209703575922,0.0030161957685538058,0.0037410931172400428,0.0045414986729372369,0.0045890839719506691,0.0067040269972549566,0.0043685668456645331,0.00396016676844556,0.0031561657760627486,0.0029113877128304423,-3.1095559982504946e-05,1.9419165019638574e-05,-3.309823086313012e-05,9.1266000437779089e-05,1.870760583195031e-05
incident_month[9],-0.0029552053206942873,0.00062199032916934044,-3.5920324641219379e-05,-0.00073609902457626934,9.0320528038099793e-05,-2.9924824805392544e-05,-6.287068657532456e-05,-0.00013660011101815684,0.00014047700207412022,7.6019035742529709e-05,0.00060097304117796835,0.00046783098420910693,0.0028238551043962409,0.0023144300481957735,0.0024149325268666179,0.0029870724655681521,0.0036482605417442215,0.0043448172393581166,0.0043577479849238685,0.0043685668456645331,0.006153375944826657,0.0038460366622172478,0.0031278392070051017,0.0028913367402308449,-1.1463072050621964e-05,2.4297778653430068e-05,-4.3788026689547539e-05,9.7774074660041092e-05,2.2428239923171444e-05
incident_month[10],-0.0034293060707252842,0.00034275167337767499,-8.5266986494736356e-05,-0.00054466459647523199,0.0001450118211231805,-2.92370578431129e-05,-3.0134525010069198e-05,-0.00036500077137442135,0.00022816031531841614,-4.3004950599601195e-05,0.00056681236864578348,0.00056181862337873476,0.0028914550156158765,0.0023953716633775832,0.0023795469675250598,0.0029505259362396928,0.003493415783228631,0.0039372784027290738,0.0039295721041193573,0.00396016676844556,0.0038460366622172478,0.0052151055797373851,0.0031792284947209171,0.0029048306768338717,-2.0514087991615486e-05,2.4614371798590076e-05,-3.1070771826113395e-07,9.2481640118367977e-05,2.0420470431928395e-05
incident_month[11],-0.0036612908640729215,0.00016144774590884527,-1.7201694893669431e-05,-0.00017856664847496021,0.00027975792762303969,-5.2754931037070943e-05,3.9108937271397551e-05,0.00047241725485403532,-0.00016550029619274645,-0.00023437076592865895,0.0002601046051775295,0.00026032622997426062,0.002565299921378768,0.0024673709047764152,0.0023380452166463367,0.0028279450096137995,0.0029851310010464947,0.0031247432164337612,0.0031336963439495295,0.0031561657760627486,0.0031278392070051017,0.0031792284947209171,0.0046404271649012011,0.0028695139974787356,-9.6178686817302568e-06,1.5262493971039007e-05,2.0140230681675554e-05,3.4191618171569534e-05,-3.2499068525641177e-05
incident_month[12],-0.0033993599684042086,0.00012020621219298601,1.4352643866832806e-05,-4.0149389363117673e-05,0.00013644665840286259,-4.8729196200723036e-06,2.9500113139217442e-05,0.0003154926044087346,6.5322167661532345e-05,-0.00018929315809975661,0.00027221949637360891,0.00019913827600516758,0.0024037689552735067,0.0024345940181458451,0.0022826979381665095,0.0027543755838368377,0.0028438874696981318,0.0029123562357775859,0.0029041233790557952,0.0029113877128304423,0.0028913367402308449,0.0029048306768338717,0.0028695139974787356,0.004443351579555303,-2.6722518443148942e-05,1.9609513831728022e-05,1.1765338695071053e-05,-2.2030615353029503e-06,1.020092196746244e-05
z_customers_v2_log1p,4.8673902989413907e-05,3.1450632101325531e-05,7.5590652919727061e-06,-4.3247782939210158e-06,1.2102467362307179e-05,1.7845911959595343e-06,1.3896239561534822e-06,5.8371189273496196e-05,6.9085430871921279e-05,-2.2270205799775481e-05,-1.4508308342734887e-05,-2.054061797321875e-05,-2.0703676573345296e-05,5.6851703919258054e-06,-1.2879549718277353e-05,-1.3915270684936352e-06,-1.8991819999575702e-05,-4.7311782688526338e-05,-3.9515074934387895e-05,-3.1095559982504946e-05,-1.1463072050621964e-05,-2.0514087991615486e-05,-9.6178686817302568e-06,-2.6722518443148942e-05,0.00011616563344620682,-1.1348668666966503e-05,-7.9716002750559146e-06,-4.5189737723170169e-06,-2.7172411630589649e-06
z_cust_sq,-0.00019466333525837047,-9.001573454164368e-07,1.4502259940514055e-06,-1.4099706659114471e-06,8.5096144228394882e-06,8.6286311486740525e-06,1.7384227354544062e-06,-0.0001284852165122245,4.5829942327706132e-05,2.8944298184345208e-06,4.4215335759690864e-06,6.7628036257171275e-06,1.2961364887715112e-05,-4.4513870771050252e-06,3.7392336349087486e-06,1.8994590900503659e-05,8.403763781116421e-06,1.0447186756182422e-05,2.3703132213580297e-05,1.9419165019638574e-05,2.4297778653430068e-05,2.4614371798590076e-05,1.5262493971039007e-05,1.9609513831728022e-05,-1.1348668666966503e-05,0.00015258270381736689,4.7872812876362734e-07,-8.7630655970022758e-07,2.515357679251828e-06
gust_hinge_11,-0.00027809671023133417,-0.00025979841317374998,5.2498158093068743e-06,1.4233963977700126e-05,1.1365566809031828e-05,-1.2331458784950267e-06,4.9872958200849779e-06,2.4863871466502625e-05,-9.4675865733035903e-06,-9.1301778155815601e-06,-2.7088736867247769e-06,1.2683861908349663e-05,1.9339771356035871e-05,-3.7115950438806238e-06,1.9404335740090981e-06,9.1110278100072197e-06,-1.6908308866297005e-05,-3.9337949170565861e-05,-2.3504101613437981e-05,-3.309823086313012e-05,-4.3788026689547539e-05,-3.1070771826113395e-07,2.0140230681675554e-05,1.1765338695071053e-05,-7.9716002750559146e-06,4.7872812876362734e-07,4.7380411576179757e-05,3.3255857776484585e-07,-1.1318996939320301e-05
z_temperature_sq,-7.4227003954796349e-05,2.6157957501649651e-05,7.489684592966111e-06,-6.3218473377853087e-05,6.8897994918411203e-06,-2.3113171196303557e-06,-9.345971228872514e-07,1.4954902775368041e-05,1.4415859000457083e-05,-3.6064414230192572e-06,-2.0719288269744554e-05,1.483013218812504e-05,1.7126116052212587e-05,1.0943837326205429e-05,1.8205439796627843e-05,3.0458680524380106e-05,7.9946161073394406e-05,9.2283347994660619e-05,3.8254062114893974e-05,9.1266000437779089e-05,9.7774074660041092e-05,9.2481640118367977e-05,3.4191618171569534e-05,-2.2030615353029503e-06,-4.5189737723170169e-06,-8.7630655970022758e-07,3.3255857776484585e-07,4.7745561898175108e-05,-6.4282257557268246e-06
z_gust_precip,-0.00014815620534187478,5.4364687952225802e-05,-1.1123949104579205e-05,-9.3145098865192532e-06,-6.2745396280255313e-06,-1.1458285793706576e-05,1.3821758476428818e-05,6.3647660576417983e-05,3.2461945198465964e-05,-5.602607692194407e-05,1.134401514851818e-05,-3.3078639179240117e-07,-2.8386340108244711e-05,4.1306429117941946e-05,1.1648010836595224e-05,-1.2345532952957517e-05,3.5655105115224342e-05,3.5126262265118201e-05,3.2282544278353826e-05,1.870760583195031e-05,2.2428239923171444e-05,2.0420470431928395e-05,-3.2499068525641177e-05,1.020092196746244e-05,-2.7172411630589649e-06,2.515357679251828e-06,-1.1318996939320301e-05,-6.4282257557268246e-06,0.00012054156335590144
