term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],gust_low,gust_ramp,z_temperature_sq
incident_year[2024],-0.0029961088054633652,-6.9586537881998674e-05,-0.00020828353341197336,8.2446198255026169e-05,-4.9667833975727938e-05,-2.7372134415293611e-05,-3.5439318772354688e-05,-0.00055060189750353249,0.00010502775182462751,4.0896455870079644e-05,0.0010517205995119764,0.0009787175023368384,0.0035338474991032571,0.0017135636837499412,0.0015054458642009584,0.0021717884249030442,0.0026495682976019719,0.0026624810980873511,0.0026991613342238091,0.0026757150515047015,0.0026312793422514501,0.0026948802427223129,0.0023515044907982913,0.0022270950161309209,1.7368441988617964e-05,1.9914643416959505e-05,1.3153656531443054e-05
incident_month[2],-0.0024836655450327411,5.139604254078999e-05,4.7029390321330006e-05,9.6473903805194188e-05,1.831172504033324e-05,-6.0924485452913324e-06,2.7799681685487724e-05,0.00097589700383705479,-0.00014503302789312607,-0.00019835337679238046,-0.00025420191630394083,0.00016910861784387416,0.0017135636837499412,0.002820928097643823,0.0019069478664176086,0.0022632956374318172,0.0022345784973872543,0.0020780745180714699,0.0021066302846025845,0.0021407428860831675,0.0021426183023621407,0.0022169218046997948,0.0023068457801009921,0.0022531058516457904,-8.6148930706627295e-06,1.3001871970670667e-06,1.3600177912805509e-05
incident_month[3],-0.0023152293643815317,3.2782343469141385e-05,-7.2139594019128328e-05,9.9041060076928854e-05,2.4617550269594036e-05,-3.4463113048846741e-06,-7.8846510984530978e-06,0.00080190314372262047,-0.00023167546261834029,-1.8146263800263859e-05,5.494799474852803e-05,1.4077945632832084e-05,0.0015054458642009584,0.0019069478664176086,0.0036727334185426542,0.0021107608978548358,0.0021644056868946209,0.0022667480071904022,0.0022363193453167366,0.0022691300913040145,0.0022453941421530701,0.0022055783436927983,0.0021695784993950662,0.0021080718285205733,1.1532763948959637e-05,2.8112710020024862e-05,1.8759661331934851e-05
incident_month[4],-0.0035849103759420546,3.9735207881690853e-06,-0.00011995570085012902,6.6559682469815155e-05,1.1406604064889239e-05,1.0462734088128535e-05,4.3885211399276791e-05,0.0015433132159042798,-0.00018614727919634218,-0.00022458190223530051,0.00020628178072191569,0.00016405548413807227,0.0021717884249030442,0.0022632956374318172,0.0021107608978548358,0.0065267721563451375,0.0026940194113114235,0.0028119478553195604,0.0027778150780035523,0.0028116650218653273,0.0027745386729579034,0.0027363765804400463,0.0026068461035751332,0.0025439965819650588,1.1803938461939433e-05,2.9252059005517402e-05,2.7927424982017756e-05
incident_month[5],-0.0034342582745729806,-2.6968330305745154e-05,-0.00041674036804646507,5.1309567178347982e-05,-3.4235067208490082e-05,-3.6595560978612512e-05,-5.1341566537840148e-05,0.00034614597445110673,-9.956998845682634e-05,3.3065511746136159e-05,0.00059264937948461224,0.00058971045659983858,0.0026495682976019719,0.0022345784973872543,0.0021644056868946209,0.0026940194113114235,0.0050956081001596208,0.0034856621371980234,0.0034623133568157643,0.0035101810120493414,0.0034162580828588189,0.0032726732330702092,0.0027801084508646203,0.0026423429732654827,4.5263118490544738e-05,3.3839966605281784e-05,7.8093096055298304e-05
incident_month[6],-0.0039328882793666746,-7.6475828496245921e-05,-0.00075141661709051061,3.0585494285806796e-05,-2.2688008014730742e-05,-2.7372246810893159e-05,-6.0148563191335887e-05,-0.00020476016538998536,0.0001559107282133122,3.7205732297499963e-05,0.00062803027341828954,0.00042295058980119568,0.0026624810980873511,0.0020780745180714699,0.0022667480071904022,0.0028119478553195604,0.0034856621371980234,0.0056716576361528969,0.0042569035886660849,0.0042595654446948078,0.004062617270586791,0.0036893631155324952,0.0029168042881613796,0.0026993438385782922,7.4309708582612056e-05,5.5619712082697045e-05,8.9184799967158602e-05
incident_month[7],-0.0039673543892775869,-6.5708190809904987e-05,-0.00078921308019602829,5.5119181181746999e-05,-5.5287742692476821e-05,-1.1362462551241711e-05,-5.180791177693357e-05,-0.00010734936375030045,0.00022488379904014118,-2.7172759307007383e-05,0.00065151555334956709,0.00047935083404967034,0.0026991613342238091,0.0021066302846025845,0.0022363193453167366,0.0027778150780035523,0.0034623133568157643,0.0042569035886660849,0.0053562334294222861,0.0043129634975310367,0.0040895866573381302,0.0036904823159425262,0.0029173765786146008,0.0026971336172057626,6.7710290370709235e-05,4.4950278659966902e-05,3.7891256375745978e-05
incident_month[8],-0.0039842533663904684,-5.3773796362329239e-05,-0.0007788863743152188,6.9015817287833197e-05,-4.0836453174506073e-05,-2.9980569604894133e-05,-6.1971530398859592e-05,-0.00044581263185453719,0.00029463249011515849,-9.6643105624528746e-06,0.00058152975018266762,0.00049177556682565918,0.0026757150515047015,0.0021407428860831675,0.0022691300913040145,0.0028116650218653273,0.0035101810120493414,0.0042595654446948078,0.0043129634975310367,0.0063449445142438349,0.0041019055645722139,0.0037240693170815247,0.0029393345833333517,0.0027050395689151253,7.7373798628571199e-05,5.5549353540956675e-05,8.8522168589051496e-05
incident_month[9],-0.0040047171991487857,-3.7716348274888884e-05,-0.00070239718532570791,7.9316054219444226e-05,-7.1121010400313747e-05,-3.2392933643277677e-05,-5.8691285152122432e-05,-6.4862845114041102e-05,0.00013956022280337029,6.1293634203892823e-05,0.00056388410248935116,0.00043802677781798184,0.0026312793422514501,0.0021426183023621407,0.0022453941421530701,0.0027745386729579034,0.0034162580828588189,0.004062617270586791,0.0040895866573381302,0.0041019055645722139,0.0058271057319271317,0.0036122562701397637,0.0029035204661168566,0.0026919930739887376,8.8686568529740902e-05,4.1561902786637978e-05,9.4499253325353551e-05
incident_month[10],-0.0039374229260908762,-8.7765170008591688e-05,-0.00052695858708658801,0.00012893184394598738,-7.1360400491962992e-05,-2.5838627960267453e-05,-2.8240827375019534e-05,-0.00025325459493968027,0.00021640457738912193,-3.8805016922865594e-05,0.0005373044155222201,0.00052880723689359833,0.0026948802427223129,0.0022169218046997948,0.0022055783436927983,0.0027363765804400463,0.0032726732330702092,0.0036893631155324952,0.0036904823159425262,0.0037240693170815247,0.0036122562701397637,0.0049376961369313977,0.0029504180412868674,0.0026996457825563787,5.2287936617370138e-05,4.6981263053711568e-05,8.977825572033787e-05
incident_month[11],-0.0037235928297375594,-2.3480894497222991e-05,-0.00016873863335551765,0.0002516200310116411,5.188908788740719e-08,-5.129118267120897e-05,3.9777687180214758e-05,0.00052445787942727588,-0.00013301890283860424,-0.00024213941941009654,0.00025167051606283375,0.00023425748888721067,0.0023515044907982913,0.0023068457801009921,0.0021695784993950662,0.0026068461035751332,0.0027801084508646203,0.0029168042881613796,0.0029173765786146008,0.0029393345833333517,0.0029035204661168566,0.0029504180412868674,0.0043156522406772452,0.0026477165307260786,1.8096271313768467e-05,4.6477257294518674e-05,2.9947821335633731e-05
incident_month[12],-0.0033822373229394267,1.129171657556909e-05,-4.2660867498100164e-05,0.00012000530777626616,-4.3653010665830459e-05,-4.4794172629402836e-06,2.2264223185375474e-05,0.00039917424997506682,3.0277137013713057e-05,-0.00015689658837266066,0.00026036231561687187,0.00018236949349692536,0.0022270950161309209,0.0022531058516457904,0.0021080718285205733,0.0025439965819650588,0.0026423429732654827,0.0026993438385782922,0.0026971336172057626,0.0027050395689151253,0.0026919930739887376,0.0026996457825563787,0.0026477165307260786,0.00415847058910213,2.3002390836188372e-05,2.5038459740664446e-05,-3.0341165507414444e-06
gust_low,-0.00034930010852024176,-3.6811331317479862e-06,-2.6253341483176904e-05,7.2347991699347208e-06,-3.4044802904721565e-05,-1.6134883795767166e-07,-2.9773525939624293e-06,-5.3335140094481755e-05,9.7233919351576616e-06,1.1537404852716438e-05,5.6244857738693515e-06,2.56588676407169e-06,1.7368441988617964e-05,-8.6148930706627295e-06,1.1532763948959637e-05,1.1803938461939433e-05,4.5263118490544738e-05,7.4309708582612056e-05,6.7710290370709235e-05,7.7373798628571199e-05,8.8686568529740902e-05,5.2287936617370138e-05,1.8096271313768467e-05,2.3002390836188372e-05,3.8234236635655779e-05,-9.2824246957781994e-06,3.568403834686007e-06
gust_ramp,-4.5035382374395566e-05,4.0683105163547866e-06,-9.3492194607288355e-06,2.7185169596034822e-05,2.0032099518734203e-05,-9.764451435144274e-08,4.0102306104371698e-06,7.4190991428309966e-05,-1.5044320544430658e-05,-1.0534339458061804e-05,5.6171569154180377e-06,1.1062430131520201e-05,1.9914643416959505e-05,1.3001871970670667e-06,2.8112710020024862e-05,2.9252059005517402e-05,3.3839966605281784e-05,5.5619712082697045e-05,4.4950278659966902e-05,5.5549353540956675e-05,4.1561902786637978e-05,4.6981263053711568e-05,4.6477257294518674e-05,2.5038459740664446e-05,-9.2824246957781994e-06,1.3643623474288788e-05,4.300146192977429e-06
z_temperature_sq,-0.00013510865602611149,6.564858150663057e-06,-6.1317436565099876e-05,6.5741887813140158e-06,-9.5940440956179194e-07,-2.4789228362214842e-06,-8.1574811945201939e-08,9.0817476884589978e-06,2.1661824979398798e-05,-6.0850100105726678e-06,-1.9213881707735916e-05,1.3320689826741396e-05,1.3153656531443054e-05,1.3600177912805509e-05,1.8759661331934851e-05,2.7927424982017756e-05,7.8093096055298304e-05,8.9184799967158602e-05,3.7891256375745978e-05,8.8522168589051496e-05,9.4499253325353551e-05,8.977825572033787e-05,2.9947821335633731e-05,-3.0341165507414444e-06,3.568403834686007e-06,4.300146192977429e-06,4.5049538476106066e-05
