k1,k2,sse,lr
17.0,33.0,14194.539429896871,22.788180262152032
17.0,34.0,14195.823004150889,23.624956910027866
18.0,22.0,14245.35556734283,55.85813614050463
18.0,23.0,14219.902670277645,39.30875722741424
18.0,24.0,14203.676794178276,28.743284717371598
18.0,25.0,14197.19057520675,24.51640878253532
18.0,26.0,14196.56116919431,24.10614082693003
18.0,27.0,14200.913876731754,26.943009654304124
18.0,28.0,14202.342700632827,27.87405334330187
18.0,29.0,14201.946819020035,27.61610016038839
18.0,30.0,14202.086293100296,27.706981137299447
18.0,31.0,14201.513932023197,27.334026345217616
18.0,32.0,14201.537349836448,27.349285863757647
18.0,33.0,14202.44607624888,27.94141085533899
18.0,34.0,14203.756067481158,28.794932829923518
19.0,23.0,14219.470681663266,39.027624265143515
19.0,24.0,14204.55812789886,29.317474720746958
19.0,25.0,14199.881541403041,26.270265740236425
19.0,26.0,14200.827494848838,26.886718884378
19.0,27.0,14206.431843046306,30.538084070673854
19.0,28.0,14208.48587541958,31.875973963842906
19.0,29.0,14208.410285711336,31.826742185951986
19.0,30.0,14208.740166691474,32.04159262251824
19.0,31.0,14208.249023269429,31.721710653484255
19.0,32.0,14208.31577951216,31.76518967879925
19.0,33.0,14209.258249747734,32.37900840619782
19.0,34.0,14210.597157199636,33.250951587587814
20.0,24.0,14202.375348466046,27.895326080322743
20.0,25.0,14200.638791907972,26.763749387157958
20.0,26.0,14203.832511753693,28.84473750067611
20.0,27.0,14211.06907564742,33.5582617417771
20.0,28.0,14213.872796461736,35.383815694821806
20.0,29.0,14214.14725508631,35.56250137938865
20.0,30.0,14214.668083752063,35.90157625225743
20.0,31.0,14214.24449816735,35.62581044588405
20.0,32.0,14214.34230773834,35.68948788269271
20.0,33.0,14215.310035219965,36.31948856018112
20.0,34.0,14216.670428830506,37.20504646195923
