combination,model,term,coef,se_twoway,ci_lower,ci_upper,p_t_G1,df,variance,point_valid,interval_valid,reference
R0c_all,OLS_reference,incident_month[5],-0.0084653219667678963,0.048995021007598852,-0.10556195359697353,0.088631309663437727,0.86314247734788152,110,0.0024005120835350526,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[6],0.13852462181140041,0.054055798353372882,0.031398717336737797,0.24565052628606301,0.011740179387999075,110,0.0029220293356205101,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[7],0.1248524398034165,0.050278181288923529,0.025212885676270419,0.22449199393056257,0.014528862090331326,110,0.0025278955137218602,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[8],0.13932126374575915,0.051990643835221367,0.03628801079740801,0.24235451669411029,0.0085001687022063371,110,0.0027030270464008417,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[9],0.074605681779237404,0.050965443180743975,-0.02639586410485105,0.17560722766332587,0.14608726281382647,110,0.0025974763986096423,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[10],0.030948908738163406,0.051313857377100716,-0.070743112304066894,0.13264092978039371,0.54766400223481415,110,0.0026331119589174338,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[11],0.011661099130550396,0.045739216971543914,-0.078983293095575099,0.1023054913566759,0.79923969283155749,110,0.0020920759691699705,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[12],0.057365753885257317,0.044753159902910129,-0.031324504676048526,0.14605601244656316,0.20259895103387832,110,0.002002845321295443,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_customers_v2_log1p,-0.19639142124266457,0.017059733441619453,-0.23019980869969861,-0.16258303378563052,1.3280997239976453e-20,110,0.00029103450509910915,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_cust_sq,-0.11133008136808209,0.015500323805585454,-0.14204808494780127,-0.080612077788362907,8.599288590711566e-11,110,0.00024026003807799915,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_temperature_sq,0.016787741636830358,0.0058229441159297199,0.0052480331480838621,0.028327450125576852,0.0047383143547132748,110,3.3906678177240545e-05,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_gust_precip,-0.024454468274793594,0.0099950751604490785,-0.044262361220075222,-0.0046465753295119629,0.016002621586288856,110,9.9901527463026155e-05,True,True,t(G_LAD-1)
E0_all,NB2,Intercept,6.7950686257096233,1.0663746242285492,4.6817644176665301,8.9083728337527166,4.4724630757058914e-09,110,1.1371548391985795,True,True,t(G_LAD-1)
E0_all,NB2,z_precipitation_24h_sum,0.023449784146962402,0.02928989353652486,-0.034595909981075923,0.081495478275000727,0.42508320774811309,110,0.00085789786338096074,True,True,t(G_LAD-1)
E0_all,NB2,z_temperature_0h,0.054204936108605196,0.0344260635339722,-0.014019441403504175,0.12242931362071457,0.11823636597750033,110,0.0011851538504450904,True,True,t(G_LAD-1)
E0_all,NB2,z_pressure_msl_0h,-0.096464703305117083,0.024620670064070933,-0.14525709246092866,-0.047672314149305506,0.00015539582228505332,110,0.00060617739440383853,True,True,t(G_LAD-1)
E0_all,NB2,z_gust_pressure,-0.045645355168132985,0.018023235053298298,-0.081363176668470732,-0.0099275336677952311,0.012733146966424724,110,0.00032483700178644048,True,True,t(G_LAD-1)
E0_all,NB2,urban_binary,-0.16546149889110806,0.067331174531808466,-0.29889608298344145,-0.032026914798774675,0.015555217727914714,110,0.0045334870638328532,True,True,t(G_LAD-1)
E0_all,NB2,log_population,-0.13225231188712491,0.092429680194267505,-0.31542624313472234,0.050921619360472542,0.15531011596559582,110,0.0085432457808145672,True,True,t(G_LAD-1)
E0_all,NB2,income_deprivation_rate,-4.1889107129095571,1.8360257525388253,-7.8274828063919628,-0.55033861942715134,0.024443241361919506,110,3.3709905639857594,True,True,t(G_LAD-1)
E0_all,NB2,deprivation_gap_pct,-0.4369505026220466,0.98252448147860116,-2.3840834088614491,1.5101824036173559,0.65739429693266804,110,0.96535435670479408,True,True,t(G_LAD-1)
E0_all,NB2,morans_i,0.45688419598360491,0.38454823693587098,-0.30520014928111766,1.2189685412483275,0.23735045197800128,110,0.14787734653048676,True,True,t(G_LAD-1)
E0_all,NB2,incident_year[2022],0.11959627534791935,0.069171814729607137,-0.017486025585308693,0.25667857628114737,0.086619244716823404,110,0.0047847399529870951,True,True,t(G_LAD-1)
E0_all,NB2,incident_year[2023],0.06622366006814942,0.074942942454255201,-0.082295661428537753,0.21474298156483659,0.37881004216019887,110,0.0056164446237018072,True,True,t(G_LAD-1)
E0_all,NB2,incident_year[2024],-0.12078121601101047,0.10381190739223677,-0.32651204995288619,0.084949617930865279,0.24715963633085627,110,0.010776912116414341,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[2],0.078224289242447231,0.089921088256662202,-0.099978201596166855,0.25642678008106135,0.38623764414533474,110,0.0080858021132624337,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[3],0.12579201230787068,0.10598546030605623,-0.084246293337490147,0.33583031795323148,0.23783192285287247,110,0.011232917796286618,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[4],-0.0011135984926348536,0.12318241365674298,-0.24523222924683666,0.24300503226156697,0.99280340607576001,110,0.015173907034300941,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[5],0.00016557580665003903,0.1015475785541519,-0.20107788985657801,0.20140904146987806,0.99870198367201346,110,0.01031191071021165,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[6],0.086503774179564105,0.1089992558518201,-0.12950716684583674,0.30251471520496498,0.42912645918660619,110,0.01188083777625054,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[7],0.064162530523764971,0.11732036176044595,-0.16833888930029714,0.29666395034782711,0.58555505228360871,110,0.013764067283601911,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[8],0.047820594280479647,0.13660100677485185,-0.2228905384502507,0.31853172701120996,0.72695184209285146,110,0.018659835051903124,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[9],-0.094491193808088653,0.11194255531522462,-0.31633506352498342,0.12735267590880611,0.40044312046361979,110,0.012531135690502123,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[10],-0.20546247974219997,0.097828274562115528,-0.39933515788031398,-0.011589801604085959,0.037993838450943042,110,0.0095703713038006611,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[11],-0.13132548754280146,0.09217510282030518,-0.31399490618906395,0.051343931103461027,0.15706360571954425,110,0.008496249579933831,True,True,t(G_LAD-1)
E0_all,NB2,incident_month[12],0.0087281728245478408,0.096054166812499328,-0.1816286401686148,0.1990849858177105,0.92776337703007739,110,0.0092264029620434465,True,True,t(G_LAD-1)
E0_all,NB2,z_temperature_sq,0.05305257109542752,0.012553547473012221,0.028174386545811329,0.077930755645043703,4.9271285779200837e-05,110,0.00015759155415717154,True,True,t(G_LAD-1)
E0_all,NB2,gust_low,-0.039297127031322793,0.0075589247103398172,-0.054277141592526737,-0.024317112470118848,9.3412282592134419e-07,110,5.7137342776585889e-05,True,True,t(G_LAD-1)
E0_all,NB2,gust_ramp,0.07562821856636405,0.015666772821207937,0.044580352106239125,0.10667608502648898,4.4945991255515296e-06,110,0.00024544777063133976,True,True,t(G_LAD-1)
E0_all,NB2,alpha,4.7032069592188428,0.079595305495204091,4.5454677461677271,4.8609461722699585,3.6042473252664501e-85,110,0.0063354126568748673,True,True,t(G_LAD-1)
E0_all,Tweedie,Intercept,6.6822484181489701,1.0527642584884329,4.5959167604067641,8.7685800758911761,5.0322673735954602e-09,110,1.1083125839506998,True,True,t(G_LAD-1)
E0_all,Tweedie,z_precipitation_24h_sum,0.02215450754275216,0.029415906056236955,-0.036140913821965617,0.080449928907469936,0.45297036997468748,110,0.00086529552910935797,True,True,t(G_LAD-1)
E0_all,Tweedie,z_temperature_0h,0.060420154073170362,0.034815170838816759,-0.0085753427867040627,0.1294156509330448,0.085460749461030688,110,0.0012120961205359969,True,True,t(G_LAD-1)
E0_all,Tweedie,z_pressure_msl_0h,-0.099869674318841598,0.023352276621409505,-0.1461484053859024,-0.0535909432517808,4.0592020600279241e-05,110,0.00054532882340282886,True,True,t(G_LAD-1)
E0_all,Tweedie,z_gust_pressure,-0.041095745047300153,0.015477132433389182,-0.07176778877075575,-0.010423701323844559,0.0091013966327278158,110,0.00023954162836066731,True,True,t(G_LAD-1)
E0_all,Tweedie,urban_binary,-0.16302603466966445,0.067703997011174091,-0.29719946540800313,-0.028852603931325771,0.017706703751673453,110,0.0045838312112890705,True,True,t(G_LAD-1)
E0_all,Tweedie,log_population,-0.12241506882495214,0.091150994186065024,-0.30305494453474546,0.058224806884841204,0.18203901875846948,110,0.0083085037411080604,True,True,t(G_LAD-1)
E0_all,Tweedie,income_deprivation_rate,-4.2131850627474483,1.7851433479354895,-7.7509201733155511,-0.675449952179346,0.020030162019775071,110,3.1867367726783278,True,True,t(G_LAD-1)
E0_all,Tweedie,deprivation_gap_pct,-0.46466505348535392,0.94362947563956623,-2.3347171875046211,1.405387080533913,0.62340160509211195,110,0.89043658729580266,True,True,t(G_LAD-1)
E0_all,Tweedie,morans_i,0.43507684564401056,0.38113538796653462,-0.32024403402011997,1.190397725308141,0.25612906620590198,110,0.14526418396040086,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_year[2022],0.13372454546896248,0.069670573053769405,-0.004346177395264883,0.27179526833318984,0.057526556246157962,110,0.0048539887496406205,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_year[2023],0.078994750558299423,0.075503108926000748,-0.070634689404307657,0.22862419052090649,0.29774151322893999,110,0.0057007194574915333,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_year[2024],-0.097934999893377048,0.10200045346992907,-0.30007595734184089,0.10420595755508681,0.33908908991597264,110,0.010404092508071167,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[2],0.090249571028519882,0.086344863952228304,-0.080865682642449116,0.26136482469948885,0.29821172701867921,110,0.0074554355309288146,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[3],0.10590814758676907,0.094874574096951242,-0.082110989515664132,0.29392728468920226,0.26672780821660125,110,0.0090011848100778908,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[4],-0.013295898064508548,0.12255477260925315,-0.2561706915811538,0.22957889545213672,0.91380511081416449,110,0.015019672289305746,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[5],0.0095527108423319393,0.097060981371634186,-0.18279937228966958,0.20190479397433347,0.92177816960332992,110,0.0094208341048247195,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[6],0.080801565697939989,0.10622911417238909,-0.12971960472057664,0.29132273611645659,0.44850258814641875,110,0.011284624697850475,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[7],0.06820202905535673,0.10993080954584492,-0.14965503273930464,0.28605909085001813,0.53627200779762729,110,0.012084782887404827,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[8],0.03179156701366706,0.13721959647749354,-0.24014546531364314,0.30372859934097729,0.81721400447883485,110,0.018829217657446159,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[9],-0.094956318483615715,0.10426036627316594,-0.30157589266618084,0.11166325569894942,0.36441257658537635,110,0.01087022397541472,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[10],-0.190140327670931,0.095981164240517419,-0.38035246670143352,7.1811359571516409e-05,0.050085055991674371,110,0.0092123838889651786,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[11],-0.12331085343213349,0.089652547634939017,-0.30098115978977436,0.05435945292550734,0.17179255402383828,110,0.0080375792974350085,True,True,t(G_LAD-1)
E0_all,Tweedie,incident_month[12],0.011514374061651397,0.091959891996037976,-0.17072854724473924,0.19375729536804204,0.90058519388595459,110,0.0084566217359229694,True,True,t(G_LAD-1)
E0_all,Tweedie,z_temperature_sq,0.058973659285580439,0.011894194211482969,0.035402158138323668,0.082545160432837217,2.6034142641491269e-06,110,0.00014147185594047497,True,True,t(G_LAD-1)
E0_all,Tweedie,gust_low,-0.040364971529262585,0.0077733330484544604,-0.055769893091141831,-0.024960049967383338,9.5871325610155252e-07,110,6.0424706682194312e-05,True,True,t(G_LAD-1)
E0_all,Tweedie,gust_ramp,0.078240298236736686,0.014729718027470256,0.049049454434296813,0.10743114203917656,5.7206541750318375e-07,110,0.00021696459316878223,True,True,t(G_LAD-1)
R0c_all,Gamma,Intercept,2.1796198386693599,0.37297000560756793,1.4404808302795657,2.9187588470591539,5.2813017207616113e-08,110,0.13910662508290925,True,True,t(G_LAD-1)
R0c_all,Gamma,z_gust_0h,0.018840118709580519,0.01939157697087544,-0.019589435297098053,0.057269672716259087,0.33340006445751952,110,0.00037603325741738668,True,True,t(G_LAD-1)
R0c_all,Gamma,z_precipitation_24h_sum,0.027445443724025083,0.010068970664127359,0.0074911072350481514,0.047399780213002014,0.007466772890506233,110,0.00010138417023505735,True,True,t(G_LAD-1)
R0c_all,Gamma,z_temperature_0h,-0.024575905454900068,0.020756160269514982,-0.065709743267400159,0.01655793235760002,0.2389536356803045,110,0.0004308181891337922,True,True,t(G_LAD-1)
R0c_all,Gamma,z_pressure_msl_0h,-0.031600143226985226,0.014460700225447839,-0.060257856889101513,-0.0029424295648689362,0.030991808520973427,110,0.00020911185101026719,True,True,t(G_LAD-1)
R0c_all,Gamma,z_gust_sq,0.06454836542420557,0.0088889107952133672,0.04693263061428006,0.082164100234131079,5.7917119706300654e-11,110,7.9012735125260722e-05,True,True,t(G_LAD-1)
