model,gust_ms,gust_z,predicted_log_scale
R0c_gust_dose_response,17.173469407217844,1.375981418187536,2.1366478360698062
R0c_gust_dose_response,17.689795936856953,1.4738346484793272,2.1602414086047528
R0c_gust_dose_response,18.20612246649606,1.5716878787711177,2.1854619016159322
R0c_gust_dose_response,18.722448996135167,1.6695411090629089,2.2123093151033446
R0c_gust_dose_response,19.238775525774276,1.7673943393547,2.2407836490669895
R0c_gust_dose_response,19.75510205541338,1.8652475696464905,2.2708849035068672
R0c_gust_dose_response,20.27142858505249,1.9631007999382817,2.3026130784229775
R0c_gust_dose_response,20.7877551146916,2.060954030230073,2.3359681738153206
R0c_gust_dose_response,21.304081644330708,2.158807260521864,2.3709501896838963
R0c_gust_dose_response,21.820408173969813,2.2566604908136547,2.407559126028705
R0c_gust_dose_response,22.336734703608922,2.354513721105446,2.4457949828497463
R0c_gust_dose_response,22.85306123324803,2.452366951397237,2.48565776014702
R0c_gust_dose_response,23.369387762887136,2.5502201816890273,2.527147457920526
R0c_gust_dose_response,23.885714292526245,2.648073411980819,2.570264076170266
R0c_gust_dose_response,24.402040822165354,2.74592664227261,2.6150076148962382
R0c_gust_dose_response,24.918367351804463,2.8437798725644012,2.661378074098443
R0c_gust_dose_response,25.434693881443568,2.9416331028561915,2.7093754537768806
R0c_gust_dose_response,25.951020411082677,3.0394863331479827,2.7589997539315507
R0c_gust_dose_response,26.467346940721786,3.137339563439774,2.8102509745624538
R0c_gust_dose_response,26.98367347036089,3.2351927937315645,2.8631291156695893
R0c_gust_dose_response,27.5,3.3330460240233557,2.9176341772529586
