combination,model_id,term,coef
R0c_all,control,urban_binary,0.20808055171073792
R0c_all,control,log_population,0.056174459620866792
R0c_all,control,income_deprivation_rate,0.77423333202279554
R0c_all,control,deprivation_gap_pct,-0.098296335858076733
R0c_all,control,morans_i,0.27672275669598589
R0c_all,control,incident_year[2022],0.10783844811243253
R0c_all,control,incident_year[2023],-0.030818295644664449
R0c_all,control,incident_year[2024],-0.1723846951922989
R0c_all,control,incident_month[2],0.50917194701043822
R0c_all,control,incident_month[3],-0.028728833030581668
R0c_all,control,incident_month[4],-0.094156774704163976
R0c_all,control,incident_month[5],-0.099116867147646656
R0c_all,control,incident_month[6],0.033072674677930534
R0c_all,control,incident_month[7],0.027421126807131005
R0c_all,control,incident_month[8],0.026016308839500873
R0c_all,control,incident_month[9],-0.025811240421489849
R0c_all,control,incident_month[10],-0.092915760348774926
R0c_all,control,incident_month[11],-0.10684343728937605
R0c_all,control,incident_month[12],-0.040075316101328931
R0c_all,control,z_customers_v2_log1p,-0.1830149045396457
R0c_all,control,z_cust_sq,-0.10838170824572523
R0c_all,cubic,Intercept,0.69721133070040964
R0c_all,cubic,z_gust_0h,-0.014652358817046697
R0c_all,cubic,z_precipitation_24h_sum,0.040601742747254033
R0c_all,cubic,z_temperature_0h,-0.065234216799322634
R0c_all,cubic,z_pressure_msl_0h,-0.0430373178416322
R0c_all,cubic,z_gust_sq,0.072574017434273538
R0c_all,cubic,z_gust_cu,0.0052223794507357101
R0c_all,cubic,z_gust_pressure,0.021564850627550858
R0c_all,cubic,urban_binary,0.2157133646881374
R0c_all,cubic,log_population,0.067303305301281188
R0c_all,cubic,income_deprivation_rate,0.88846246469511003
R0c_all,cubic,deprivation_gap_pct,-0.13594208556141854
R0c_all,cubic,morans_i,0.27591857067682801
R0c_all,cubic,incident_year[2022],0.10659860584057679
R0c_all,cubic,incident_year[2023],0.0025993520760391937
R0c_all,cubic,incident_year[2024],-0.09193013106538335
R0c_all,cubic,incident_month[2],0.43813548147600462
R0c_all,cubic,incident_month[3],0.030104172320266957
R0c_all,cubic,incident_month[4],-0.032597994043117043
R0c_all,cubic,incident_month[5],-0.039973923086555341
R0c_all,cubic,incident_month[6],0.1145969748119177
R0c_all,cubic,incident_month[7],0.11295201704194685
R0c_all,cubic,incident_month[8],0.11573014248382642
R0c_all,cubic,incident_month[9],0.047314312961589167
R0c_all,cubic,incident_month[10],-0.0038813321471905032
R0c_all,cubic,incident_month[11],-0.01123513063710874
R0c_all,cubic,incident_month[12],0.04662929532672376
R0c_all,cubic,z_customers_v2_log1p,-0.19517969516044947
R0c_all,cubic,z_cust_sq,-0.11065951993112051
R0c_all,log,Intercept,0.76316282413310821
R0c_all,log,log_gust,0.013005482087181445
R0c_all,log,z_precipitation_24h_sum,0.023513406081797465
R0c_all,log,z_temperature_0h,-0.075233087899826578
R0c_all,log,z_pressure_msl_0h,-0.072683156079665495
R0c_all,log,z_gust_pressure,-0.071844157809208775
R0c_all,log,urban_binary,0.21513387410239512
R0c_all,log,log_population,0.061727283177836476
R0c_all,log,income_deprivation_rate,0.82591894004149247
R0c_all,log,deprivation_gap_pct,-0.11903142198514519
R0c_all,log,morans_i,0.28254561456094407
R0c_all,log,incident_year[2022],0.11752150121084717
R0c_all,log,incident_year[2023],-0.0074056559200904688
R0c_all,log,incident_year[2024],-0.10200866943340534
R0c_all,log,incident_month[2],0.4954356018458333
R0c_all,log,incident_month[3],0.011429722792290384
R0c_all,log,incident_month[4],-0.044173328875234098
R0c_all,log,incident_month[5],-0.026665924930225994
R0c_all,log,incident_month[6],0.12786540153004486
R0c_all,log,incident_month[7],0.12282382445516443
R0c_all,log,incident_month[8],0.12528109143280564
R0c_all,log,incident_month[9],0.070418702462343455
R0c_all,log,incident_month[10],0.0019654108768309211
R0c_all,log,incident_month[11],-0.045552035406532021
R0c_all,log,incident_month[12],0.027385370489193549
R0c_all,log,z_customers_v2_log1p,-0.18962660534329281
R0c_all,log,z_cust_sq,-0.11105942155628377
R0c_all,legacy_hinge,Intercept,0.73252986538987719
R0c_all,legacy_hinge,z_gust_0h,-0.038467415693025933
R0c_all,legacy_hinge,z_precipitation_24h_sum,0.041425595216046232
R0c_all,legacy_hinge,z_temperature_0h,-0.069457369434576699
R0c_all,legacy_hinge,z_pressure_msl_0h,-0.043703762981173705
R0c_all,legacy_hinge,z_gust_pressure,0.018854278765652568
R0c_all,legacy_hinge,urban_binary,0.21531503684932565
R0c_all,legacy_hinge,log_population,0.067070502353202111
R0c_all,legacy_hinge,income_deprivation_rate,0.89268098392547746
R0c_all,legacy_hinge,deprivation_gap_pct,-0.13626333720525555
R0c_all,legacy_hinge,morans_i,0.27721957184444113
R0c_all,legacy_hinge,incident_year[2022],0.10617146544287792
R0c_all,legacy_hinge,incident_year[2023],0.0037323082798759667
R0c_all,legacy_hinge,incident_year[2024],-0.10020440513191491
R0c_all,legacy_hinge,incident_month[2],0.43879064216022762
R0c_all,legacy_hinge,incident_month[3],0.025479211495063742
R0c_all,legacy_hinge,incident_month[4],-0.039192626201655797
R0c_all,legacy_hinge,incident_month[5],-0.048637555180593289
R0c_all,legacy_hinge,incident_month[6],0.10643646207497459
R0c_all,legacy_hinge,incident_month[7],0.11345720856771602
R0c_all,legacy_hinge,incident_month[8],0.11031691465820333
R0c_all,legacy_hinge,incident_month[9],0.049145898031935149
R0c_all,legacy_hinge,incident_month[10],-0.0028303095869690671
R0c_all,legacy_hinge,incident_month[11],-0.012408923049741345
R0c_all,legacy_hinge,incident_month[12],0.049792105290199201
R0c_all,legacy_hinge,z_customers_v2_log1p,-0.19520141005916775
R0c_all,legacy_hinge,z_cust_sq,-0.11134726716677527
R0c_all,legacy_hinge,hinge_17,0.100811745573008
R0c_weather,final,Intercept,2.6037246216858407
R0c_weather,final,z_gust_0h,-0.054476182609053327
R0c_weather,final,z_precipitation_24h_sum,0.06039950150937571
R0c_weather,final,z_temperature_0h,-0.13372587989107373
R0c_weather,final,z_pressure_msl_0h,-0.10170053300783588
R0c_weather,final,urban_binary,0.002785827329820289
R0c_weather,final,log_population,-0.13807931489924105
R0c_weather,final,income_deprivation_rate,-4.1246825119830879
R0c_weather,final,deprivation_gap_pct,1.3488223724646393
R0c_weather,final,morans_i,0.1131095276321233
R0c_weather,final,incident_year[2022],0.25916142459347891
R0c_weather,final,incident_year[2023],0.10757109903365869
R0c_weather,final,incident_year[2024],-0.1539546282416504
R0c_weather,final,incident_month[2],0.75897922364617243
R0c_weather,final,incident_month[3],-0.35055517439341266
R0c_weather,final,incident_month[4],-0.30657539030549236
R0c_weather,final,incident_month[5],-0.21218619045011836
R0c_weather,final,incident_month[6],0.14378892457447365
R0c_weather,final,incident_month[7],0.099068269510048795
R0c_weather,final,incident_month[8],0.11435562822715216
R0c_weather,final,incident_month[9],0.0046855275043195524
R0c_weather,final,incident_month[10],-0.072800062239280358
R0c_weather,final,incident_month[11],-0.25999344472034208
R0c_weather,final,incident_month[12],-0.29622605427569471
R0c_weather,final,z_customers_v2_log1p,-0.29481116590424716
R0c_weather,final,z_cust_sq,0.092285779614320829
R0c_weather,final,gust_hinge_11,0.069594687799961169
R0c_weather,final,z_temperature_sq,0.064134720453284222
R0c_weather,final,z_gust_precip,-0.056231573634104477
R0c_weather,paper,Intercept,2.9251496903094907
R0c_weather,paper,z_gust_0h,0.25584946922754948
R0c_weather,paper,z_precipitation_24h_sum,0.056990333719926838
R0c_weather,paper,z_temperature_0h,-0.051244693079677744
R0c_weather,paper,z_pressure_msl_0h,-0.10619380402314341
R0c_weather,paper,z_gust_sq,0.10741937461451014
R0c_weather,paper,z_gust_pressure,0.06332434343901773
R0c_weather,paper,urban_binary,0.00059236113169575089
R0c_weather,paper,log_population,-0.13283609798193052
R0c_weather,paper,income_deprivation_rate,-4.0261647789494983
R0c_weather,paper,deprivation_gap_pct,1.3309830009082357
R0c_weather,paper,morans_i,0.084056339384348644
R0c_weather,paper,incident_year[2022],0.27462964749565705
R0c_weather,paper,incident_year[2023],0.073633547475080996
R0c_weather,paper,incident_year[2024],-0.21111607002651903
R0c_weather,paper,incident_month[2],0.74934561443477044
R0c_weather,paper,incident_month[3],-0.36130833013936209
R0c_weather,paper,incident_month[4],-0.35084528915117952
R0c_weather,paper,incident_month[5],-0.32054760920228587
R0c_weather,paper,incident_month[6],0.011475628183165068
R0c_weather,paper,incident_month[7],0.033730433910367376
R0c_weather,paper,incident_month[8],-0.025184458645993012
R0c_weather,paper,incident_month[9],-0.13041277314811484
R0c_weather,paper,incident_month[10],-0.22250236297689616
R0c_weather,paper,incident_month[11],-0.31133993866233495
R0c_weather,paper,incident_month[12],-0.30083269532091456
R0c_weather,paper,z_customers_v2_log1p,-0.28318809096140801
R0c_weather,paper,z_cust_sq,0.094309919560064986
R0c_weather,control,Intercept,3.4582571775595992
R0c_weather,control,z_precipitation_24h_sum,0.029372477297377703
R0c_weather,control,z_temperature_0h,-0.004763725003724152
R0c_weather,control,z_pressure_msl_0h,-0.29294517776749901
R0c_weather,control,urban_binary,0.0077470399139533104
R0c_weather,control,log_population,-0.15497610643519899
R0c_weather,control,income_deprivation_rate,-4.3755895901277047
R0c_weather,control,deprivation_gap_pct,1.4419527628836799
R0c_weather,control,morans_i,0.13332694393492739
R0c_weather,control,incident_year[2022],0.2389974656914389
R0c_weather,control,incident_year[2023],0.0039842745769924949
R0c_weather,control,incident_year[2024],-0.36988586779558785
R0c_weather,control,incident_month[2],0.80853988189920667
R0c_weather,control,incident_month[3],-0.53755416090267327
R0c_weather,control,incident_month[4],-0.52807099739599661
R0c_weather,control,incident_month[5],-0.50700176081684734
R0c_weather,control,incident_month[6],-0.30300240071261236
R0c_weather,control,incident_month[7],-0.27599703745599347
R0c_weather,control,incident_month[8],-0.35512100184758533
R0c_weather,control,incident_month[9],-0.41519942727998499
R0c_weather,control,incident_month[10],-0.5057538702925588
R0c_weather,control,incident_month[11],-0.61918086680817985
R0c_weather,control,incident_month[12],-0.51355094887047981
R0c_weather,control,z_customers_v2_log1p,-0.26766699645855246
R0c_weather,control,z_cust_sq,0.090849074404693003
R0c_weather,hinge,Intercept,2.5670360991434982
R0c_weather,hinge,z_gust_0h,-0.15680360342456645
R0c_weather,hinge,z_precipitation_24h_sum,0.052321937486753463
R0c_weather,hinge,z_temperature_0h,-0.047487320043984711
R0c_weather,hinge,z_pressure_msl_0h,-0.10303170623926969
R0c_weather,hinge,z_gust_pressure,0.058588233605236989
R0c_weather,hinge,urban_binary,0.0028562189440144354
R0c_weather,hinge,log_population,-0.13023357611456177
R0c_weather,hinge,income_deprivation_rate,-4.0290736007921506
