Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,gust_hinge_11,z_temperature_sq,z_gust_precip,grid_index,gust
0,-0.43904221522422937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20066889632106921,0,0,81,11.200668896321069
0,-0.42079665308125019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33277591973244114,0,0,82,11.332775919732441
0,-0.40255109093827102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46488294314381307,0,0,83,11.464882943143813
0,-0.38430552879529206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59698996655518322,0,0,84,11.596989966555183
0,-0.36605996665231288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72909698996655514,0,0,85,11.729096989966555
0,-0.34781440450933393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86120401337792529,0,0,86,11.861204013377925
0,-0.32956884236635475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99331103678929722,0,0,87,11.993311036789297
0,-0.31132328022337558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1254180602006691,0,0,88,12.125418060200669
0,-0.29307771808039662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2575250836120393,0,0,89,12.257525083612039
0,-0.27483215593741744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3896321070234112,0,0,90,12.389632107023411
0,-0.25658659379443849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5217391304347814,0,0,91,12.521739130434781
