combination,model_id,prediction_type,bin,left,right,first_includes_minimum,n,mean_prediction,mean_observed,bias,requested_quantiles,actual_bins,rule
E0_all,final,in_sample,0,1.2136493200665428,1.6566300560507017,True,3022,1.5693608077940231,1.7207757889448205,-0.15141498115079727,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,in_sample,5,3.3503822208976182,3.4849583220418716,False,986,3.415907827262687,3.4590457787856654,-0.04313795152297896,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,in_sample,6,3.4849583220418716,3.6239407615028272,False,985,3.550404775811701,3.6881961591407362,-0.13779138332903529,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,in_sample,7,3.6239407615028272,3.7820230510398027,False,985,3.7010451439355387,3.7533107332153426,-0.05226558927980407,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,in_sample,8,3.7820230510398027,3.9885745182922543,False,986,3.8795157014941091,3.9236722633555865,-0.04415656186147747,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,in_sample,9,3.9885745182922543,5.2837223272222618,False,986,4.1842584527202762,4.0788184125169105,0.10544004020336646,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,0,1.9585140274036117,2.727318622107596,True,986,2.5724117721593935,2.6305731951127775,-0.058161422953383432,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,1,2.727318622107596,2.9109170544172795,False,986,2.8196910795446883,2.896867227688638,-0.077176148143949991,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,2,2.9109170544172795,3.0705709723941621,False,985,2.9902574812040132,2.9947010133387817,-0.0044435321347687526,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,3,3.0705709723941621,3.2143409056949901,False,986,3.1446064853201574,3.0941113038772627,0.050495181442894027,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,4,3.2143409056949901,3.3571410114586095,False,986,3.2857924014002284,3.2844735231030833,0.0013188782971450021,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
