LAD21CD,grid_lat,grid_lon,lat,lon,centroid_to_grid_km
E09000002,51.5,0.25,51.545301430292533,0.13349245965487105,9.4469495654375564
E09000003,51.5,-0.25,51.616021352943363,-0.21001140783697936,13.16765620859942
E09000004,51.5,0.25,51.458800656599095,0.1403494284051566,8.8071514970562141
E09000005,51.5,-0.25,51.558543173813973,-0.2678164388122054,6.6123734113554997
E09000006,51.25,0,51.371975551756208,0.051559418088064843,13.994223136677366
E09000007,51.5,-0.25,51.546372206284353,-0.15742330544312147,8.1778962822686818
E09000008,51.25,0,51.35532830997505,-0.087161137029664576,13.133410973250887
E09000010,51.75,0,51.650997949293497,-0.087240048640508258,12.514976175627654
E09000011,51.5,0,51.472801633609095,0.056265434434228212,4.9021857126815132
E09000012,51.5,0,51.552253273280549,-0.063367000063523429,7.2499238826668204
E09000013,51.5,-0.25,51.495940360825927,-0.22127856665423865,2.0223768506965869
E09000014,51.5,0,51.590370783995198,-0.10746073333106967,12.451357934489653
E09000015,51.5,-0.25,51.597709217637565,-0.34128624475187058,12.525768357003249
E09000016,51.5,0.25,51.564371933102102,0.22110239771566534,7.4155155260692371
E09000017,51.5,-0.5,51.541463934540289,-0.44567042171239424,5.9237763810205406
E09000019,51.5,0,51.548479108309806,-0.11027428389308012,9.2874036507564934
E09000020,51.5,-0.25,51.501616582824298,-0.19274572760996722,3.9342183196588234
E09000021,51.5,-0.25,51.387890306504289,-0.2869262128974428,12.699701333355895
E09000022,51.5,0,51.453104779605731,-0.11827393735237207,9.6441401468575148
E09000023,51.5,0,51.448087514319354,-0.020237175525409268,5.9273660875605945
E09000024,51.5,-0.25,51.409955236258448,-0.19725321801839102,10.63056804348312
E09000025,51.5,0,51.528336085378719,0.036383962126335698,4.0162836864201674
E09000026,51.5,0,51.585679292189255,0.075875448586064542,10.843181196687631
E09000027,51.5,-0.25,51.442150448267341,-0.31302407295293777,7.7426707655175182
E09000028,51.5,0,51.473130682341711,-0.074612809021442378,5.926786158314397
E09000029,51.25,-0.25,51.362090277652257,-0.17755728202853049,13.398944815300409
E09000030,51.5,0,51.517192165176404,-0.035606760429911191,3.1009152509978559
E09000031,51.5,0,51.594024849319617,-0.012635845635603977,10.472738324063766
E09000032,51.5,-0.25,51.451349765932513,-0.18642901501656278,6.942909311178985
E09000033,51.5,-0.25,51.513892052574256,-0.16129640424210215,6.2811343254294183
