target,candidate,n,events,valid_cv,brier,brier_a01,absolute_gain,relative_gain,constant_brier,brier_skill,calibration_rmse,calibration_absolute_gain,calibration_relative_gain
any_gt1000,A02_daily_mean,121656,1020,True,0.0082764973102212314,0.0082334900960944063,-4.3007214126825066e-05,-0.0052234488199877395,0.0083143200666783885,0.0045491099878077756,0.0014158158427186969,-0.00041686302027935671,-0.41730000748325635
any_gt1000,A03_daily_q90,121656,1020,True,0.0082351546938987004,0.0082334900960944063,-1.6645978042940934e-06,-0.00020217402157120503,0.0083143200666783885,0.0095215690693652988,0.0010964296087925503,-9.7476786353210181e-05,-0.097578968859792475
any_gt1000,A04_top3_mean,121656,1020,True,0.0082288102141754894,0.0082334900960944063,4.6798819189168561e-06,0.00056839588853538304,0.0083143200666783885,0.010284647670180558,0.00059818372485446862,0.00040076909758487154,0.40118921392727497
any_gt1000,A05_max_rolling3h_mean,121656,1020,True,0.0082281712907029212,0.0082334900960944063,5.3188053914850902e-06,0.00064599645222238012,0.0083143200666783885,0.010361493818445755,0.00076753571361246899,0.00023141710882687116,0.23165969766397412
wthr_gt0,A01_daily_max,121656,6122,True,0.045305332689463497,0.045305332689463497,0,0,0.047804396225071807,0.052276855957813284,0.0029429650550300171,0,0
wthr_gt0,A02_daily_mean,121656,6122,True,0.04600780919920238,0.045305332689463497,-0.00070247650973888354,-0.015505382435967765,0.047804396225071807,0.037582046166021343,0.0036494044935390033,-0.00070643943850898618,-0.24004343418946264
wthr_gt0,A03_daily_q90,121656,6122,True,0.045477555886188487,0.045305332689463497,-0.00017222319672498959,-0.0038013890750005007,0.047804396225071807,0.048674191551926205,0.003431187713815433,-0.00048822265878541594,-0.16589482024292546
wthr_gt0,A04_top3_mean,121656,6122,True,0.045334993979751242,0.045305332689463497,-2.9661290287745501e-05,-0.00065469754942653192,0.047804396225071807,0.051656383937873973,0.0034935295470449983,-0.00055056449201498119,-0.18707816155478124
wthr_gt0,A05_max_rolling3h_mean,121656,6122,True,0.045346425724000154,0.045305332689463497,-4.1093034536657247e-05,-0.00090702423086309468,0.047804396225071807,0.051417248102017199,0.0033889858255479626,-0.00044602077051794555,-0.15155489860663546
wthr_gt5,A01_daily_max,121656,4394,True,0.033136800606360643,0.033136800606360643,0,0,0.034820363904497734,0.048349962761866094,0.0025979116574502432,0,0
wthr_gt5,A02_daily_mean,121656,4394,True,0.033647055637352631,0.033136800606360643,-0.00051025503099198788,-0.015398439851010959,0.034820363904497734,0.033696036904242277,0.0024730603971545913,0.00012485126029565183,0.048058316354832806
wthr_gt5,A03_daily_q90,121656,4394,True,0.033269546195319868,0.033136800606360643,-0.00013274558895922522,-0.0040059868946353428,0.034820363904497734,0.044537665184410824,0.0023323712246372721,0.0002655404328129711,0.10221303409277184
wthr_gt5,A04_top3_mean,121656,4394,True,0.033158106291837589,0.033136800606360643,-2.130568547694528e-05,-0.00064296145334126291,0.034820363904497734,0.047738088470851148,0.0025396982562033731,5.8213401246870033e-05,0.022407767823792897
wthr_gt5,A05_max_rolling3h_mean,121656,4394,True,0.03316685933213763,0.033136800606360643,-3.0058725776986595e-05,-0.00090711007782739268,0.034820363904497734,0.047486711422522587,0.0023894259041332372,0.000208485753317006,0.080251286728366761
wthr_gt100,A01_daily_max,121656,2472,True,0.018985417262720929,0.018985417262720929,0,0,0.019907735695288309,0.046329650276885626,0.0014050647039226224,0,0
wthr_gt100,A02_daily_mean,121656,2472,True,0.019313589312884811,0.018985417262720929,-0.00032817205016388157,-0.017285479988278594,0.019907735695288309,0.0298450005313321,0.00072280829132510111,0.00068225641259752126,0.48556939099873186
wthr_gt100,A03_daily_q90,121656,2472,True,0.019087682474172953,0.018985417262720929,-0.00010226521145202325,-0.0053865137666912104,0.019907735695288309,0.041192691809216808,0.001171537125739255,0.00023352757818336737,0.1662041452834245
wthr_gt100,A04_top3_mean,121656,2472,True,0.019013943945663116,0.018985417262720929,-2.8526682942186382e-05,-0.0015025575970985022,0.019907735695288309,0.044896705647781587,0.0011829298869126005,0.00022213481701002184,0.15809579188052461
wthr_gt100,A05_max_rolling3h_mean,121656,2472,True,0.019012981302012486,0.018985417262720929,-2.7564039291556874e-05,-0.0014518532255638444,0.019907735695288309,0.044945060903515466,0.00098717719053818343,0.00041788751338443894,0.29741513840451023
wthr_gt1000,A01_daily_max,121656,312,True,0.0024748567395572749,0.0024748567395572749,0,0,0.002558074475163004,0.032531396725822948,0.0019981125156636123,0,0
wthr_gt1000,A02_daily_mean,121656,312,True,0.0025174919836107338,0.0024748567395572749,-4.2635244053458934e-05,-0.017227358405030715,0.002558074475163004,0.015864468351604266,0.00015592374782632195,0.0018421887678372903,0.92196448067663661
wthr_gt1000,A03_daily_q90,121656,312,True,0.0024852772730000082,0.0024748567395572749,-1.0420533442733262e-05,-0.0042105602624083133,0.002558074475163004,0.02845781186974905,0.00036261861866660627,0.001635493896997006,0.81851941979044485
wthr_gt1000,A04_top3_mean,121656,312,True,0.0024742581021434582,0.0024748567395572749,5.9863741381669874e-07,0.0002418877037398894,0.002558074475163004,0.032765415484709459,0.00034184863470781128,0.001656263880955801,0.82891422178281249
wthr_gt1000,A05_max_rolling3h_mean,121656,312,True,0.0024734701610340517,0.0024748567395572749,1.3865785232231725e-06,0.00056026617664795269,0.002558074475163004,0.033073436661206324,0.00035286563621241723,0.001645246879451195,0.82340051751528931
