margin,sample,SE_method,term,coef,se,p_normal,p_t_G1,source,se_lad
R0c,all,LAD_only,incident_month[5],-0.0084653219667678963,0.033540206385395496,0.80073711076721543,0.80120811991442664,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,incident_month[6],0.13852462181140041,0.037466051540903926,0.00021787295300441874,0.0003415793621312601,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,incident_month[7],0.1248524398034165,0.035166641824123969,0.00038477944522081293,0.00056748637798313131,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,incident_month[8],0.13932126374575915,0.036457239453797169,0.00013264354767382927,0.00022012851407178256,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,incident_month[9],0.074605681779237404,0.037866056835016586,0.048809473724654266,0.051322522441864415,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,incident_month[10],0.030948908738163406,0.037844082943018879,0.41347113084907849,0.41523904733026196,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,incident_month[11],0.011661099130550396,0.027284229564962032,0.66909282739925924,0.66992830008681059,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,incident_month[12],0.057365753885257317,0.028946728269425882,0.047505003258148652,0.049999478947738651,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,z_customers_v2_log1p,-0.19639142124266457,0.016463377115988064,8.3583826303512945e-33,1.4884778138158143e-21,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,z_cust_sq,-0.11133008136808209,0.013716853116847548,4.8061566465100498e-16,7.5459033581637172e-13,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,z_temperature_sq,0.016787741636830358,0.0038255895597610065,1.1425289339251356e-05,2.6328697797639372e-05,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,LAD_only,z_gust_precip,-0.024454468274793594,0.0063038563289959737,0.00010476306568532048,0.00017883113825513063,results/new/20260909183317/results/final_models/R0c_final_lad.csv,
R0c,all,two_way_LAD_date,Intercept,0.66243464518700046,0.43301963208961797,0.12606554858708507,0.12893627792239681,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_gust_0h,-0.00024523989440493864,0.019204745719333807,0.98981148667790386,0.98983461828980879,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_precipitation_24h_sum,0.046726713386895387,0.0096225498524985,1.1980512466012972e-06,3.9909592925203888e-06,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_temperature_0h,-0.072372198496781046,0.019049853155604667,0.00014522552525811019,0.00023846010823236729,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_pressure_msl_0h,-0.041644120751923447,0.012944369643684022,0.001294659402093842,0.0017008962887392546,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_gust_sq,0.08096305923144638,0.0074138332765075485,9.1947990402067616e-28,3.0019189857303317e-19,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,urban_binary,0.21786307598579113,0.052219035363698589,3.018041410838956e-05,6.0503848489731465e-05,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,log_population,0.066425487668174368,0.038257474482467198,0.082515262294556288,0.085315073079377565,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,income_deprivation_rate,0.90166643199248209,0.68643825925394297,0.18899991299841357,0.19173306607326701,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,deprivation_gap_pct,-0.13230582549788436,0.49647375042760516,0.78986102893080357,0.79035993545008787,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,morans_i,0.2784524837242407,0.1554661370089622,0.073280256807208399,0.076030404213285177,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_year[2022],0.1024216713707953,0.023939656687068236,1.8830354633135792e-05,4.0332061947834435e-05,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_year[2023],0.002903696775680619,0.023978872748938004,0.9036166092896869,0.90383753359639174,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_year[2024],-0.077738714706510059,0.067029367224014771,0.24614206358910418,0.24865323595954827,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[2],0.44455208392154877,0.10904955243609751,4.5697784789223e-05,8.6637590725233612e-05,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[3],0.04321852045590447,0.036570766148839418,0.2372938690289107,0.23984238452273221,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[4],-0.0093482923875606427,0.042193800033742866,0.82465948591945015,0.8250702630550093,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[5],-0.0084653219667678963,0.048995021007599039,0.86282496414306487,0.86314247734788208,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[6],0.13852462181140041,0.054055798353373097,0.010388484042766924,0.011740179387999407,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[7],0.1248524398034165,0.050278181288923855,0.013019589024437025,0.014528862090331933,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[8],0.13932126374575915,0.05199064383522152,0.0073679974477962127,0.0085001687022065228,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[9],0.074605681779237404,0.050965443180743954,0.1432353783201756,0.14608726281382625,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[10],0.030948908738163406,0.051313857377100772,0.54642244454115452,0.5476640022348146,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[11],0.011661099130550396,0.045739216971544011,0.79876364654338472,0.79923969283155782,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,incident_month[12],0.057365753885257317,0.044753159902910157,0.19990377023571548,0.20259895103387845,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_customers_v2_log1p,-0.19639142124266457,0.017059733441619457,1.1480301393446599e-30,1.3280997239976533e-20,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_cust_sq,-0.11133008136808209,0.015500323805585461,6.8480197169297452e-13,8.5992885907117379e-11,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_temperature_sq,0.016787741636830358,0.005822944115929719,0.0039386583451380313,0.0047383143547132687,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
R0c,all,two_way_LAD_date,z_gust_precip,-0.024454468274793594,0.0099950751604490802,0.014419007849556917,0.016002621586288856,results/new/20260909183317/results/final_models/R0c_final_twoway.csv,
E0,weather,two_way_LAD_date,Intercept,3.8616797608347739,1.405679178264472,,0.0070858094107879698,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,1.4682162634231009
E0,weather,two_way_LAD_date,z_precipitation_24h_sum,-0.11827051930994266,0.034426828827466734,,0.00085125755197703722,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.025769040185908757
E0,weather,two_way_LAD_date,z_temperature_0h,0.027198941296673079,0.06903289708607295,,0.69438794325614694,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.039481447531188721
E0,weather,two_way_LAD_date,z_pressure_msl_0h,-0.18538680336870464,0.040494823128395696,,1.3049883523977522e-05,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.031043887441239711
E0,weather,two_way_LAD_date,z_gust_pressure,-0.086481935295944903,0.033962198153598695,,0.012348632591174399,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.029686150746290701
E0,weather,two_way_LAD_date,urban_binary,-0.0058103102898255932,0.066455883607293945,,0.93049698194993069,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.064152147298945042
E0,weather,two_way_LAD_date,log_population,-0.052849189803676977,0.11787119081314697,,0.65482329983827314,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.12372491580862
E0,weather,two_way_LAD_date,income_deprivation_rate,-1.9483855151618044,2.1835124155496604,,0.37428297244477549,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,2.2261603999886406
E0,weather,two_way_LAD_date,deprivation_gap_pct,-1.3852534023926912,0.99727261645614629,,0.16778724991365318,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,1.038704755474082
E0,weather,two_way_LAD_date,morans_i,0.59090139897823812,0.37843756446075033,,0.12146174354505508,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.39493010794713146
E0,weather,two_way_LAD_date,incident_year[2022],0.26340425184547789,0.090316573916564571,,0.0043375590843046557,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.082407834727172766
E0,weather,two_way_LAD_date,incident_year[2023],0.38855665788609633,0.091158904129931231,,4.4583533808024723e-05,results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv,0.080328594815633189
