model,term,coef,se_lad,se_twoway,se_ratio,ci_lad_lower,ci_lad_upper,ci_twoway_lower,ci_twoway_upper,p_lad_t_G1,p_twoway_t_G1,df
E0_weather_final,incident_month[3],0.24574021891970702,0.1380548361391491,0.14532854160932765,1.0526870747421495,-0.02802770185678724,0.51950813969620124,-0.042451732760741295,0.5339321706001553,0.077993362847608425,0.093845275869212236,104
E0_weather_final,incident_month[4],0.12767927584768599,0.19059318075415363,0.1953273636521608,1.0248392040012901,-0.25027415387969643,0.50563270557506845,-0.25966221622368213,0.51502076791905416,0.50440321650058939,0.51476831723549499,104
E0_weather_final,incident_month[5],0.362029179332371,0.17270489234805808,0.2020567112487946,1.1699536041027883,0.019548896798839754,0.70450946186590224,-0.038656861551875032,0.76271522021661697,0.0384882439363241,0.076085949641748113,104
E0_weather_final,incident_month[6],1.0187404648531597,0.1960967935882173,0.2397054857170475,1.2223835042423177,0.62987316434459162,1.4076077653617278,0.54339549137224585,1.4940854383340736,1.0241242653625313e-06,4.6744815077257138e-05,104
E0_weather_final,incident_month[7],0.78285663953945261,0.14634793638093416,0.20250945901160233,1.383753430485575,0.49264318977260729,1.0730700893062979,0.38127278285152727,1.184440496227378,5.2785501179189441e-07,0.00019308296868991682,104
E0_weather_final,incident_month[8],0.77065320394074299,0.1461301261045391,0.19891400510651391,1.3612114791731178,0.48087168012564285,1.060434727755843,0.37619926727135045,1.1651071406101354,7.3125159657788278e-07,0.00018727507785308087,104
E0_weather_final,incident_month[9],0.43633615044710217,0.16124036979845488,0.21022476640747725,1.3037973472167748,0.11659044635265298,0.7560818545415513,0.019452549664799423,0.85321975122940485,0.0079574658536573795,0.040400669931802372,104
E0_weather_final,incident_month[10],0.55462524703508054,0.15513212379599142,0.2041049366486988,1.3156845381496209,0.2469924239845106,0.86225807008565047,0.14987749832012731,0.95937299575003376,0.00053253698416157777,0.0077099363312169468,104
E0_weather_final,incident_month[11],0.27597963323406105,0.1562766273310261,0.18291804485801011,1.170476020515544,-0.033922783275675938,0.58588204974379798,-0.086753713990406489,0.63871298045852853,0.080335590052684494,0.13439187777554501,104
E0_weather_final,incident_month[12],0.55963749928882145,0.12504924834451372,0.14798291122292134,1.1833970470196256,0.31166014716306784,0.80761485141457512,0.26618183305545873,0.85309316552218417,1.9576152437621808e-05,0.00026027334727738344,104
E0_weather_final,gust_low,-0.059490066800773581,0.012007383614722875,0.015282024916009593,1.2727189707898989,-0.083301159103654848,-0.035678974497892313,-0.089794895689879917,-0.029185237911667251,2.822085012786766e-06,0.00017523335348818556,104
E0_weather_final,gust_ramp,0.078501781906975335,0.0076106390450388405,0.009952550008442116,1.3077154164773983,0.063409599080141044,0.093593964733809626,0.058765501756028696,0.098238062057921974,1.3320731149857705e-17,3.2369942577397343e-12,104
E0_weather_final,z_temperature_sq,0.092837296950974493,0.013385474092253906,0.01888476486821233,1.4108401942327042,0.066293399516259316,0.11938119438568967,0.055388099538487952,0.13028649436346104,3.5349921212964526e-10,3.3104498796670646e-06,104
R0c_weather_final,Intercept,2.6037246216858407,0.7641075433186264,0.77691462287896773,1.016760833828074,1.0882975282710781,4.1191517151006032,1.0628977065797922,4.144551536791889,0.0009363406632264266,0.0011252262979999173,103
R0c_weather_final,z_gust_0h,-0.054476182609053327,0.043178704899226185,0.088972575068230836,2.0605660886745434,-0.1401109598534426,0.031158594635335955,-0.23093230061004033,0.12197993539193369,0.20992639073770605,0.54170145499923406,103
R0c_weather_final,z_precipitation_24h_sum,0.06039950150937571,0.017755381493955977,0.023402591785042202,1.3180562632804349,0.025185890015638646,0.095613113003112774,0.013985980327331664,0.10681302269141976,0.00095430290928964962,0.011262804880598184,103
R0c_weather_final,z_temperature_0h,-0.13372587989107373,0.028380501560170249,0.063410019795820047,2.2342811546646839,-0.19001191104604653,-0.077439848736100936,-0.25948469857149875,-0.0079670612106487182,7.7049774723131747e-06,0.037377269510292965,103
R0c_weather_final,z_pressure_msl_0h,-0.10170053300783588,0.022999030873324205,0.033694484692006997,1.4650393261173489,-0.14731368630343755,-0.056087379712234223,-0.16852559637411146,-0.034875469641560297,2.4307364761896963e-05,0.0032037586254924102,103
R0c_weather_final,urban_binary,0.002785827329820289,0.055832123708594882,0.050931724773644521,0.91222975933125783,-0.10794402174799198,0.11351567640763255,-0.098225236245218894,0.10379689090485947,0.96030150095811972,0.95648558327520183,103
R0c_weather_final,log_population,-0.13807931489924105,0.063517921704752345,0.062783723542341505,0.98844108650431639,-0.26405213156680407,-0.012106498231678003,-0.26259602267613613,-0.013562607122345985,0.032005715570973481,0.030093906745134777,103
R0c_weather_final,income_deprivation_rate,-4.1246825119830879,1.2554996345631424,1.2522481477928558,0.99741020492497556,-6.6146699209883462,-1.6346951029778301,-6.6082213638596308,-1.6411436601065446,0.0013930339268053685,0.001355381159325766,103
