path,task,model,split,train_n,test_n,model_sha256,fit_ids_sha256,model_path,fit_ids_path
time_frozen,R_log,S02,P4_P5,3380,1070,349cfa2d8a47b21d8f446b3037097766ade15847e4a534aa0e624cee3ee846be,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S02.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S02.fit_ids.parquet
development,R_log,S03,P1,3110,270,ae71ef22195b299d31312101663a5dd13ca23bf87214a2354f61448c2fc9e2a0,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S03\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S03\holdout_P1.fit_ids.parquet
development,R_log,S03,P2,777,2603,e78cab6cca7056422e26ea6a0a8f1f84f138af3aebe621c5ecaf8db2ad34a8ec,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S03\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S03\holdout_P2.fit_ids.parquet
development,R_log,S03,P3,2873,509,dd790b1d996d8db2af14f33161850489c867ca69f6b7e3993c66cc2166d930be,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S03\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S03\holdout_P3.fit_ids.parquet
time_frozen,R_log,S03,P4_P5,3380,1070,11ba0af5d878757f9c7523888572e5362895acb74271d3455eea5b30c1e6996c,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S03.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S03.fit_ids.parquet
development,R_log,S04,P1,3110,270,3803ca8b88b11c647c13d68fce2ca86e5a9ad39cffdf9c3cd5ab0c93039a2ea9,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S04\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S04\holdout_P1.fit_ids.parquet
development,R_log,S04,P2,777,2603,dd898b6dc2b5492ebaefa3c210ceb3662f564094b7d8ad498693b985b0239c76,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S04\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S04\holdout_P2.fit_ids.parquet
development,R_log,S04,P3,2873,509,f734230148029592326a376d3ecce534bfaddc1d4cc026c5b1e8fa35dc08d701,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S04\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S04\holdout_P3.fit_ids.parquet
time_frozen,R_log,S04,P4_P5,3380,1070,176124fe06f10e509c41e54a52d1365728d2ea194a252ec6e20fae67bd613743,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S04.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S04.fit_ids.parquet
development,R_log,G05,P1,49564,270,903325aee33e547d1eb911d8a5912df5a1101e30ac7de65dc2cac97f31d0eab3,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\G05\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\G05\holdout_P1.fit_ids.parquet
development,R_log,G05,P2,47038,2603,8840239c3aad42faa91dd388e565b8ff0b6f73e577d6a23fcead522cf06fd978,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\G05\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\G05\holdout_P2.fit_ids.parquet
development,R_log,G05,P3,49285,509,c44ed3c6211b9b43b847f9e2495023d79f5d86aa007908746347c2164da86446,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\G05\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\G05\holdout_P3.fit_ids.parquet
time_frozen,R_log,G05,P4_P5,50021,1070,80eacf93c89ffbd281c81f0c3a0b6f389fc29609223aba60493680039707df3b,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\G05.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\G05.fit_ids.parquet
development,R_log,S05,P1,3110,270,b96338cc5c3eac4b711400c4e1ec3b7bece1e29b723b2c5767102599cf738208,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S05\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S05\holdout_P1.fit_ids.parquet
development,R_log,S05,P2,777,2603,163b131bd8b30dc40c7ae56d799eaedbb633f35cbb4a53d2bbbaced8c1640c83,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S05\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S05\holdout_P2.fit_ids.parquet
development,R_log,S05,P3,2873,509,b8f0f9cc6780231bc0a4689d9235a1b47dd41ceecdb9669084b5e8c16b77ae73,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S05\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S05\holdout_P3.fit_ids.parquet
time_frozen,R_log,S05,P4_P5,3380,1070,d2e690d2035fe269cfad3849743869ab7bcd66e3da256295fb098942169b9000,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S05.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S05.fit_ids.parquet
development,R_C_log,B00,P1,3110,270,8dac4e39726c6e5fb842d80090bd3d5aedf153de36af86039c7bcf60a9e9db1c,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B00\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B00\holdout_P1.fit_ids.parquet
development,R_C_log,B00,P2,777,2603,91cb3f06b72a6e91b912367294176670094dbab363a38dd3d3f85409157327b5,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B00\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B00\holdout_P2.fit_ids.parquet
