path,task,model,split,train_n,test_n,model_sha256,fit_ids_sha256,model_path,fit_ids_path
development,E_log,B00,P1,3110,270,f9378bad8f7906b13701b6c99f80eb6abbd9b75033197e6f0a97b83bc7f3800a,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P1.fit_ids.parquet
development,E_log,B00,P2,777,2603,6ed4d2b11a30d46ceb4edea99f999d55a99353b6a76a0baea92b5cf9af1c8e51,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P2.fit_ids.parquet
development,E_log,B00,P3,2873,509,30ef750b62e52b20d785336fd411d6c646f2e785cb09e39bf76219df067e72ca,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B00\holdout_P3.fit_ids.parquet
time_frozen,E_log,B00,P4_P5,3380,1070,fb6950b9d7cbfe5ffa9ce7fd2d500aa09168b96aac0d9527f3ec38a534783163,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\B00.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\B00.fit_ids.parquet
development,E_log,B01,P1,3110,270,730b23371209b12090118617ce6bbabd3819e86e1379ceba3a6926d0d870f111,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P1.fit_ids.parquet
development,E_log,B01,P2,777,2603,6db24d2404e838d733dcc155985523b2fdcb3afbe31539d7999fe2a5d2af4fe9,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P2.fit_ids.parquet
development,E_log,B01,P3,2873,509,7ad4628e2254866eefda5e41c4fc4e45cfa89fa2a3942cdaf630cdf3ef8064ef,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\B01\holdout_P3.fit_ids.parquet
time_frozen,E_log,B01,P4_P5,3380,1070,32250772148a5aa1f4fcf7f699c29463163bf8eaee9dc2359222ef938859aaf5,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\B01.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\B01.fit_ids.parquet
development,E_log,G02,P1,49564,270,325f25d039850cf11065ac479f99bb9b8915156290a82045c903533703c10fd5,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P1.fit_ids.parquet
development,E_log,G02,P2,47038,2603,28980c3335f066b6690dbb8e8551f03190496551cc8ec6ab86f376b936946e39,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P2.fit_ids.parquet
development,E_log,G02,P3,49285,509,71efe9cff29c982a0b731c23b417ae3885cad8ea87341b18a8543bd13104220d,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G02\holdout_P3.fit_ids.parquet
time_frozen,E_log,G02,P4_P5,50021,1070,1f2a19559ba116108f298fdd9f4b6f1def92961896c07df052a6ffca30041415,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\G02.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\G02.fit_ids.parquet
development,E_log,P00,P1,49564,270,6b60d8d55e4cf88ff2c1929bec4fe193ea28f213cdb43fa4a88081ff2f251512,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P00\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P00\holdout_P1.fit_ids.parquet
development,E_log,P00,P2,47038,2603,4064103035abf7aa0cef3cfc5819f8fea3fae70c25d975c3081707f824f469ab,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P00\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P00\holdout_P2.fit_ids.parquet
development,E_log,P00,P3,49285,509,d0366e5a6f996b90cba774020c5f36721848afe63b62586381e611e5db7af788,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P00\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P00\holdout_P3.fit_ids.parquet
time_frozen,E_log,P00,P4_P5,50021,1070,2a6167fd4e9a00d79d832d986602722c22c41c940a1d44e7d922419104545329,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\P00.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\P00.fit_ids.parquet
development,E_log,P02,P1,49564,270,d686d6a684aeaadfc68c1ea3e0b00ead4237f092b1e09a67c0f198674994aa2b,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P02\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P02\holdout_P1.fit_ids.parquet
development,E_log,P02,P2,47038,2603,48806c9b52007918b89e9190be0a64de2604f2f840fe7ecd0fe53d87e6745666,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P02\holdout_P2.fit_ids.parquet
development,E_log,P02,P3,49285,509,af607c22c3f0f98fd24dbf84fa0a5c1757059104021fdf4be01b8d1c1205e12f,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\P02\holdout_P3.fit_ids.parquet
time_frozen,E_log,P02,P4_P5,50021,1070,0cc0a24d16022fa463558de3235b64a105df5f3e5efda91fd08d5e428325b4ce,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\P02.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\P02.fit_ids.parquet
development,E_log,S01,P1,3110,270,2dc4be91a57b0136948163f9a6002ae56fe4396f0affe4c1bd9b319a2a2665e0,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S01\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S01\holdout_P1.fit_ids.parquet
development,E_log,S01,P2,777,2603,5c5f07d975957b57e59d3869e6bdb9d83c8d1f27e764597586daf274dbf485db,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S01\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S01\holdout_P2.fit_ids.parquet
development,E_log,S01,P3,2873,509,a523726a568c40b774e1ae129e514ceb33ac36c9d8114b7b4f6f73c430d13a57,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S01\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S01\holdout_P3.fit_ids.parquet
time_frozen,E_log,S01,P4_P5,3380,1070,d56748aa5e8bb992a107b8ce29bef5a34d42a7eddc233dbee28092cb0c0be14a,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S01.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S01.fit_ids.parquet
development,E_log,S02,P1,3110,270,792429cd122b4edcd8aeeaf735eaa1b8e850fa487a8407a75cc7fb45afb8d816,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S02\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S02\holdout_P1.fit_ids.parquet
development,E_log,S02,P2,777,2603,26c7021b1adc5898b9a720b72fc91c27b83d92d13530140cf2d62135afd589b4,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S02\holdout_P2.fit_ids.parquet
development,E_log,S02,P3,2873,509,557f9a2c9f444475704a2986d113a3bc85c646e352a95a5837d6c420772e199a,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S02\holdout_P3.fit_ids.parquet
time_frozen,E_log,S02,P4_P5,3380,1070,f842c139c8e1e7dadb67dd61693b3c5d0d7f3d921cfb3ef64cd69632d0ea1a95,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S02.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S02.fit_ids.parquet
development,E_log,S03,P1,3110,270,b07ecff958bfba3d551643c6dce63a5a9184911f91060b0cebd238253a16c3b1,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S03\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S03\holdout_P1.fit_ids.parquet
development,E_log,S03,P2,777,2603,da4e07df0915294414dd670a6c69f33fd459b0e5921d668ae815586ac8045b1e,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S03\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S03\holdout_P2.fit_ids.parquet
development,E_log,S03,P3,2873,509,a540d609160a7852eabdf1f32268e9e883e681810784159a817d8802e0bc4aa4,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S03\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S03\holdout_P3.fit_ids.parquet
time_frozen,E_log,S03,P4_P5,3380,1070,438c7982ea335c480cc33f00a8d2a862e1502c5b056b5091e6cdc64aef0dc985,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S03.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S03.fit_ids.parquet
development,E_log,S04,P1,3110,270,429d190e2fc28a46f6929a7fc63184e172bed5bc22edf146daca4db5360afcb9,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S04\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S04\holdout_P1.fit_ids.parquet
development,E_log,S04,P2,777,2603,96f9f5188601cdf4e6ab2235ab11934a4e7b74f07b0cf23b1895a457ebc84fd3,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S04\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S04\holdout_P2.fit_ids.parquet
development,E_log,S04,P3,2873,509,73206064e9a0e0ee5e6f584ff0dcb62659b3734fea48d4ad1139f5ce5edfed2f,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S04\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S04\holdout_P3.fit_ids.parquet
time_frozen,E_log,S04,P4_P5,3380,1070,b2d498634bc3a42462b1dc17a2c94256842fabcf7d4c2a5e63ed60376b40a5e8,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S04.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S04.fit_ids.parquet
development,E_log,G05,P1,49564,270,75cb8b6d00ce750605f6309255ce425792a678f66efc51823e7aa47730f44369,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G05\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G05\holdout_P1.fit_ids.parquet
development,E_log,G05,P2,47038,2603,8ca96cd4562e4d6c5690483645252270e3ed59735c241174086bc896301e2bf0,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G05\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G05\holdout_P2.fit_ids.parquet
development,E_log,G05,P3,49285,509,1a5a6782ec4c8d02c5c7b5645c6a1e15a8acecbc3b0a21e6e508d66970c48484,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G05\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\G05\holdout_P3.fit_ids.parquet
time_frozen,E_log,G05,P4_P5,50021,1070,7d2b971324d356235cabdb17a6cc0e5c73fafffddefb0511665c8bcbebaa3191,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\G05.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\G05.fit_ids.parquet
development,E_log,S05,P1,3110,270,6240d32508549028f7a3410b6fd4a196fef7740e5ad2e17ef58a8b34f77e1393,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S05\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S05\holdout_P1.fit_ids.parquet
development,E_log,S05,P2,777,2603,0f16a2a2581525b54007d32aa563b10ea5ed422b512ff2a011a67b2e96bd32fd,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S05\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S05\holdout_P2.fit_ids.parquet
development,E_log,S05,P3,2873,509,6c57737e5f464d103c27aaee511a1d72203bcd615cf82cddc15da4787bf632c8,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S05\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\E_log\S05\holdout_P3.fit_ids.parquet
time_frozen,E_log,S05,P4_P5,3380,1070,fee11b56d3beabc885c1ac58a75cb20e9e4917ee65608c677e5731ad839f753d,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S05.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\E_log\S05.fit_ids.parquet
development,R_log,B00,P1,3110,270,640e0b5d8d670c40a6a2c23a1a5c9836433e2f703a2ccdd211907e250ae131be,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B00\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B00\holdout_P1.fit_ids.parquet
development,R_log,B00,P2,777,2603,4738468afd076bd48f7fedc00f60feb24ed43c48fa1064e8bb40b79710d532ac,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B00\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B00\holdout_P2.fit_ids.parquet
development,R_log,B00,P3,2873,509,30270877d8652845941216b2d953f7e900e62c767695e0a2a03f96923d56ec13,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B00\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B00\holdout_P3.fit_ids.parquet
time_frozen,R_log,B00,P4_P5,3380,1070,e56c4469ac7bcc323eda11b170408f92c227769ecea10f689844a5dbf54cde3f,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\B00.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\B00.fit_ids.parquet
development,R_log,B01,P1,3110,270,c46d571f31e7d823b645c4daf35898c766cdce9056f87baa26431724cca5ae6b,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B01\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B01\holdout_P1.fit_ids.parquet
development,R_log,B01,P2,777,2603,9568b996dfcd8f482f35b9598e4556481a6a7a8d8e714c567eb2c0950f9fe81e,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B01\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\B01\holdout_P2.fit_ids.parquet
