task,model,config,folds,macro_mse,pooled_sse,pooled_n,pooled_mse
E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",3,6.526460968778745,20311.058250321414,3382,6.005635201159495
E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",3,6.564911137207233,20437.74781637299,3382,6.043095155639559
E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":3}",3,6.678705010266984,20831.64365354325,3382,6.159563469409595
E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":5}",3,7.119505375269401,21579.554595287376,3382,6.3807080411849135
E_log,S04,"{""control_lambda"":0.001}",3,5.452736464874616,21459.10080925333,3382,6.3450919010210916
E_log,S04,"{""control_lambda"":0.1}",3,6.1865079966680705,19668.96815049759,3382,5.815780056326904
E_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",3,4.949632286520647,20154.688337290376,3382,5.959399271818562
E_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",3,4.512695374468511,17461.836159489103,3382,5.163168586484064
E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",3,4.789787599375463,19750.83787566218,3382,5.839987544548249
E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",3,4.453346772994466,17254.33172940189,3382,5.101813048315165
R_C_log,B00,{},3,3.051588391823534,13500.14698447774,3382,3.9917643360371793
R_C_log,B01,"{""lambda"":0.001}",3,32.73806785742043,232232.96359903004,3382,68.6673458305825
R_C_log,B01,"{""lambda"":0.1}",3,11.382527218626521,29031.90152639702,3382,8.584240545948262
R_C_log,B01,"{""lambda"":0}",3,89148.52362337167,136944748.025269,3382,40492.23773662596
R_C_log,G02,"{""lambda"":0.001}",3,2.4588804925926375,13723.11846980075,3382,4.0576932199292575
R_C_log,G02,"{""lambda"":0.1}",3,2.5063825468846113,13958.323614856668,3382,4.127239389372167
R_C_log,G02,"{""lambda"":0}",3,2.4588090992293363,13720.027606848103,3382,4.056779304212922
R_C_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",3,2.355677618486965,13321.352652736608,3382,3.93889788667552
R_C_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",3,2.336202867831702,13374.047159798218,3382,3.9544787580716196
R_C_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",3,2.3316532221383865,13233.724835353538,3382,3.912987828312696
R_C_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",3,2.3094315207200493,13175.844224917133,3382,3.895873514168283
R_C_log,P00,"{""lambda"":0.001}",3,3.0278289610639,14364.809402658779,3382,4.247430337864808
R_C_log,P00,"{""lambda"":0.1}",3,3.0205338619101867,14541.317322520146,3382,4.299620734039073
R_C_log,P00,"{""lambda"":0}",3,3.0257871429753807,14357.871234199441,3382,4.2453788392074046
R_C_log,P02,"{""lambda"":0.001}",3,3.014265710059178,15451.353188920177,3382,4.568702894417557
