task,comparison,episode,mse_difference,range_min,range_max
R_log,S05-S02,DELETE_P3,-1.630930209260368,,
R_log,S05-S02,DELETE_P4,-1.6804697495522207,,
R_log,S05-S02,DELETE_P5,-1.6567822767697515,,
R_log,S05-G05,P1,0.09538685244454981,,
R_log,S05-G05,P2,1.0209171452575294,,
R_log,S05-G05,P3,-0.006197018486631567,,
R_log,S05-G05,P4,-0.028125125724213218,,
R_log,S05-G05,P5,0.09599027381432057,,
R_log,S05-G05,MACRO,0.235594425461111,-0.028125125724213218,1.0209171452575294
R_log,S05-G05,DELETE_P1,0.2706463187152513,,
R_log,S05-G05,DELETE_P2,0.0392637455120064,,
R_log,S05-G05,DELETE_P3,0.29604228644804664,,
R_log,S05-G05,DELETE_P4,0.30152431325744206,,
R_log,S05-G05,DELETE_P5,0.2704954633728086,,
R_log,S02-B01,P1,6.981653526315393,,
R_log,S02-B01,P2,0.013994582586422055,,
R_log,S02-B01,P3,0.14403819533884565,,
R_log,S02-B01,P4,-0.1098791896656035,,
R_log,S02-B01,P5,-0.021980769007878376,,
R_log,S02-B01,MACRO,1.4015652691134357,-0.1098791896656035,6.981653526315393
R_log,S02-B01,DELETE_P1,0.006543204812946457,,
R_log,S02-B01,DELETE_P2,1.748457940745189,,
R_log,S02-B01,DELETE_P3,1.715947037557083,,
R_log,S02-B01,DELETE_P4,1.7794263838081954,,
R_log,S02-B01,DELETE_P5,1.7574517786437642,,
R_C_log,S02-G02,P1,0.632811698085076,,
R_C_log,S02-G02,P2,-0.22989671917170185,,
R_C_log,S02-G02,P3,0.4156900893068305,,
R_C_log,S02-G02,P4,0.49700705400473755,,
R_C_log,S02-G02,P5,0.2918298574154643,,
R_C_log,S02-G02,MACRO,0.3214883959280813,-0.22989671917170185,0.632811698085076
R_C_log,S02-G02,DELETE_P1,0.24365757038883262,,
R_C_log,S02-G02,DELETE_P2,0.4593346747030271,,
R_C_log,S02-G02,DELETE_P3,0.297937972583394,,
R_C_log,S02-G02,DELETE_P4,0.27760873140891723,,
R_C_log,S02-G02,DELETE_P5,0.32890303055623554,,
R_C_log,P00-G02,P1,0.4371193182567714,,
R_C_log,P00-G02,P2,0.13728392789834487,,
R_C_log,P00-G02,P3,0.1834581795362169,,
R_C_log,P00-G02,P4,0.5365996440919809,,
R_C_log,P00-G02,P5,0.3549904348554951,,
R_C_log,P00-G02,MACRO,0.32989030092776184,0.13728392789834487,0.5365996440919809
R_C_log,P00-G02,DELETE_P1,0.30308304659550944,,
R_C_log,P00-G02,DELETE_P2,0.3780418941851161,,
R_C_log,P00-G02,DELETE_P3,0.36649833127564807,,
R_C_log,P00-G02,DELETE_P4,0.27821296513670707,,
R_C_log,P00-G02,DELETE_P5,0.3236152674458285,,
R_C_log,P02-P00,P1,-0.04558829747799242,,
R_C_log,P02-P00,P2,-0.02726858590669856,,
R_C_log,P02-P00,P3,-0.05056050203803286,,
R_C_log,P02-P00,P4,0.03815185997601134,,
R_C_log,P02-P00,P5,0.0713791065241316,,
R_C_log,P02-P00,MACRO,-0.0027772837845161822,-0.05056050203803286,0.0713791065241316
R_C_log,P02-P00,DELETE_P1,0.007925469638852878,,
R_C_log,P02-P00,DELETE_P2,0.0033455417460294123,,
R_C_log,P02-P00,DELETE_P3,0.009168520778862987,,
R_C_log,P02-P00,DELETE_P4,-0.013009569724648062,,
R_C_log,P02-P00,DELETE_P5,-0.021316381361678127,,
R_C_log,S03-S02,P1,8.118775801240414,,
R_C_log,S03-S02,P2,-0.26722777013541954,,
R_C_log,S03-S02,P3,-0.08839615179128124,,
R_C_log,S03-S02,P4,-0.13201601747386738,,
R_C_log,S03-S02,P5,-0.052014742854720186,,
R_C_log,S03-S02,MACRO,1.5158242237970252,-0.26722777013541954,8.118775801240414
R_C_log,S03-S02,DELETE_P1,-0.13491367056382209,,
R_C_log,S03-S02,DELETE_P2,1.9615872222801363,,
R_C_log,S03-S02,DELETE_P3,1.916879317694102,,
R_C_log,S03-S02,DELETE_P4,1.9277842841147481,,
R_C_log,S03-S02,DELETE_P5,1.9077839654599615,,
R_C_log,S04-S02,P1,0.0004198731058049354,,
R_C_log,S04-S02,P2,-0.2881450111586634,,
R_C_log,S04-S02,P3,-0.025191953058754546,,
R_C_log,S04-S02,P4,-0.0993237179065325,,
R_C_log,S04-S02,P5,-0.04944163481841324,,
R_C_log,S04-S02,MACRO,-0.09233648876731175,-0.2881450111586634,0.0004198731058049354
R_C_log,S04-S02,DELETE_P1,-0.11552557923559093,,
R_C_log,S04-S02,DELETE_P2,-0.043384358169473836,,
