task,model,episode,summary,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process,mean_process_rmse,b00_mse,skill_vs_B00
R_C_log,B01,P5,process,494,2.3757447827202993,1.5413451212237639,1.2677550478136406,-0.21164873113081506,1.7801483863340175,1.21828658181301,0.5618618045210079,0.22233105949899465,-0.0027299159028463704,0.007591516561349822,1.7951072495779121,-0.012278607896701486,1173.6179226638278,155.950211565524,1017.6677110983037,,2.4785141694451442,0.04146411103546421
R_C_log,G02,P1,process,270,1.155758146085754,1.0750619266283008,0.8224861722551389,0.00952360406244046,1.7064488001878504,1.9055643967546163,-0.1991155965667657,0.35049769760022154,0.2373046272697736,0.2415102740823276,0.4162855494546469,0.6770504596593492,312.0546994431536,10.704695614957528,301.3500038281961,,1.7455025501506016,0.33786510596272956
R_C_log,G02,P2,process,2603,4.578312500058822,2.139699161110931,1.8575210677241163,-0.49096047398256326,2.9275269962016206,1.6595734499251997,1.2679535462764209,0.2773305455834506,0.1974410553607096,0.2068798477025284,1.7460201675452445,0.7119340386589271,11917.347437653114,4184.8592269254195,7732.488210727695,,4.558194116758813,-0.0044136740965114996
R_C_log,G02,P3,process,509,1.3373615302634894,1.156443483384938,0.8852049592184528,0.0330359045934816,1.780364889623482,1.6503088869041251,0.13005600271935683,0.3570175799868973,0.24190313076338912,0.2648609211029469,0.6621709718802631,0.6775664402079782,680.7170189041161,8.609512996258712,672.1075059078573,,1.9062553777095959,0.29843527477920817
R_C_log,G02,P4,process,576,1.706618820367264,1.3063762170091984,1.0170201905559546,0.022164256352179,1.582593810997146,1.8964727865147237,-0.3138789755175778,0.38482674503116326,0.2945540663881881,0.36674455528993233,0.13099571321625136,0.7654199459664247,983.0124405315441,56.74752649265139,926.2649140388927,,2.6685157369556047,0.36046139929672205
R_C_log,G02,P5,process,494,2.0532636941512763,1.4329213844978643,1.074857609087606,-0.047180811588153126,1.7801483863340175,1.9807282356262546,-0.20057984929223713,0.3707175207340023,0.14939872416817057,0.1572227304340448,0.9819172405804243,0.40299882204749476,1014.3122649107304,19.8747443153957,994.4375205953346,,2.4785141694451442,0.17157476061113952
R_C_log,G05,P1,process,270,1.019657814050905,1.0097810723374177,0.7608945924457059,0.12616060706893306,1.7064488001878504,1.8305190599994487,-0.12407025981159832,0.4038415107257835,0.37445461000781627,0.40677450131861065,0.009133683938198356,0.9272315996808923,275.30760979374435,4.156225929823727,271.1513838639206,,1.7455025501506016,0.4158371100844688
R_C_log,G05,P2,process,2603,4.495158346288806,2.1201788477128067,1.8344011548705708,-0.46388072428942406,2.9275269962016206,1.6241858798161473,1.3033411163854733,0.23805713590848082,0.3066149378920576,0.27273117364612526,0.8355936846270531,1.287988854952592,11700.89717538976,4421.7110649154065,7279.186110474353,,4.558194116758813,0.013829110576543346
R_C_log,G05,P3,process,509,1.1612623764186218,1.0776188456122238,0.760605467441793,0.1603624016895261,1.780364889623482,1.656956998527152,0.12340789109632985,0.49780529434802256,0.4210321187438874,0.4514283386580548,0.3789492685399609,0.84577669929227,591.0825495970785,7.751819360685397,583.330730236393,,1.9062553777095959,0.39081489815184056
R_C_log,G05,P4,process,576,1.3331012533559343,1.1546000404278247,0.8638848884242256,0.23617738192256799,1.582593810997146,1.7532276917961018,-0.1706338807989558,0.44988931212414973,0.5059691528311552,0.4785323132545434,-0.38917814719820765,1.1246525294015652,767.8663219330182,16.77077065527106,751.0955512777471,,2.6685157369556047,0.5004334301296598
R_C_log,G05,P5,process,494,1.8085998346002692,1.344841936660316,0.9793349962085797,0.07759970235202895,1.7801483863340175,1.7539366078719862,0.02621177846203121,0.3860745093263096,0.2939894091966264,0.2965038858001895,0.44455441506562954,0.7614836050938212,893.448318292533,0.339406321090446,893.1089119714425,,2.4785141694451442,0.2702886846900078
R_C_log,P00,P1,process,270,1.5928774643425254,1.2620924943689846,0.994995284317364,-0.3650844992054951,1.7064488001878504,2.4123586044973684,-0.7059098043095179,0.344746282870741,0.2622398415439845,0.27177584724242815,-0.1285718211304956,0.760674892156295,430.07691537248184,134.54333599148148,295.53357938100044,,1.7455025501506016,0.08743905060173518
R_C_log,P00,P2,process,2603,4.715596427957167,2.171542407588939,1.886830800223272,-0.5356679748809565,2.9275269962016206,1.6059042997355293,1.321622696466091,0.2776339622539402,0.19852346221506867,0.20769887764836983,1.7792176215799347,0.7150546734390069,12274.697501972507,4546.625094372627,7728.0724075998805,,4.558194116758813,-0.034531726198242296
R_C_log,P00,P3,process,509,1.5208197097997063,1.2332151920081533,0.9271998985594303,-0.0996114526138201,1.780364889623482,2.226842064750149,-0.44647717512666674,0.35035269295896904,0.2387129287919956,0.26974423974709855,0.2631052769052282,0.681350346634704,774.0972322880505,101.4650107657259,672.6322215223246,,1.9062553777095959,0.2021951898034765
R_C_log,P00,P4,process,576,2.243218464459245,1.4977377822767393,1.1920784494030296,-0.28528946779515096,1.582593810997146,2.4079173951446853,-0.8253235841475388,0.34806435531083296,0.32485480806721895,0.38093312661312656,-0.6647593905189728,0.9333182301218774,1292.0938355285252,392.3475946848804,899.7462408436447,,2.6685157369556047,0.1593759656750472
R_C_log,P00,P5,process,494,2.4082541290067714,1.5518550605667951,1.1621467470688132,-0.22822875625152417,1.7801483863340175,2.4271737749474234,-0.6470253886134059,0.3326733876434673,0.144215775130577,0.15592818630467317,0.7279549728175971,0.4335055958402536,1189.677539729345,206.80907563410247,982.8684640952425,,2.4785141694451442,0.02834764525639233
R_C_log,P02,P1,process,270,1.547289166864533,1.243900786584096,0.9696697879991244,-0.32601565704690305,1.7064488001878504,2.3259653714910375,-0.619516571303187,0.38616598026116267,0.19683635711449304,0.20037428896545537,0.5208587329604826,0.5097195692416335,417.7680750534239,103.62621117219935,314.14186388122454,,1.7455025501506016,0.11355662772819597
R_C_log,P02,P2,process,2603,4.688327842050469,2.1652546829531323,1.8774957704123245,-0.5267877632816469,2.9275269962016206,1.6163589512911714,1.3111680449104492,0.30574236531602467,0.20695204264757028,0.20580075000616824,1.8334398674007626,0.6768837626858101,12203.717372857369,4474.977754111136,7728.739618746232,,4.558194116758813,-0.028549403987250477
R_C_log,P02,P3,process,509,1.4702592077616734,1.2125424560656313,0.9318580008751455,-0.06305425472068671,1.780364889623482,1.9019155984526253,-0.1215507088291432,0.3841810121883837,0.12393036255733227,0.12715894433342775,1.1668387595134884,0.3225832579580034,748.3619367506917,7.520258581785381,740.8416781689064,,1.9062553777095959,0.22871865703103256
R_C_log,P02,P4,process,576,2.2813703244352563,1.510420578658559,1.2039449701527756,-0.3071492128805602,1.582593810997146,2.3528380649946214,-0.7702442539974754,0.41269982512043474,0.24606194336595086,0.279834650138339,0.17977299194540164,0.596224976092841,1314.0693068747075,341.72709743008943,972.342209444618,,2.6685157369556047,0.14507893176677533
R_C_log,P02,P5,process,494,2.479633235530903,1.574685122661322,1.1826531817964612,-0.26463266818611575,1.7801483863340175,2.437232819211433,-0.6570844328774157,0.4035007508306006,0.14669265959755645,0.15583973980854135,0.894092626654222,0.3635499049149022,1224.938818352266,213.2894162533385,1011.6494020989276,,2.4785141694451442,-0.00045150683403560876
R_C_log,S01,P1,process,270,1.815310485248784,1.3473345854867618,1.0634344533489448,-0.5557079939486491,1.7064488001878504,2.4602172865282577,-0.7537684863404073,0.2976643216048583,0.03327744585302989,0.005335208919775167,1.431408287782026,0.11179521171235596,490.1338310171717,153.40507136997536,336.7287596471964,,1.7455025501506016,-0.039993029567421345
R_C_log,S01,P2,process,2603,4.533216170515983,2.129135075685895,1.8585779758571586,-0.47627452913515467,2.9275269962016206,1.7292479640621345,1.1982790321394858,0.11416778701963949,0.01910360029647015,0.013475101583960898,2.6381733809542216,0.16732916346345464,11799.961691853105,3737.576478965967,8062.385212887137,,4.558194116758813,0.005479789935008417
R_C_log,S01,P3,process,509,1.814570364799911,1.3470598965153373,1.078377985967193,-0.3120045340354023,1.780364889623482,1.3344502729152157,0.44591461670826615,0.337421862461943,-0.08058476711814222,-0.13881008225593902,2.099064939729876,-0.2388249727808647,923.6163156831547,101.20948130558668,822.406834377568,,1.9062553777095959,0.04809692026670964
R_C_log,S01,P4,process,576,2.2758771150118378,1.5086010456750445,1.1803775197294124,-0.30400178683705414,1.582593810997146,2.115881940485115,-0.533288129487969,0.3909790334882626,0.015106161663844304,0.016717949955120857,1.5008429959485525,0.03863675637301868,1310.9052182468185,163.81222793439943,1147.092990312419,,2.6685157369556047,0.1471374579157294
R_C_log,S01,P5,process,494,2.3852141202334463,1.5444138435773769,1.260331354329415,-0.21647816856277546,1.7801483863340175,1.1819775612106855,0.598170825123332,0.25759492099777576,0.06281581815630738,0.07036752463861909,1.491917208241468,0.24385503375996212,1178.2957753953224,176.75731799819152,1001.5384573971311,,2.4785141694451442,0.03764354078015408
R_C_log,S02,P1,process,270,1.78856984417083,1.3373742348986801,1.0517374802923605,-0.5327914573967303,1.7064488001878504,2.446954692354019,-0.7405058921661681,0.2920232153373236,0.038382597306265365,0.005905009232407154,1.3848289026916503,0.13143680122119278,482.9138579261241,148.0542236098594,334.85963431626465,,1.7455025501506016,-0.02467329195051171
R_C_log,S02,P2,process,2603,4.34841578088712,2.0852855394135164,1.8195366411269114,-0.4160929498939665,2.9275269962016206,1.7845617615201423,1.1429652346814783,0.09607435519024346,0.09662301163385029,0.09935189113030304,1.1327740519508356,1.005710748123372,11318.926277649174,3400.479880578337,7918.4463970708375,,4.558194116758813,0.046022247078160605
R_C_log,S02,P3,process,509,1.7530516195703199,1.324028556931579,1.058903837345594,-0.267524102614771,1.780364889623482,1.3712000956496408,0.4091647939738409,0.3265413494796918,-0.061013302809337804,-0.11859932492295824,2.036569645258166,-0.18684709580136133,892.3032743612928,85.21465677147675,807.0886175898161,,1.9062553777095959,0.08036895786930365
R_C_log,S02,P4,process,576,2.2036258743720016,1.484461476216881,1.158810230210416,-0.26260423234077357,1.582593810997146,2.0787762344048883,-0.49618242340774266,0.37931698215305476,0.029447429600198128,0.028787751568174234,1.4212126451190974,0.07763277413273333,1269.288503638273,141.8094704440975,1127.4790331941754,,2.6685157369556047,0.1742128990080366
R_C_log,S02,P5,process,494,2.3450935515667406,1.5313698284760415,1.243927528614196,-0.19601635950363971,1.7801483863340175,1.215958555016364,0.5641898313176532,0.26699986447215973,0.07043689693037733,0.07619508857030494,1.459367896124335,0.26380873664346677,1158.4762144739698,157.24522188654754,1001.2309925874222,,2.4785141694451442,0.05383088768391908
R_C_log,S03,P1,process,270,9.907345645411244,3.1475936277434613,2.9563044613344975,-7.490523766939132,1.7064488001878504,-1.242631915139577,2.9490807153274274,0.37000587868933926,0.13474502895961474,0.11605481798284185,2.158978024817297,0.36416996788515343,2674.9833242610357,2348.2108076893555,326.7725165716805,,1.7455025501506016,-4.675927339410899
R_C_log,S03,P2,process,2603,4.081188010751701,2.0201950427500064,1.7615640255345675,-0.329068299912715,2.9275269962016206,1.8807139515026872,1.0468130446989334,0.11749827283421656,0.1770171981032504,0.1616850166106555,0.09413458882191739,1.5065514907866917,10623.332391986678,2852.4130840864686,7770.91930790021,,4.558194116758813,0.1046480456488974
R_C_log,S03,P3,process,509,1.6646554677790386,1.2902152796254733,1.0312118643452655,-0.20361026703626983,1.780364889623482,1.4117553876016014,0.36860950202188053,0.3287753461336017,0.0041432066371676944,-0.0422683116349814,1.762574035288585,0.012601938332334927,847.3096330995306,69.15933917523674,778.1502939242938,,1.9062553777095959,0.12674057880998313
R_C_log,S03,P4,process,576,2.0716098568981343,1.4393088122074895,1.1201229508398785,-0.18696345123641267,1.582593810997146,2.0243832378872395,-0.44178942689009354,0.36399390492514355,0.078790531420407,0.08471927809395444,1.1443935308454716,0.21646112848128743,1193.2472775733254,112.42246908204132,1080.824808491284,,2.6685157369556047,0.22368460181481065
R_C_log,S03,P5,process,494,2.2930788087120204,1.5142915203856953,1.2179078416261457,-0.1694884270260384,1.7801483863340175,1.2820786922146514,0.4980696941193659,0.3044898115234187,0.08168587814277115,0.07738988774849578,1.436203466477037,0.26827130186747994,1132.780931503738,122.5482695788784,1010.2326619248595,,2.4785141694451442,0.07481714771662429
R_C_log,S04,P1,process,270,1.788989717276635,1.3375312023562795,1.047897380316033,-0.5331512856203058,1.7064488001878504,2.437634912101647,-0.7311861119137967,0.305028881753141,0.029616982278274074,-0.002136827389640237,1.4697650160895164,0.0970956655253486,483.0272236646914,144.35094516901611,338.6762784956753,,1.7455025501506016,-0.024913837635058833
R_C_log,S04,P2,process,2603,4.060270769728457,2.0150113572207125,1.756072817809618,-0.3222564495661031,2.9275269962016206,1.8848778824731485,1.0426491137284721,0.11209746656850007,0.19776066060872924,0.19401620906025163,-0.3977461488153651,1.7641849246243446,10568.884813603174,2829.766004855874,7739.118808747301,,4.558194116758813,0.10923697724931758
R_C_log,S04,P3,process,509,1.7278596665115653,1.314480759277809,1.0517859189303769,-0.2493093465075107,1.780364889623482,1.390430694387735,0.389934195235747,0.33238596322657415,-0.04346129049708197,-0.09879987202687607,1.9621713405885972,-0.13075549302741207,879.4805702543867,77.39277639660219,802.0877938577846,,1.9062553777095959,0.09358437137230613
R_C_log,S04,P4,process,576,2.104302156465469,1.450621300155719,1.130861274077745,-0.20569505004305344,1.582593810997146,2.0277296138883867,-0.4451358028912407,0.3694261505473906,0.059973586259003384,0.06464425349546495,1.2534069986172507,0.1623425579649373,1212.0780421241102,114.1320286170026,1097.9460135071076,,2.6685157369556047,0.21143348441850396
R_C_log,S04,P5,process,494,2.2956519167483274,1.515140890065451,1.219701443173261,-0.1708007325859331,1.7801483863340175,1.2721405134774524,0.5080078728565651,0.2954076441643417,0.08138536056267827,0.07804126607988439,1.4296712865669066,0.2755018773901526,1134.0520468736738,127.4875674488205,1006.5644794248534,,2.4785141694451442,0.0737789821624274
R_C_log,S05,P1,process,270,1.0270026527600082,1.0134113936403164,0.765693508818202,0.11986613326576456,1.7064488001878504,1.747073464111974,-0.04062466392412359,0.4790272777229296,0.366104011025961,0.35812403757897904,0.3712208653428408,0.7642654772526679,277.29071624520225,0.4455980961159569,276.84511814908626,,1.7455025501506016,0.4116292453016476
R_C_log,S05,P2,process,2603,5.62841072881651,2.3724271809302198,2.068508525826454,-0.8329325330887725,2.9275269962016206,1.2899205183437035,1.6376064778579171,0.21175337637139657,0.20127141184454017,0.1771908559845206,1.7014585936892528,0.9504991858619911,14650.753127109376,6980.608203366721,7670.144923742655,,4.558194116758813,-0.23478960848176733
R_C_log,S05,P3,process,509,1.2225598992462765,1.105694306418495,0.8018138576224227,0.11604192261904933,1.780364889623482,1.7732799086265376,0.007084980996944285,0.47793704050919694,0.36040524425827974,0.338016894125163,0.44316077184690905,0.7540851905395356,622.2829887163548,0.025550250465074375,622.2574384658898,,1.9062553777095959,0.35865891131795424
