task,model,config,validation_group,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
R_log,S01,"{""lambda"":0.001}",P1,3110,270,ok,270,9.035035275694263,3.0058335409157744,2.7788870186439083,-6.74296007114137,1.7064488001878504,-1.0627380752871025,2.769186875474953,0.4626662873802293,0.04631853429131721,0.043146450848675154,1.8128418340559531,0.10011218788727444,2439.459524437451,2070.466906851738,368.99261758571276
R_log,S01,"{""lambda"":0.001}",P2,777,2603,ok,2603,23.15062624619331,4.811509767858038,4.4945382546396075,-6.539168346541236,2.9275269962016206,-1.5364508632837888,4.46397785948541,0.18149906321865947,-0.04634513366978233,-0.016599104648009427,2.5351997887043916,-0.25534640701670425,60261.08011884118,51870.23695292737,8390.843165913811
R_log,S01,"{""lambda"":0.001}",P3,2873,509,ok,509,6.400592643103009,2.529939256801042,2.218322338070985,-3.6278759596025774,1.780364889623482,-0.37526797715999954,2.1556328667834816,0.44420269998925266,-0.07966835261622483,-0.10521748900459542,1.7130600724067393,-0.1793513470722992,3257.9016553394313,2365.1973056858005,892.7043496536317
R_log,S01,"{""lambda"":0.1}",P1,3110,270,ok,270,2.258819792932365,1.5029370555456956,1.2151530746508026,-0.9357922720711429,1.7064488001878504,2.6907586563795367,-0.9843098561916863,0.346182609463646,0.0207422463270621,-0.0023955091700975095,1.5452264356566823,0.0599170661957827,609.8813440917386,261.5937911089465,348.28755298279214
R_log,S01,"{""lambda"":0.1}",P2,777,2603,ok,2603,5.734866824469818,2.394758197495066,2.1009393639147067,-0.8676007281566169,2.9275269962016206,1.3422454117427385,1.5852815844588821,0.14943849061356806,-0.0898495663242223,-0.06906156775830075,3.734549120492352,-0.6012478174486093,14927.858344094937,6541.645378369679,8386.212965725257
R_log,S01,"{""lambda"":0.1}",P3,2873,509,ok,509,11.729383914239985,3.4248188148046586,3.2019064620567086,-7.4807980861197905,1.780364889623482,4.960995484172166,-3.180630594548684,0.32716183064126264,-0.09048569965840089,-0.11349063393761642,3.1524661109291845,-0.27657780090373596,5970.2564123481525,5149.253188300369,821.0032240477826
R_log,S02,"{""lambda"":0}",P1,3110,270,ok,270,134.6127780088877,11.602274691149477,11.539633767029597,-114.36217993439352,1.7064488001878504,-9.833184966841745,11.539633767029597,0.5240445645486975,0.030817793737036123,0.02878833441534237,2.284714632116145,0.058807582068094055,36345.45006239967,35954.04981883582,391.40024356385345
R_log,S02,"{""lambda"":0}",P2,777,2603,ok,2603,58.984625455430304,7.680144885054598,7.478719745117923,-18.208768542029933,2.9275269962016206,-4.551192748916302,7.478719745117923,0.13999229773189725,0.090161371783026,0.12702238724946388,5.858700983195608,0.6440452313719164,153536.98006048508,145589.04121472142,7947.938845763644
R_log,S02,"{""lambda"":0}",P3,2873,509,ok,509,289232.4857302927,537.8033894745297,537.7995652297442,-209125.27034461554,1.780364889623482,-536.0192003401208,537.7995652297442,1.2962662293723162,-0.11333269334741213,-0.14863787015220808,-45.08385041118544,-0.0874301056213511,147219335.23671898,147217241.53190264,2093.7048162945534
R_log,S02,"{""lambda"":0.001}",P1,3110,270,ok,270,8.498651694557257,2.9152447057763875,2.6871495295729884,-6.283283210472942,1.7064488001878504,-0.9704563505662088,2.6769051507540595,0.43718139975198717,0.05592809173823104,0.04562229303389461,1.830598116314306,0.12792879973841298,2294.6359575304596,1934.771720256076,359.86423727438427
