outer_group,inner_validation_group,task,model,config,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
P1,P3,E_log,B01,"{""lambda"":0.001}",3673,509,ok,509,4.897087101903822,2.2129363076925244,1.6113048696838403,-0.246921991289484,2.139311737452243,1.2098849890757069,0.9294267483765362,0.344962653099677,0.13339299521822182,0.1683655403376661,1.67146346137889,0.38668822268037767,2492.6173348690454,439.69154702427056,2052.925787844775
P1,P4,E_log,B01,"{""lambda"":0.001}",3604,576,ok,576,5.624953015743205,2.3716983399545577,2.0588460640182498,-0.1715228146464458,2.2801567263537543,3.1563291835550733,-0.8761724572013188,0.44702701642208986,0.21049797386506638,0.2042394452994601,0.7938910789053133,0.4708842332390733,3239.9729370680857,442.1826286607213,2797.790308407364
P1,P5,E_log,B01,"{""lambda"":0.001}",3687,494,ok,494,16.68963540381267,4.085295020413173,3.476751566575092,-2.492410663831762,2.866812264339182,-0.6091526064544466,3.4759648707936286,0.17629600108299506,0.18994520906159854,0.1867515246787757,3.5231267494813414,1.0774221076754755,8244.67988948346,5968.671900797735,2276.0079886857256
P1,P2,E_log,B01,"{""lambda"":0.1}",1579,2603,ok,2603,11.518888267743275,3.3939487721153476,2.6264305615510573,-1.1923105451532408,3.1054919247043675,0.5699223968080117,2.5355695278963557,0.14084642145413379,0.18153058115540338,0.16972542308748773,2.3709447289864443,1.288854763090436,29983.666160935747,16734.980698563413,13248.685462372334
P1,P3,E_log,B01,"{""lambda"":0.1}",3673,509,ok,509,4.3498303987690035,2.085624702282029,1.5646436070379965,-0.10757662049669237,2.139311737452243,1.5000912920849092,0.6392204453673339,0.2947974707557309,0.1414013313380784,0.1783670754301611,1.4197841740518682,0.4796558497452085,2214.063672973423,207.97881388778688,2006.0848590856358
P1,P4,E_log,B01,"{""lambda"":0.1}",3604,576,ok,576,5.311897131452025,2.3047553300626133,2.015164855878307,-0.10632189480232213,2.2801567263537543,3.0396209412858166,-0.7594642149320625,0.36354412725752,0.20076112499599535,0.19069900390132316,0.601577225324821,0.55223316770507,3059.652747716367,332.2286748071274,2727.42407290924
P1,P5,E_log,B01,"{""lambda"":0.1}",3687,494,ok,494,5.026380809633604,2.241959145397972,1.8850235003814593,-0.051801643074452786,2.866812264339182,2.1742565808969094,0.6925556834422721,0.14984326722908092,0.23697310032042504,0.2348170034835224,-0.5717160886199548,1.5814731265712434,2483.0321199590003,236.9388870860872,2246.093232872913
P1,P2,E_log,G02,"{""lambda"":0}",56997,2603,ok,2603,5.19292278808417,2.278798540477892,1.908767069766659,0.011666827226384013,3.1054919247043675,2.9241042106389434,0.18138771406542356,0.4139306473574078,0.22862202319153432,0.2546218922950539,1.490451760543892,0.5523196328928286,13517.178017383094,85.64261182452927,13431.535405558563
P1,P3,E_log,G02,"{""lambda"":0}",59235,509,ok,509,3.7927322098863367,1.9474938279456335,1.665072043303933,0.034274640992056904,2.139311737452243,2.2814929733688674,-0.14218123591662388,0.1684817320813327,0.20123283328854774,0.22117263320198804,-0.5856798060659556,1.1943896278998651,1930.5006948321454,10.289691458010337,1920.211003374135
P1,P4,E_log,G02,"{""lambda"":0}",59129,576,ok,576,4.337440469238653,2.0826522679599333,1.8417321945118548,0.09663059359572646,2.2801567263537543,2.684793291735539,-0.4046365653817839,0.283677301211578,0.3722610345885211,0.3678822444256792,-1.2430152869486673,1.3122693743863338,2498.365710281464,94.3089120253248,2404.0567982561397
