Incident Reference,Restoration Stage,Number of Customers Restored,source_order
FREP-15436-W,1,3,51057
FREP-15445-W,1,1,31095
FREP-15446-W,1,1,47069
FREP-15447-O,1,1,26912
FREP-15448-W,2,2,51046
FREP-15451-O,1,0,26914
FREP-15453-O,1,0,122848
FREP-15455-O,1,10,26916
FREP-15461-O,1,0,126101
FREP-15462-O,1,0,162
FREP-15463-W,1,0,51047
FREP-154830-Z,1,0,132382
FREP-15491-W,1,2,26901
FREP-15493-O,1,0,26902
FREP-15497-O,1,0,31097
FREP-15498-W,1,1,87708
FREP-15499-O,1,1,51061
FREP-15514-O,1,0,31098
FREP-15516-W,1,0,31096
FREP-15520-O,1,0,126103
FREP-15521-O,1,0,31099
FREP-15521-W,1,0,132383
FREP-15527-O,1,0,87723
FREP-15536-W,1,4,87710
FREP-15540-W,1,30,165
FREP-15541-W,1,1,166
FREP-15544-W,1,5,126109
FREP-15548-O,1,1,47074
FREP-15550-O,1,0,51062
FREP-155515-Z,1,0,87711
FREP-15557-W,1,109,47076
FREP-15568-O,1,0,87724
FREP-155756-Z,1,0,87725
FREP-15576-O,1,0,31110
FREP-15592-O,1,0,81458
FREP-155984-J,2,22,51064
FREP-15637-O,1,1,170
FREP-15638-O,1,2,172
FREP-15649-O,1,0,81459
FREP-15655-O,1,0,51065
FREP-156575-Z,1,0,81477
FREP-15659-W,1,78,175
FREP-15679-O,1,0,87712
FREP-15704-O,1,0,122854
FREP-157059-J,1,0,47079
