Incident Reference,Restoration Stage,Number of Customers Restored,source_order
FREP-299791-G,1,49,102798
FREP-299795-G,1,2,121464
FREP-299799-Z,1,1,35412
FREP-299801-J,1,1,121472
FREP-299802-J,1,5,102789
FREP-299806-Z,1,1,102800
FREP-299807-J,1,7,53790
FREP-299809-Z,1,1,32876
FREP-299811-G,1,22,102801
FREP-299823-Z,1,1,118079
FREP-299825-G,2,507,102792
FREP-299827-G,1,1,26269
FREP-299833-Z,1,0,121478
FREP-299840-Z,1,1,18017
FREP-299842-G,1,19,102809
FREP-299844-Z,2,223,18006
FREP-299847-G,1,1,32889
FREP-299851-G,1,1,121480
FREP-299851-J,1,0,35419
FREP-299858-Z,1,1,32890
FREP-299859-Z,1,15,102822
FREP-299863-J,1,12,53801
FREP-299866-J,1,14,53795
FREP-299870-Z,1,4,104733
FREP-299872-J,1,11,121484
FREP-299873-J,1,0,35414
FREP-299876-G,1,1,104721
FREP-299878-Z,1,0,118116
FREP-299882-J,1,16,104734
FREP-299894-G,1,1,9439
FREP-299896-Z,1,1,104723
FREP-299898-Z,2,313,53803
FREP-299901-G,3,26,9423
FREP-299904-G,1,1,50266
FREP-299904-J,1,0,79823
FREP-299911-G,1,7,35415
FREP-299913-G,1,17,32884
FREP-299917-G,1,1,9440
FREP-299923-G,1,19,102823
FREP-299927-Z,1,1,32885
FREP-299929-G,4,30,9428
FREP-299929-J,2,22,102815
FREP-299930-Z,2,99,53805
FREP-299939-Z,1,1,104727
FREP-299940-J,3,0,32895
FREP-299952-G,1,22,104722
FREP-299960-Z,3,2,114491
FREP-299961-Z,1,3,102811
FREP-299962-Z,1,10,104738
FREP-299964-G,1,11,18038
FREP-299966-J,1,1,114492
FREP-299966-Z,3,29,104717
FREP-299967-Z,1,23,118091
FREP-299969-J,1,0,104728
FREP-299971-Z,1,12,102825
FREP-299973-Z,1,3,32897
FREP-299978-Z,1,1,118095
FREP-299981-J,1,0,26276
FREP-299983-Z,1,1,118118
FREP-299984-J,1,1,53794
FREP-299987-Z,1,1,104741
FREP-299990-Z,1,1,35422
FREP-299991-G,1,1,12334
FREP-299992-Z,1,1,118123
FREP-299994-J,1,32,26277
FREP-299998-G,1,1,32898
FREP-300001-G,1,1,35423
FREP-300002-Z,1,0,32894
FREP-300003-Z,1,1,18024
FREP-300005-G,1,1,76021
FREP-300005-J,1,1,50272
FREP-300008-J,1,2,118102
FREP-300012-J,1,2,12336
FREP-300013-J,1,1,18025
FREP-300013-Z,7,58,12337
FREP-300014-G,3,30,18027
FREP-300016-J,1,0,35425
FREP-300016-Z,1,0,121493
FREP-300019-G,1,2,104730
FREP-300021-J,1,0,9432
FREP-300021-Z,1,0,26278
FREP-300023-Z,2,1890,12340
FREP-300024-G,1,1,50274
FREP-300028-Z,1,6,118128
FREP-300032-J,1,14,35413
FREP-300033-J,1,2,9433
FREP-300034-G,1,4,102816
FREP-300036-J,1,0,118105
FREP-300040-Z,1,8,50273
FREP-300043-G,1,1,12341
FREP-300044-J,1,1,32891
FREP-300047-J,1,2,12338
FREP-300049-Z,1,29,104740
FREP-300052-G,1,0,12342
FREP-300052-Z,2,1,18028
FREP-300053-Z,1,17,18036
FREP-300057-Z,1,1,18041
FREP-300059-Z,1,2,104745
FREP-300060-Z,1,32,79830
FREP-300062-Z,1,33,18044
FREP-300063-Z,1,14,114490
FREP-300067-Z,1,16,50276
FREP-300071-G,1,78,118085
FREP-300071-Z,1,1,32908
FREP-300075-Z,1,12,53808
FREP-300084-J,1,1,12344
FREP-300084-Z,1,3,12346
FREP-300090-Z,1,88,26279
FREP-300097-G,1,0,18029
FREP-300103-Z,1,1,102832
FREP-300104-Z,1,1,118136
FREP-300110-J,1,1,32887
FREP-300110-Z,1,1,35427
FREP-300112-J,1,28,102813
FREP-300116-Z,1,1,104732
FREP-300118-Z,1,1,50278
FREP-300123-G,1,1,102829
FREP-300128-G,1,1,114497
FREP-300131-J,1,0,118100
FREP-300132-J,1,3,9436
FREP-300133-G,1,2,50270
FREP-300134-Z,1,1,9449
FREP-300141-Z,1,0,114498
FREP-300145-Z,1,1,102834
FREP-300147-G,2,18,50271
FREP-300148-Z,1,35,32909
FREP-300150-Z,1,15,104749
FREP-300151-Z,1,7,102836
FREP-300154-Z,1,1,104731
FREP-300157-G,1,109,18030
FREP-300166-G,1,28,35437
FREP-300171-Z,2,296,50281
FREP-300173-Z,1,2,18052
FREP-300176-J,2,0,12365
FREP-300177-J,2,0,12366
FREP-300180-J,1,2,50282
FREP-300181-G,1,1,118157
FREP-300185-J,1,7,53809
FREP-300186-G,2,222,118159
FREP-300187-Z,1,1,94415
FREP-300198-Z,1,1,102838
FREP-300199-Z,1,1,118162
FREP-300200-G,1,4,121494
FREP-300200-Z,1,1,35440
FREP-300201-Z,1,0,32924
FREP-300202-Z,2,5,53815
FREP-300204-Z,1,0,102839
FREP-300210-J,1,1,104753
FREP-300211-J,1,22,12349
FREP-300212-Z,1,1,32925
FREP-300215-Z,1,21,79845
FREP-300220-Z,2,114,9450
FREP-300221-Z,1,1,27829
FREP-300230-Z,1,22,102842
FREP-300233-G,1,1,12370
FREP-300233-Z,3,197,12371
FREP-300235-Z,1,1,27831
FREP-300239-Z,2,79,32913
FREP-300241-G,2,111,35442
FREP-300243-J,1,0,121506
FREP-300245-G,1,0,102861
FREP-300245-Z,1,1,94417
FREP-300246-Z,1,48,94418
FREP-300248-G,1,1,35444
FREP-300250-Z,1,5,94411
FREP-300255-Z,1,1,27838
FREP-300259-J,1,1,102837
FREP-300265-Z,1,8,50284
FREP-300275-J,1,1,121502
FREP-300277-Z,1,1,35446
FREP-300278-G,1,10,102865
FREP-300285-Z,1,1,18058
FREP-300289-Z,1,1,102866
FREP-300290-Z,1,1,102844
FREP-300291-Z,1,1,32928
FREP-300294-Z,1,2,12373
FREP-300296-Z,1,0,12374
FREP-300301-J,1,40,118171
FREP-300302-G,1,25,27839
FREP-300303-Z,1,6,35449
FREP-300305-G,2,0,118177
FREP-300308-G,1,79,32923
FREP-300308-Z,1,2,102870
FREP-300310-Z,1,84,18060
FREP-300311-Z,1,1,32931
FREP-300312-G,1,1,32932
FREP-300313-Z,1,1,32933
FREP-300316-Z,1,1,32934
FREP-300317-Z,1,2,35432
FREP-300320-Z,1,7,35434
FREP-300321-Z,1,1,18056
FREP-300328-J,1,1,79832
FREP-300333-G,1,2,53813
FREP-300333-J,1,5,32917
FREP-300334-Z,1,1,102848
FREP-300335-Z,1,0,118147
FREP-300343-G,1,1,35451
FREP-300343-Z,4,91,50287
FREP-300347-J,1,2,104755
FREP-300349-G,1,0,94419
FREP-300350-G,1,38,27832
FREP-300353-G,3,133,35452
FREP-300353-J,3,0,121507
FREP-300362-Z,1,0,18064
FREP-300363-J,1,0,32915
FREP-300364-G,1,223,102850
FREP-300368-J,1,1,118188
FREP-300371-J,1,2,94420
FREP-300374-J,1,1,94410
FREP-300375-J,2,13,102852
FREP-300378-Z,1,0,18065
FREP-300389-G,1,1,104759
FREP-300391-Z,1,1,102871
FREP-300401-G,1,1,32918
FREP-300414-Z,1,7711,102875
FREP-300415-G,1,1,102854
FREP-300415-J,1,1,35455
FREP-300421-G,1,1,12377
FREP-300423-G,1,1,32937
FREP-300425-G,1,1,118186
FREP-300426-G,1,1,121520
FREP-300427-G,1,52,114502
FREP-300433-J,1,1,35454
FREP-300434-G,1,3,32935
FREP-300434-Z,1,1,53817
FREP-300452-G,1,1,12378
FREP-300453-G,1,1,18066
FREP-300458-Z,1,1,118191
FREP-300460-J,1,2,114503
FREP-300470-G,1,207,32920
FREP-300471-G,1,1,32938
FREP-300473-Z,1,1,50289
FREP-300476-Z,1,35,102855
FREP-300479-G,1,1,27840
FREP-300479-Z,1,1,118192
FREP-300480-G,1,33,12356
FREP-300481-J,1,0,104760
FREP-300496-J,1,4,79835
FREP-300498-Z,1,19,102877
FREP-300499-Z,1,1,118181
FREP-300500-Z,1,1,32940
FREP-300503-G,1,12,53818
FREP-300510-Z,1,1,35447
FREP-300512-J,1,1,12354
FREP-300513-G,2,0,18067
FREP-300516-Z,1,1,53819
FREP-300518-J,1,2,53820
FREP-300521-G,1,4,27841
FREP-300522-Z,2,251,35450
FREP-300526-G,1,276,118200
FREP-300531-Z,1,1,102884
FREP-300536-Z,1,0,94426
FREP-300538-J,1,43,12380
FREP-300544-G,1,1,50292
FREP-300547-J,1,1,118211
FREP-300548-G,1,269,104770
FREP-300549-G,3,163,12388
FREP-300550-G,1,1,53823
FREP-300553-J,1,1,118234
FREP-300554-G,1,1,94423
FREP-300554-Z,2,91,35471
FREP-300556-Z,1,0,32952
FREP-300562-G,2,2,35460
FREP-300564-J,2,132,94429
FREP-300566-J,1,0,102888
FREP-300568-Z,1,12,32954
FREP-300570-Z,1,0,12390
FREP-300571-J,1,1,18072
FREP-300573-G,1,44,32945
FREP-300573-Z,1,0,104773
FREP-300575-J,1,13,114508
FREP-300581-G,1,1,118237
FREP-300582-Z,1,0,94424
FREP-300586-J,1,6,35458
FREP-300587-J,1,1,118239
FREP-300595-G,1,1,114510
FREP-300597-J,1,20,114504
FREP-300598-Z,1,18,121523
FREP-300601-G,1,1,35461
FREP-300602-G,1,12,121534
FREP-300606-J,1,3,94422
FREP-300609-J,3,0,104762
FREP-300618-G,1,13,35475
FREP-300621-J,1,8,118241
FREP-300626-J,1,2,121537
FREP-300627-J,1,31,53828
FREP-300627-Z,2,0,118243
FREP-300636-Z,1,12,104776
FREP-300637-J,1,0,118216
FREP-300649-G,1,1,50294
FREP-300654-Z,1,1,102891
FREP-300657-J,1,0,102887
FREP-300659-J,1,1,32948
FREP-300668-G,3,9,18074
FREP-300673-G,1,148,65495
FREP-300674-Z,1,0,118244
FREP-300683-J,1,1,27845
FREP-300694-J,1,0,32949
FREP-300697-J,1,0,35473
FREP-300697-Z,1,1,114512
FREP-300704-G,1,1,104778
FREP-300706-G,1,1,9451
FREP-300708-G,1,1,65494
FREP-300717-G,1,5,18075
FREP-300724-Z,1,0,118251
FREP-300727-J,1,1,102880
FREP-300728-Z,1,0,118218
FREP-300729-Z,1,13,102881
FREP-300731-Z,1,20,114505
FREP-300733-Z,1,2,102895
FREP-300744-Z,1,5,114513
FREP-300749-G,2,15,53830
FREP-300749-Z,1,2,12383
FREP-300753-G,3,1,102898
FREP-300754-Z,1,2,104764
FREP-300761-Z,1,1,9455
FREP-300763-Z,1,1,118255
FREP-300775-G,1,1,102901
FREP-300779-G,1,2,35462
FREP-300779-J,1,0,32957
FREP-300797-G,2,0,50295
FREP-300803-G,1,774,118253
FREP-300803-J,1,283,53825
FREP-300804-G,1,1,32956
FREP-300826-G,2,37,35469
FREP-300849-Z,1,1,12401
FREP-300850-J,1,25,35479
FREP-300851-Z,1,1,32960
FREP-300855-J,1,20,18069
FREP-300857-G,1,1,53826
FREP-300861-J,1,45,35480
FREP-300861-Z,1,1,118203
FREP-300864-G,1,0,121543
FREP-300865-J,1,1,32942
FREP-300865-Z,1,1,32950
FREP-300867-J,1,1,32947
FREP-300869-Z,3,109,12402
FREP-300871-Z,1,1,104781
FREP-300878-Z,1,4,118226
FREP-300883-G,3,143,102903
FREP-300895-G,1,1,53831
FREP-300896-J,1,0,35467
FREP-300905-Z,1,11,12384
FREP-300906-J,1,0,104765
FREP-300909-G,1,0,35470
FREP-300910-J,1,1,12394
FREP-300914-Z,1,1,104782
FREP-300924-Z,1,1,102904
FREP-300928-G,1,259,102890
FREP-300930-G,1,1,12385
FREP-300934-G,1,0,121535
FREP-300935-G,1,12,12387
FREP-300935-Z,1,3,118259
FREP-300936-J,3,0,32955
FREP-300937-G,2,1,102905
FREP-300939-Z,1,6,104766
FREP-300942-J,1,1,102896
FREP-300943-J,1,3,114506
FREP-300944-G,1,129,102883
FREP-300946-J,1,1,102902
FREP-300947-Z,1,1,50301
FREP-300948-J,1,1,65493
FREP-300956-J,1,13,102907
FREP-300958-J,1,72,53832
FREP-300962-Z,1,1,118296
FREP-300963-Z,1,31,6023
FREP-300964-J,1,11,102909
FREP-300964-Z,1,0,35484
FREP-300967-Z,1,52,18085
FREP-300970-J,1,44,104785
FREP-300974-G,1,7,9473
FREP-300981-J,2,0,114520
FREP-300982-G,1,1,114522
FREP-300995-G,1,1,104795
FREP-300998-J,1,6,104793
FREP-301007-J,1,6,104796
FREP-301013-J,1,1,104787
FREP-301013-Z,1,1,35492
FREP-301019-Z,1,1,65500
FREP-301023-J,1,1,114533
FREP-301025-Z,1,1,32968
FREP-301026-G,1,3,50304
FREP-301031-J,1,0,12424
FREP-301035-G,1,1,18086
FREP-301043-J,1,1,118269
FREP-301047-Z,1,1,18087
FREP-301060-J,2,0,76035
FREP-301061-Z,1,2,92924
FREP-301070-J,1,1,9464
FREP-301072-J,2,2,27847
FREP-301073-Z,1,12,118313
FREP-301076-G,1,0,53838
FREP-301078-G,1,7,76033
FREP-301079-J,1,0,50310
FREP-301081-G,1,1465,118317
FREP-301088-J,1,41,76037
FREP-301089-J,1,1,94439
FREP-301090-J,2,2,32970
FREP-301092-J,1,12,76038
FREP-301096-J,1,0,92925
FREP-301097-J,1,1,94447
FREP-301101-J,1,1,32969
FREP-301108-Z,1,1,102914
FREP-301116-J,1,1,65501
FREP-301118-Z,1,134,102915
FREP-301120-J,1,1,114523
FREP-301121-J,1,1,114524
FREP-301124-G,1,7,32977
FREP-301125-J,1,4,102910
FREP-301126-Z,1,0,114537
FREP-301131-Z,1,1,6017
FREP-301132-J,1,2,27849
FREP-301138-J,1,2,12426
FREP-301139-Z,1,1,27854
FREP-301140-G,1,0,6026
FREP-301145-G,1,5,18081
FREP-301147-Z,1,1,118324
FREP-301148-J,1,1,114521
FREP-301154-J,1,15,65507
FREP-301154-Z,1,2,76034
FREP-301160-J,1,1,53835
FREP-301160-Z,1,0,114538
FREP-301163-J,2,2,27851
FREP-301168-G,1,1,92921
FREP-301172-G,1,59,118307
FREP-301174-G,1,0,50312
FREP-301175-Z,1,2,118281
FREP-301177-Z,1,1,94442
FREP-301190-J,4,0,65502
FREP-301193-G,1,0,35487
FREP-301195-G,1,0,118326
FREP-301196-Z,1,1,18090
FREP-301208-Z,1,1,118327
FREP-301212-J,1,1,92920
FREP-301214-G,1,0,35485
FREP-301214-J,1,1,65508
FREP-301214-Z,1,3,50307
FREP-301217-J,4,0,76040
FREP-301220-J,3,0,50302
FREP-301224-Z,1,0,32979
FREP-301226-J,1,1,50313
FREP-301227-Z,1,9,18082
FREP-301229-J,1,47,114519
FREP-301236-J,1,1,104788
FREP-301236-Z,1,28,76041
FREP-301237-Z,1,9,50306
FREP-301238-G,1,1,50311
FREP-301241-Z,1,1,114541
FREP-301248-J,1,7,32972
FREP-301248-Z,1,0,76039
FREP-301249-G,1,2,53834
FREP-301249-J,1,24,114534
FREP-301251-G,2,212,76036
FREP-301251-J,1,1,27859
FREP-301262-J,1,0,65503
FREP-301267-J,1,2,6027
FREP-301268-G,2,76,104790
FREP-301272-Z,1,1,76031
FREP-301281-G,4,675,114531
FREP-301281-Z,1,1,9478
FREP-301283-Z,1,0,6028
FREP-301286-G,2,278,102916
FREP-301286-J,1,1,12432
FREP-301287-J,1,42,118302
FREP-301291-J,1,1,6040
FREP-301292-Z,2,5,6029
FREP-301297-Z,1,1,114556
FREP-301300-Z,1,1,102920
FREP-301302-G,1,1,53863
FREP-301304-G,2,151,92928
FREP-301305-G,2,789,118364
FREP-301308-J,1,1,92930
FREP-301309-Z,1,1,35510
FREP-301313-J,1,56,18093
FREP-301314-Z,1,0,9493
FREP-301315-J,1,1,65510
FREP-301317-J,3,0,18095
FREP-301317-Z,1,1,6042
FREP-301320-Z,1,17,102921
FREP-301321-J,1,25,76042
FREP-301322-G,1,21,35503
FREP-301324-J,1,2,50318
FREP-301327-J,1,8,114544
FREP-301328-Z,1,1,9485
FREP-301331-G,1,28,118369
FREP-301331-Z,1,2,104806
FREP-301333-J,1,1,92934
FREP-301336-J,1,6,18097
FREP-301340-J,1,1,92933
FREP-301340-Z,1,1,27868
FREP-301341-J,1,56,32993
FREP-301341-Z,1,44,92942
FREP-301347-Z,1,1,35512
FREP-301349-J,1,5,53845
FREP-301349-Z,1,24,114546
FREP-301350-Z,1,6,32995
FREP-301351-J,1,1,94454
FREP-301353-Z,1,1,114547
FREP-301355-J,1,0,9494
FREP-301355-Z,1,12,6030
FREP-301356-G,1,2,35513
FREP-301358-G,1,5,76062
FREP-301360-J,1,7,53841
FREP-301361-G,1,1,118372
FREP-301364-G,1,0,76063
FREP-301365-J,1,9,9495
FREP-301372-J,1,2,114562
FREP-301378-G,1,5,118367
FREP-301378-Z,1,4,76064
FREP-301381-J,1,4,76047
FREP-301383-J,1,1,94453
FREP-301389-G,1,2,53850
FREP-301391-G,1,1,104803
FREP-301394-J,1,11,118349
FREP-301397-J,1,19,118351
FREP-301402-G,1,3,27870
FREP-301403-J,1,0,53847
FREP-301406-G,1,39,32992
FREP-301410-G,1,8,76065
FREP-301412-G,5,218,94457
FREP-301413-G,1,1,27871
FREP-301414-G,2,280,6045
FREP-301416-G,1,264,53870
FREP-301418-G,1,224,76053
FREP-301419-J,1,1,6036
FREP-301421-Z,1,0,118379
FREP-301422-G,1,29,6046
FREP-301425-G,2,130,9490
FREP-301425-J,1,1,32985
FREP-301426-G,1,0,114548
FREP-301427-Z,1,113,118381
FREP-301428-J,1,0,53848
FREP-301429-G,1,206,102922
FREP-301433-J,1,0,35508
FREP-301434-G,1,117,118383
FREP-301434-J,1,0,53843
FREP-301438-G,1,63,53859
FREP-301440-G,1,25,53855
FREP-301441-G,3,10,118343
FREP-301443-G,1,42,118352
FREP-301448-Z,1,1,92938
FREP-301449-J,1,57,6038
FREP-301450-Z,1,0,92939
FREP-301452-G,1,2,114553
FREP-301453-Z,1,3,114559
FREP-301456-G,1,4,6039
FREP-301457-J,1,1,118385
FREP-301458-Z,1,1,118386
FREP-301461-G,1,8,118388
FREP-301465-Z,1,1,6047
FREP-301470-G,1,186,94459
FREP-301473-J,1,4,53858
FREP-301479-G,1,6,118380
FREP-301481-G,1,1,27866
FREP-301485-G,1,0,92945
FREP-301486-Z,1,1,6049
FREP-301487-Z,1,1,92946
FREP-301488-G,1,13,76056
FREP-301491-J,1,0,114554
FREP-301492-J,1,1,114563
FREP-301494-J,1,19,118390
FREP-301495-J,1,1,118393
FREP-301498-Z,1,1,76068
FREP-301501-Z,1,0,114567
FREP-301504-J,1,1,53844
FREP-301505-J,1,29,32986
FREP-301506-G,1,3,27876
FREP-301511-J,1,63,76044
FREP-301514-J,1,24,6033
FREP-301515-J,1,7,32989
FREP-301522-J,1,46,104800
FREP-301523-J,1,59,53854
FREP-301526-Z,1,0,53861
FREP-301531-J,1,1,27873
FREP-301542-G,2,7,76067
FREP-301547-J,1,1,104805
FREP-301552-Z,1,1,114555
FREP-301555-Z,1,0,102924
FREP-301556-Z,1,1,32998
FREP-301561-J,1,30,35516
FREP-301562-Z,1,3,27877
FREP-301563-J,1,1,76071
FREP-301564-G,1,248,6050
FREP-301564-J,1,24,118396
FREP-301567-Z,1,28,53884
FREP-301568-J,1,1,114580
FREP-301569-J,1,36,18113
FREP-301571-Z,1,1,6051
FREP-301573-J,1,8,18115
FREP-301580-Z,1,0,33012
FREP-301587-J,1,18,33013
FREP-301588-Z,1,10,76075
FREP-301606-Z,1,9,33014
FREP-301608-G,1,1,33001
FREP-301617-Z,1,1,27889
FREP-301619-J,1,4,33003
FREP-301624-Z,1,0,104825
FREP-301625-J,2,4,76079
FREP-301640-J,1,8,114570
FREP-301641-J,2,28,102949
FREP-301641-Z,1,1,118420
FREP-301644-J,1,1,102948
FREP-301653-Z,1,7,76081
FREP-301657-Z,1,1,114583
FREP-301659-J,1,1,76094
FREP-301660-G,1,1,118417
FREP-301664-G,1,2,53886
FREP-301667-G,2,15,9501
FREP-301675-J,1,9,114571
FREP-301677-J,1,1,35520
FREP-301678-Z,1,4,27890
FREP-301679-Z,1,515,104827
FREP-301689-G,2,26,118425
FREP-301689-J,1,5,18105
FREP-301690-G,1,1,35533
FREP-301696-J,1,14,35534
FREP-301697-G,3,25,102929
FREP-301698-Z,1,1,114584
FREP-301700-J,1,0,102950
FREP-301703-G,1,14,18106
FREP-301708-G,1,8,18107
FREP-301708-J,3,0,118407
FREP-301712-Z,1,1,118426
FREP-301715-Z,1,1,102951
FREP-301718-J,1,5,118409
FREP-301718-Z,1,12,53882
FREP-301720-Z,1,37,104830
FREP-301724-G,2,246,9506
FREP-301725-Z,1,11,102935
FREP-301726-G,5,85,104831
FREP-301727-G,2,165,27892
FREP-301727-Z,1,0,114573
FREP-301740-Z,1,1,53891
FREP-301742-Z,1,12,76098
FREP-301744-Z,1,2,114588
FREP-301746-Z,1,1,118429
FREP-301750-G,1,10,33008
FREP-301754-Z,1,1,53892
FREP-301755-J,1,7,35521
FREP-301760-Z,1,2,114589
FREP-301762-G,1,9,104813
FREP-301762-Z,1,0,53893
FREP-301775-J,1,0,104819
FREP-301783-J,1,2,18104
FREP-301784-J,1,1,53879
FREP-301790-Z,1,1,104834
FREP-301793-J,2,0,35518
FREP-301795-G,1,0,53883
FREP-301795-Z,1,0,102937
FREP-301800-Z,1,1,114590
FREP-301803-J,1,20,118413
FREP-301804-G,1,79,118438
FREP-301804-J,1,3,35529
FREP-301805-J,1,8,76085
FREP-301811-G,1,1,35538
FREP-301824-Z,1,0,118432
FREP-301826-G,1,1,53897
FREP-301827-G,1,0,27884
FREP-301827-J,1,38,118415
FREP-301831-G,1,9,118418
FREP-301833-J,1,1,27885
FREP-301836-G,2,19,35524
FREP-301838-J,1,14,53880
FREP-301843-J,1,3,114591
FREP-301845-J,1,2,76078
FREP-301847-G,2,121,104821
FREP-301848-J,1,3,76088
FREP-301849-G,4,14,114578
FREP-301852-G,2,1,53898
FREP-301853-Z,1,1,35526
FREP-301856-J,1,1,76089
FREP-301858-G,2,56,102958
FREP-301859-G,2,3,27895
FREP-301868-G,1,1,35539
FREP-301873-J,1,1,76087
FREP-301874-J,1,1,33021
FREP-301875-Z,1,0,27896
FREP-301877-J,1,0,104829
FREP-301880-J,3,0,35527
FREP-301881-G,1,222,33024
FREP-301881-Z,1,1,76090
FREP-301889-Z,1,1,114593
FREP-301890-J,1,1,114575
FREP-301894-J,1,2,27893
FREP-301894-Z,1,1,50319
FREP-301897-J,1,9,35540
FREP-301898-J,1,0,35523
FREP-301899-Z,1,1,118434
FREP-301909-G,3,596,66099
FREP-301915-J,1,7,60963
FREP-301918-J,1,5,17207
FREP-301919-J,1,17,76544
FREP-301921-Z,1,2,17209
FREP-301922-G,1,6,119624
FREP-301923-J,1,1,60974
FREP-301923-Z,1,1,104140
FREP-301933-J,2,10,50571
FREP-301937-J,2,0,17210
FREP-301941-G,1,56,66100
FREP-301944-J,1,3,17206
FREP-301945-Z,2,283,104142
FREP-301948-G,1,2,44634
FREP-301949-G,1,116,44635
FREP-301950-G,1,1,43596
FREP-301950-Z,1,3,66101
FREP-301954-J,1,18,104145
FREP-301954-Z,1,1,60976
FREP-301958-G,1,10,43592
FREP-301968-G,1,1,17225
FREP-301970-G,1,5,12618
FREP-301971-G,1,11,104147
FREP-301978-J,1,3,109194
FREP-301985-G,1,1,104151
FREP-301986-J,1,8,80980
FREP-301988-G,1,10,104132
FREP-301988-Z,1,1,12608
FREP-301989-G,1,1,104152
FREP-301991-G,2,4,104153
FREP-301995-J,1,5,50573
FREP-301996-G,1,22,80992
FREP-302006-G,1,0,60981
FREP-302008-G,1,1,43591
FREP-302008-Z,1,1,104141
FREP-302011-G,1,15,12619
FREP-302012-Z,1,1,17216
FREP-302014-G,1,2,60982
FREP-302018-J,1,0,6338
FREP-302020-Z,1,0,122364
FREP-302027-J,1,1,80978
FREP-302028-Z,2,13,60983
FREP-302029-J,2,0,44631
FREP-302034-J,1,21,44637
FREP-302041-G,1,1,6344
FREP-302041-J,1,1,12609
FREP-302042-G,1,12,104134
FREP-302043-J,1,1,44627
FREP-302067-G,1,2,6345
FREP-302075-G,1,1,122371
FREP-302079-Z,1,1,44649
FREP-302090-G,1,0,12623
FREP-302091-J,1,1,33420
FREP-302092-Z,2,29,12625
FREP-302094-G,1,1,104136
FREP-302095-Z,1,1,17236
FREP-302100-G,4,325,81000
FREP-302101-J,2,22,81002
FREP-302101-Z,1,1,33427
FREP-302102-Z,1,1,43597
FREP-302105-G,1,249,6347
FREP-302109-Z,1,25,104156
FREP-302118-Z,1,1,109192
FREP-302124-Z,1,1,104157
FREP-302130-Z,1,1,104158
FREP-302132-J,3,0,119622
FREP-302133-J,1,1,60989
FREP-302136-G,1,2,44648
FREP-302138-J,1,1,6343
FREP-302139-J,3,0,104138
FREP-302141-J,2,615,60973
FREP-302150-J,1,0,80983
FREP-302151-G,1,21,6340
FREP-302161-Z,1,1,6348
FREP-302164-J,1,1,17217
FREP-302165-J,1,37,12630
FREP-302170-J,1,5,12607
FREP-302175-Z,1,1,33428
FREP-302181-J,1,0,119612
FREP-302184-G,1,0,12631
FREP-302189-J,1,652,17224
FREP-302189-Z,1,12,119640
FREP-302195-G,1,1,104148
FREP-302200-G,1,1,109188
FREP-302203-J,1,37,104159
FREP-302210-J,1,1,17220
FREP-302217-G,1,24,104160
FREP-302219-Z,1,1,104161
FREP-302220-J,1,1,43598
FREP-302221-G,1,22,104149
FREP-302223-Z,1,2,44655
FREP-302224-G,1,2,119632
FREP-302224-J,3,0,12632
FREP-302225-Z,1,1,17238
FREP-302231-G,1,4,104150
FREP-302231-J,1,0,33421
FREP-302233-Z,1,2,81004
FREP-302237-J,1,77,43594
FREP-302237-Z,1,0,104162
FREP-302242-G,2,346,104137
FREP-302242-J,1,1,60970
FREP-302242-Z,2,5,17239
FREP-302243-Z,1,1,17253
FREP-302245-G,3,330,17240
FREP-302246-Z,1,17,122373
FREP-302250-Z,1,19,104183
FREP-302253-J,1,46,60994
FREP-302266-J,1,28,12644
FREP-302273-J,1,1,17243
FREP-302277-G,1,0,12668
FREP-302280-J,1,1,115190
FREP-302281-G,1,5,109197
FREP-302281-Z,1,1,66122
FREP-302283-J,1,15,66109
FREP-302283-Z,1,1,17257
FREP-302286-Z,1,2,44680
FREP-302295-Z,3,1,104184
FREP-302296-G,3,1,50585
FREP-302297-G,1,1,81010
FREP-302302-J,1,1,50586
FREP-302308-J,1,1,44678
FREP-302308-Z,1,1,115191
FREP-302312-G,1,1,119655
FREP-302312-Z,3,297,43607
FREP-302315-Z,1,1,12651
FREP-302321-Z,1,1,122393
FREP-302322-G,1,4,61009
FREP-302324-J,1,4,12648
FREP-302325-Z,1,13,12669
FREP-302329-G,1,522,12670
FREP-302330-J,1,58,104189
FREP-302330-Z,1,1,61010
FREP-302331-G,1,4,104172
FREP-302331-Z,1,1,17263
FREP-302333-G,1,1,122397
FREP-302333-Z,1,1,81016
FREP-302337-G,1,1,50587
FREP-302339-G,1,1,60997
FREP-302340-G,1,1,60998
FREP-302342-Z,1,81,61011
FREP-302345-G,1,3,66123
FREP-302351-J,1,19,44688
FREP-302357-G,1,13,66124
FREP-302361-J,1,0,17248
FREP-302363-Z,1,3,17254
FREP-302370-G,2,248,44689
FREP-302374-J,1,1,61012
FREP-302375-G,1,7,50592
FREP-302378-J,1,1,104191
FREP-302381-J,1,1,104192
FREP-302382-J,1,29,43614
FREP-302386-J,1,2,12641
FREP-302388-Z,1,1,109208
FREP-302390-G,1,50,76552
FREP-302392-Z,2,24,44669
FREP-302396-J,1,8,17249
FREP-302398-G,1,36,44690
FREP-302398-J,1,2,50579
FREP-302398-Z,1,1,33429
FREP-302402-J,1,28,66120
FREP-302405-J,1,1,61000
FREP-302408-Z,1,0,43601
FREP-302409-J,1,0,6351
FREP-302415-G,1,6,81009
FREP-302418-G,3,475,104177
FREP-302420-G,1,2,109198
