target,candidate,fold,n,valid,brier,brier_a01,absolute_gain,relative_gain,constant_brier
wthr_gt5,A04_top3_mean,1,24112,True,0.03643328555142505,0.03643394477921203,6.592277869837959e-07,1.8093780154158023e-05,0.038791530942133653
wthr_gt5,A04_top3_mean,2,24112,True,0.03379620987508428,0.03374558903119115,-5.062084389312327e-05,-0.0015000729086795392,0.0353955916110619
wthr_gt5,A04_top3_mean,3,24112,True,0.028566180732858427,0.028554720547156215,-1.1460185702211884e-05,-0.00040134119622309565,0.02937367835701212
wthr_gt5,A04_top3_mean,4,24112,True,0.03219300430083313,0.03216949558613914,-2.35087146939969e-05,-0.0007307766026684639,0.033587913592033725
wthr_gt5,A05_max_rolling3h_mean,0,25208,True,0.034744133848250355,0.03470879863237667,-3.5335215873684434e-05,-0.0010180477938156994,0.03686037714564945
wthr_gt5,A05_max_rolling3h_mean,1,24112,True,0.03643774391107172,0.03643394477921203,-3.7991318596886092e-06,-0.00010427451330651037,0.038791530942133653
wthr_gt5,A05_max_rolling3h_mean,2,24112,True,0.03380316892915557,0.03374558903119115,-5.7579897964420146e-05,-0.001706294055534158,0.0353955916110619
wthr_gt5,A05_max_rolling3h_mean,3,24112,True,0.028572073529259,0.028554720547156215,-1.735298210278624e-05,-0.0006077097506217562,0.02937367835701212
wthr_gt5,A05_max_rolling3h_mean,4,24112,True,0.03220548214676456,0.03216949558613914,-3.5986560625422825e-05,-0.0011186547992045094,0.033587913592033725
wthr_gt100,A01_daily_max,0,25208,True,0.01856155494724961,0.01856155494724961,0.0,0.0,0.019556034101928885
wthr_gt100,A01_daily_max,1,24112,True,0.020231905110704048,0.020231905110704048,0.0,0.0,0.02170124017741864
wthr_gt100,A01_daily_max,2,24112,True,0.0193937191541714,0.0193937191541714,0.0,0.0,0.02030682812128577
wthr_gt100,A01_daily_max,3,24112,True,0.017259062412589985,0.017259062412589985,0.0,0.0,0.017683734390584273
wthr_gt100,A01_daily_max,4,24112,True,0.01950011115777466,0.01950011115777466,0.0,0.0,0.02030682812128577
wthr_gt100,A02_daily_mean,0,25208,True,0.018886622366196947,0.01856155494724961,-0.00032506741894733696,-0.017512941123259955,0.019556034101928885
wthr_gt100,A02_daily_mean,1,24112,True,0.020645137679873266,0.020231905110704048,-0.0004132325691692182,-0.02042479770976141,0.02170124017741864
wthr_gt100,A02_daily_mean,2,24112,True,0.019782560517074582,0.0193937191541714,-0.0003888413629031806,-0.020049860463177048,0.02030682812128577
wthr_gt100,A02_daily_mean,3,24112,True,0.017548692362489685,0.017259062412589985,-0.00028962994989970015,-0.016781325831953856,0.017683734390584273
wthr_gt100,A02_daily_mean,4,24112,True,0.019724341227275375,0.01950011115777466,-0.00022423006950071656,-0.011498912374728512,0.02030682812128577
wthr_gt100,A03_daily_q90,0,25208,True,0.01867350595019207,0.01856155494724961,-0.00011195100294246127,-0.006031337528596967,0.019556034101928885
wthr_gt100,A03_daily_q90,1,24112,True,0.020367159788161133,0.020231905110704048,-0.0001352546774570848,-0.00668521707258927,0.02170124017741864
wthr_gt100,A03_daily_q90,2,24112,True,0.019565013878305587,0.0193937191541714,-0.00017129472413418556,-0.008832484515861504,0.02030682812128577
wthr_gt100,A03_daily_q90,3,24112,True,0.01728824657053118,0.017259062412589985,-2.9184157941196387e-05,-0.001690946891756263,0.017683734390584273
wthr_gt100,A03_daily_q90,4,24112,True,0.01956331238931029,0.01950011115777466,-6.320123153563326e-05,-0.0032410703213060937,0.02030682812128577
