target,scope,old_nll,repaired_nll,old_success,repaired_valid,known_legal_nll,old_oof_brier,repaired_oof_brier,repair_absolute_gain,repaired_prediction_std,old_theta,old_beta,old_p0,repaired_theta,repaired_beta,repaired_p0
any_gt5,fold_3,43240.68517559873,43240.68517559509,True,True,100704.70893773838,0.13722531645702502,0.13722531427289486,2.184130154514463e-09,0.04448845615278576,,,,29.740273377631276,0.33106521757673263,0.14943707105135612
any_gt5,fold_4,42811.878222288164,42811.87822221291,True,True,98788.14869263044,0.13722531645702502,0.13722531427289486,2.184130154514463e-09,0.042337851487985016,,,,31.179541844321733,0.36409534896156737,0.14565852618471953
any_gt100,full,27217.36590580535,27217.365905803214,True,True,45158.55128060759,0.056010435709778504,0.05601043629989143,-5.901129238039537e-10,0.030337948944554334,32.81358812658871,0.29574353591645863,0.05274410935565649,32.81362037210912,0.2957442958032811,0.052744077942922823
any_gt100,fold_0,21572.43701873785,21572.437018732446,True,True,35769.7363463717,0.056010435709778504,0.05601043629989143,-5.901129238039537e-10,0.02982261672866852,,,,33.275815271015674,0.30551488987157016,0.0525315721093314
any_gt100,fold_1,21720.320382077218,21720.320382075333,True,True,35985.714965486106,0.056010435709778504,0.05601043629989143,-5.901129238039537e-10,0.028271448134509592,,,,33.619361344653576,0.3082785288015372,0.05247560870815884
any_gt100,fold_2,21977.360091611634,21977.36009161004,True,True,36568.26347670569,0.056010435709778504,0.05601043629989143,-5.901129238039537e-10,0.03073525150774618,,,,32.82184821053583,0.29998979155951055,0.05307023995208219
any_gt100,fold_3,22030.874805120573,22030.874805120457,True,True,36736.8143729766,0.056010435709778504,0.05601043629989143,-5.901129238039537e-10,0.03223255921189505,,,,31.831426410234773,0.2792076835723018,0.05363438398737228
any_gt100,fold_4,21563.23308329667,21563.233083287563,True,True,35573.675960890265,0.056010435709778504,0.05601043629989143,-5.901129238039537e-10,0.030699808054209046,,,,32.64672101345142,0.28739665327157654,0.05197419489904908
any_gt1000,full,5729.892183049784,5729.892183046682,True,True,6401.936413605654,0.008259640205971143,0.008233490096094406,2.6150109876737007e-05,0.008205595883926053,40.82044559817588,0.262475751604438,0.007300035916261378,40.82039837218526,0.2624746906103546,0.007300030591564934
any_gt1000,fold_0,4548.882638975339,4419.348013142296,True,True,4918.690737315081,0.008259640205971143,0.008233490096094406,2.6150109876737007e-05,0.008351964866102323,,,,40.07215002323564,0.24897407719523176,0.00709323118371125
any_gt1000,fold_1,4589.095242923989,4589.0952429226,True,True,5131.195492882678,0.008259640205971143,0.008233490096094406,2.6150109876737007e-05,0.00716670608717292,,,,43.2355770762372,0.2914750945388048,0.0072565281200425436
any_gt1000,fold_2,4806.539487456068,4658.8551385836645,True,True,5207.13096873284,0.008259640205971143,0.008233490096094406,2.6150109876737007e-05,0.008837856433149986,,,,40.62484394111246,0.26765996847015355,0.007333703109270192
any_gt1000,fold_3,4697.666235087555,4697.6662350688275,True,True,5263.985634076331,0.008259640205971143,0.008233490096094406,2.6150109876737007e-05,0.008685695109885157,,,,40.40995339825028,0.2637986214559849,0.007458725714205009
any_gt1000,fold_4,4551.438192790641,4551.4381927819095,True,True,5086.74282141569,0.008259640205971143,0.008233490096094406,2.6150109876737007e-05,0.008075115986452969,,,,40.021065267196064,0.2414922317740674,0.007338566414742657
wthr_gt0,full,22528.256217959064,22528.25621795893,True,True,35653.80384538349,0.045305332846565245,0.0453053326894635,1.5710174827709977e-10,0.049866316953612606,29.59053250687388,0.3130540632888029,0.033361418367435065,29.590527229923463,0.3130539560665072,0.03336141916554057
wthr_gt0,fold_0,17716.947940462174,17716.947940461083,True,True,27903.044285618424,0.045305332846565245,0.0453053326894635,1.5710174827709977e-10,0.04831135369371937,,,,30.058477813519442,0.32100955198869,0.03290438950973071
wthr_gt0,fold_1,17647.506360691557,17647.50636069084,True,True,27696.709145362158,0.045305332846565245,0.0453053326894635,1.5710174827709977e-10,0.04815192835640808,,,,29.843577918360133,0.31535094601272845,0.03236464511106772
wthr_gt0,fold_2,17945.61767163797,17945.617671634034,True,True,28341.888084655613,0.045305332846565245,0.0453053326894635,1.5710174827709977e-10,0.04950966739982484,,,,29.68425615631469,0.3153868628459654,0.0329324071280166
wthr_gt0,fold_3,18552.13488585747,18552.134885857315,True,True,29736.794383547112,0.045305332846565245,0.0453053326894635,1.5710174827709977e-10,0.05252957583843346,,,,28.841430236415754,0.3007382361453429,0.034959630843465636
wthr_gt0,fold_4,18240.105240937603,18240.105240937555,True,True,28936.779482350637,0.045305332846565245,0.0453053326894635,1.5710174827709977e-10,0.050846865214449574,,,,29.573272427424143,0.31315115959708284,0.03364390069440783
wthr_gt5,full,17478.83782694127,17478.837826940406,True,True,25366.89605637791,0.033136800453159844,0.03313680060636064,-1.5320079926883778e-10,0.04095891862667506,31.027163086156573,0.30532114233064417,0.023780296207039368,31.027176176469748,0.3053214489082873,0.02378027882469351
wthr_gt5,fold_0,13712.52361206777,13712.523612067529,True,True,19812.062635790655,0.033136800453159844,0.03313680060636064,-1.5320079926883778e-10,0.039578853784748604,,,,31.66129995045354,0.3181590244245504,0.023144740558452618
wthr_gt5,fold_1,13745.026392840426,13745.026392836578,True,True,19815.956794001893,0.033136800453159844,0.03313680060636064,-1.5320079926883778e-10,0.039069006878019716,,,,31.429095483848403,0.3102211346647929,0.023252767186911796
wthr_gt5,fold_2,13956.064197170921,13956.064197168707,True,True,20237.724975105695,0.033136800453159844,0.03313680060636064,-1.5320079926883778e-10,0.04126227394224809,,,,30.87348541833444,0.30161011107627933,0.023697579307589534
wthr_gt5,fold_3,14404.789086599918,14404.7890865999,True,True,21149.177275636346,0.033136800453159844,0.03313680060636064,-1.5320079926883778e-10,0.043339295460215865,,,,30.213479972912783,0.29280671544235737,0.024924860299099686
wthr_gt5,fold_4,14089.078489087487,14089.078489082307,True,True,20452.66254497705,0.033136800453159844,0.03313680060636064,-1.5320079926883778e-10,0.041575759354794045,,,,31.037156040417603,0.30468237635716094,0.023866164569230134
wthr_gt100,full,11010.31206181883,11010.312061814839,True,True,14013.13121003597,0.0189854176249948,0.01898541726272093,3.6227387062437444e-10,0.030428835937701355,32.673125038361974,0.28061156107612056,0.013123086357609302,32.67314983040265,0.2806119238368181,0.01312311007874779
wthr_gt100,fold_0,8765.9398375233,8765.939837510912,True,True,11159.989524011507,0.0189854176249948,0.01898541726272093,3.6227387062437444e-10,0.03023898094216839,,,,32.90571093964699,0.2855113840034684,0.013109767244686007
wthr_gt100,fold_1,8737.941138873712,8737.941138865503,True,True,11077.23541301107,0.0189854176249948,0.01898541726272093,3.6227387062437444e-10,0.02837924434863472,,,,33.24596685272402,0.28653915297294785,0.01312650310699489
wthr_gt100,fold_2,8774.151762436986,8774.151762431422,True,True,11162.118318136478,0.0189854176249948,0.01898541726272093,3.6227387062437444e-10,0.03048156827051847,,,,32.800255784583875,0.2859934926110803,0.012822641764873311
wthr_gt100,fold_3,8991.24964648647,8991.24964648288,True,True,11528.74857407261,0.0189854176249948,0.01898541726272093,3.6227387062437444e-10,0.032354347519612546,,,,31.76191804419054,0.26574559816282434,0.013625504608809298
wthr_gt100,fold_4,8767.892752295735,8767.892752295684,True,True,11124.433010912213,0.0189854176249948,0.01898541726272093,3.6227387062437444e-10,0.030729280728943514,,,,32.730187754636646,0.2800270004511341,0.012922646064487543
wthr_gt1000,full,2172.9758167098703,1885.9980380483175,False,True,1889.944543036152,0.0025580744750441043,0.002474856739557275,8.321773548682944e-05,0.007860065581550295,200.0,0.05,0.0025646075035803775,42.38384674355328,0.28513411545005596,0.0013935492781872402
wthr_gt1000,fold_0,1660.770269580203,1432.503540259582,True,True,1437.304379578768,0.0025580744750441043,0.002474856739557275,8.321773548682944e-05,0.008111843397621223,,,,41.18196481831739,0.2663268959001573,0.001359207966783578
wthr_gt1000,fold_1,1735.3627980591011,1532.2723167771805,True,True,1537.1984149462903,0.0025580744750441043,0.002474856739557275,8.321773548682944e-05,0.006859435111012339,,,,45.03998445659085,0.31419587452187014,0.0014000393995689552
wthr_gt1000,fold_2,1788.9141060109164,1531.5788737926848,True,True,1532.8994059867334,0.0025580744750441043,0.002474856739557275,8.321773548682944e-05,0.008490636174507099,,,,41.92291437171954,0.28620185071747706,0.001349045087966271
wthr_gt1000,fold_3,1782.9797095902454,1539.411455874845,True,True,1541.2006454960956,0.0025580744750441043,0.002474856739557275,8.321773548682944e-05,0.008502246179618679,,,,40.89903234220371,0.2698455507123615,0.0014520092918432863
wthr_gt1000,fold_4,1723.4186238170341,1505.702686928059,True,True,1511.1753261367217,0.0025580744750441043,0.002474856739557275,8.321773548682944e-05,0.007450825449889319,,,,43.24085013553412,0.290457511625186,0.0014013002784242334
