target,candidate,kind,aggregate,probability,n,events
any_gt0,A01_daily_max,fit,22.165,0.49668168786307504,0,0
any_gt0,A01_daily_max,fit,22.3325,0.5007570856265815,0,0
any_gt0,A01_daily_max,fit,22.5,0.504848254711819,0,0
any_gt0,A01_daily_max,fit,22.6675,0.508953785858306,0,0
any_gt0,A01_daily_max,fit,22.835,0.5130722863349632,0,0
any_gt0,A01_daily_max,fit,23.0025,0.5172023809305598,0,0
any_gt0,A01_daily_max,fit,23.169999999999998,0.5213427128777968,0,0
any_gt0,A01_daily_max,fit,23.3375,0.5254919447126183,0,0
any_gt0,A01_daily_max,fit,23.505,0.5296487590704075,0,0
any_gt0,A01_daily_max,fit,23.6725,0.5338118594207675,0,0
any_gt0,A01_daily_max,fit,23.84,0.5379799707426427,0,0
any_gt0,A01_daily_max,fit,24.0075,0.5421518401415628,0,0
any_gt0,A01_daily_max,fit,24.175,0.5463262374108189,0,0
any_gt0,A01_daily_max,fit,24.3425,0.5505019555384076,0,0
any_gt0,A01_daily_max,fit,24.51,0.5546778111615865,0,0
any_gt0,A01_daily_max,fit,24.6775,0.5588526449708944,0,0
any_gt0,A01_daily_max,fit,24.845,0.5630253220654898,0,0
any_gt0,A01_daily_max,fit,25.0125,0.567194732261659,0,0
any_gt0,A01_daily_max,fit,25.18,0.5713597903563351,0,0
any_gt0,A01_daily_max,fit,25.3475,0.5755194363474563,0,0
any_gt0,A01_daily_max,fit,25.515,0.5796726356129775,0,0
any_gt0,A01_daily_max,fit,25.6825,0.5838183790503226,0,0
any_gt0,A01_daily_max,fit,25.85,0.587955683178049,0,0
any_gt0,A01_daily_max,fit,26.0175,0.5920835902014613,0,0
any_gt0,A01_daily_max,fit,26.185,0.5962011680438892,0,0
any_gt0,A01_daily_max,fit,26.3525,0.6003075103453032,0,0
any_gt0,A01_daily_max,fit,26.52,0.6044017364299199,0,0
any_gt0,A01_daily_max,fit,26.6875,0.6084829912444021,0,0
any_gt0,A01_daily_max,fit,26.855,0.61255044526823,0,0
any_gt0,A01_daily_max,fit,27.0225,0.6166032943977733,0,0
any_gt0,A01_daily_max,fit,27.19,0.6206407598055648,0,0
any_gt0,A01_daily_max,fit,27.3575,0.6246620877762261,0,0
any_gt0,A01_daily_max,fit,27.525,0.6286665495204592,0,0
any_gt0,A01_daily_max,fit,27.6925,0.6326534409684784,0,0
any_gt0,A01_daily_max,fit,27.86,0.6366220825442088,0,0
any_gt0,A01_daily_max,fit,28.0275,0.6405718189215415,0,0
any_gt0,A01_daily_max,fit,28.195,0.6445020187638919,0,0
any_gt0,A01_daily_max,fit,28.3625,0.6484120744482602,0,0
any_gt0,A01_daily_max,fit,28.53,0.6523014017749593,0,0
any_gt0,A01_daily_max,fit,28.6975,0.6561694396641274,0,0
any_gt0,A01_daily_max,fit,28.865,0.6600156498401025,0,0
any_gt0,A01_daily_max,fit,29.0325,0.6638395165046975,0,0
any_gt0,A01_daily_max,fit,29.2,0.6676405460003688,0,0
any_gt0,A01_daily_max,fit,29.3675,0.671418266464238,0,0
any_gt0,A01_daily_max,fit,29.535,0.6751722274738787,0,0
any_gt0,A01_daily_max,fit,29.7025,0.6789019996857517,0,0
any_gt0,A01_daily_max,fit,29.87,0.6826071744671232,0,0
any_gt0,A01_daily_max,fit,30.0375,0.6862873635222719,0,0
any_gt0,A01_daily_max,fit,30.205000000000002,0.6899421985137506,0,0
any_gt0,A01_daily_max,fit,30.3725,0.6935713306794314,0,0
any_gt0,A01_daily_max,fit,30.54,0.6971744304460316,0,0
any_gt0,A01_daily_max,fit,30.7075,0.7007511870397813,0,0
any_gt0,A01_daily_max,fit,30.875,0.7043013080948661,0,0
any_gt0,A01_daily_max,fit,31.0425,0.7078245192602317,0,0
any_gt0,A01_daily_max,fit,31.21,0.7113205638053277,0,0
any_gt0,A01_daily_max,fit,31.3775,0.7147892022253198,0,0
any_gt0,A01_daily_max,fit,31.545,0.7182302118462762,0,0
