Incident Reference,old_start_raw,selected_start_raw,old_time_utc,new_time_utc,new_time_london,new_date_utc,new_date_london,old_period,new_period,new_period_london,new_in_study_utc,new_in_study_london,max_stage_end_utc,recovery_crosses_study_end
FREP-370122-Z,2023-04-21T00:08:00+01:00,2023-04-21T00:08:00+01:00,2023-04-20 23:08:00+00:00,2023-04-20 23:08:00+00:00,2023-04-21 00:08:00+01:00,2023-04-20,2023-04-21,development,development,development,True,True,2023-04-21 03:50:00+00:00,False
FREP-370341-Z,2023-04-23T00:09:00+01:00,2023-04-23T00:09:00+01:00,2023-04-22 23:09:00+00:00,2023-04-22 23:09:00+00:00,2023-04-23 00:09:00+01:00,2023-04-22,2023-04-23,development,development,development,True,True,2023-04-22 23:50:00+00:00,False
FREP-370728-Z,2023-04-26T00:03:00+01:00,2023-04-26T00:03:00+01:00,2023-04-25 23:03:00+00:00,2023-04-25 23:03:00+00:00,2023-04-26 00:03:00+01:00,2023-04-25,2023-04-26,development,development,development,True,True,2023-04-25 23:38:00+00:00,False
FREP-371053-Z,2023-04-28T00:05:00+01:00,2023-04-28T00:05:00+01:00,2023-04-27 23:05:00+00:00,2023-04-27 23:05:00+00:00,2023-04-28 00:05:00+01:00,2023-04-27,2023-04-28,development,development,development,True,True,2023-04-28 01:30:00+00:00,False
FREP-371057-Z,2023-04-28T00:51:00+01:00,2023-04-28T00:51:00+01:00,2023-04-27 23:51:00+00:00,2023-04-27 23:51:00+00:00,2023-04-28 00:51:00+01:00,2023-04-27,2023-04-28,development,development,development,True,True,2023-04-28 12:37:00+00:00,False
FREP-371199-Z,2023-04-29T00:50:00+01:00,2023-04-29T00:50:00+01:00,2023-04-28 23:50:00+00:00,2023-04-28 23:50:00+00:00,2023-04-29 00:50:00+01:00,2023-04-28,2023-04-29,development,development,development,True,True,2023-04-29 00:50:00+00:00,False
FREP-371301-Z,2023-04-30T00:24:00+01:00,2023-04-30T00:24:00+01:00,2023-04-29 23:24:00+00:00,2023-04-29 23:24:00+00:00,2023-04-30 00:24:00+01:00,2023-04-29,2023-04-30,development,development,development,True,True,2023-04-30 00:15:00+00:00,False
FREP-371383-Z,2023-05-01T00:19:00+01:00,2023-05-01T00:19:00+01:00,2023-04-30 23:19:00+00:00,2023-04-30 23:19:00+00:00,2023-05-01 00:19:00+01:00,2023-04-30,2023-05-01,development,development,development,True,True,2023-05-01 00:34:00+00:00,False
FREP-371470-Z,2023-05-02T00:56:00+01:00,2023-05-02T00:56:00+01:00,2023-05-01 23:56:00+00:00,2023-05-01 23:56:00+00:00,2023-05-02 00:56:00+01:00,2023-05-01,2023-05-02,development,development,development,True,True,2023-05-02 02:22:00+00:00,False
FREP-371595-Z,2023-05-03T00:58:00+01:00,2023-05-03T00:58:00+01:00,2023-05-02 23:58:00+00:00,2023-05-02 23:58:00+00:00,2023-05-03 00:58:00+01:00,2023-05-02,2023-05-03,development,development,development,True,True,2023-05-03 01:05:00+00:00,False
