Incident Reference,distinct_cause_code_count
FREP-11610-O,1
FREP-11613-O,1
FREP-11616-L,1
FREP-116165-Z,1
FREP-1164238-A,1
FREP-11659-O,1
FREP-11669-O,1
FREP-11680-O,1
FREP-11690-L,1
FREP-1169181-A,1
FREP-11697-O,1
FREP-11717-O,1
FREP-11720-O,1
FREP-11721-O,1
FREP-11722-O,1
FREP-11728-O,1
FREP-11730-O,1
FREP-11731-O,1
FREP-117368-G,1
FREP-11737-O,1
FREP-11745-O,1
FREP-11756-O,1
FREP-11763-O,1
FREP-11765-O,1
FREP-1177254-A,1
FREP-11790-O,1
FREP-11795-O,1
FREP-11796-O,1
FREP-11803-O,1
FREP-11821-O,1
FREP-11831-O,1
FREP-11846-O,1
FREP-11855-O,1
FREP-11865-O,1
FREP-11874-O,1
FREP-11876-O,1
FREP-11885-O,1
FREP-1188533-A,1
FREP-11899-O,1
FREP-119011-Z,1
FREP-1190301-A,1
FREP-11905-O,1
FREP-11911-O,1
FREP-11915-O,1
FREP-11919-O,1
FREP-119217-Z,1
FREP-11937-O,1
FREP-11939-O,1
FREP-1194242-A,1
FREP-1194636-A,1
FREP-119490-Z,1
FREP-11956-O,1
FREP-11958-O,1
FREP-11968-O,1
FREP-11969-O,1
FREP-11981-O,1
FREP-1198809-A,1
FREP-11992-O,1
FREP-11995-O,1
FREP-12007-O,1
FREP-12009-O,1
FREP-12014-O,1
FREP-1201562-A,1
FREP-12020-O,1
FREP-1203315-A,1
FREP-12034-O,1
FREP-12042-O,1
FREP-12047-O,1
FREP-12051-O,1
FREP-12060-O,1
FREP-120637-Z,1
FREP-12066-O,1
FREP-12074-O,1
FREP-12076-O,1
FREP-12091-O,1
FREP-12094-O,1
FREP-12095-O,1
FREP-12109-O,1
FREP-1212940-A,1
FREP-1212968-A,1
FREP-121312-G,1
FREP-12132-O,1
FREP-12140-O,1
FREP-12141-O,1
FREP-12145-O,1
FREP-12146-O,1
FREP-12157-O,1
FREP-12162-O,1
FREP-121698-Z,1
FREP-12180-O,1
FREP-12183-O,1
FREP-12201-O,1
FREP-12216-O,1
FREP-12222-O,1
FREP-12229-O,1
FREP-12232-O,1
FREP-12235-O,1
FREP-122410-Z,1
FREP-12245-O,1
FREP-122451-Z,1
FREP-12257-O,1
FREP-12268-O,1
FREP-12281-O,1
FREP-12294-O,1
FREP-12295-O,1
FREP-12311-O,1
FREP-12313-O,1
FREP-12324-O,1
FREP-12325-O,1
FREP-12333-O,1
FREP-12342-O,1
FREP-12343-O,1
FREP-12355-O,1
FREP-12380-O,1
FREP-12387-O,1
FREP-123954-Z,1
