k1,k2,sse,bic,lr
13.0,33.0,237549.4672452669,83021.87012446029,33.57115110495483
13.0,34.0,237579.65642352754,83029.5503245495,41.251351194158076
14.0,18.0,237600.74301135982,83034.91422470688,46.61525135154731
14.0,19.0,237578.97661927165,83029.37739144062,41.07841808527256
14.0,20.0,237555.09540511615,83023.30201597877,35.00304262342719
14.0,21.0,237524.0233669854,83015.39638217176,27.097408816424593
14.0,22.0,237491.54458634258,83007.13172643751,18.83275308218573
14.0,23.0,237467.42682103915,83000.9939104549,12.694937099560548
14.0,24.0,237439.48592236682,82993.88235216972,5.5833788143615095
14.0,25.0,237420.50218044932,82989.05010502477,0.7511316694256022
14.0,26.0,237417.5514557283,82988.29897335534,0.0
14.0,27.0,237422.9358238607,82989.66960229517,1.3706289398166625
14.0,28.0,237431.156162121,82991.76208751061,3.463114155265159
14.0,29.0,237439.1922069238,82993.80759084204,5.508617486690157
14.0,30.0,237464.71003119193,83000.30246586628,12.00349251091828
14.0,31.0,237498.24192867964,83008.83604636331,20.53707300797054
14.0,32.0,237541.23420257636,83019.77544906622,31.476475710885943
14.0,33.0,237589.84556454024,83032.14224643381,43.84327307846535
14.0,34.0,237627.7811737737,83041.79135998142,53.49238662608605
15.0,19.0,237603.28482239306,83035.56076566369,47.26179230835715
15.0,20.0,237575.1516795686,83028.40436872201,40.10539536666308
15.0,21.0,237539.86625245024,83019.42740406214,31.12843070680039
15.0,22.0,237506.0913643937,83010.83348644139,22.534513086057583
15.0,23.0,237485.16471562732,83005.50815105418,17.209177698845775
15.0,24.0,237459.97334214995,82999.0969219741,10.797948618762668
15.0,25.0,237446.43545374097,82995.65123521628,7.352261860934289
15.0,26.0,237452.09165056323,82997.09088410063,8.791910745299509
15.0,27.0,237466.49449589162,83000.75662719332,12.457653837990696
15.0,28.0,237483.30867007052,83005.03580886053,16.73683550518187
15.0,29.0,237499.99861543823,83009.28307487234,20.984101516985863
15.0,30.0,237535.89383820075,83018.41669873819,30.117725382848263
15.0,31.0,237579.86475365094,83029.60332084699,41.304347491644734
15.0,32.0,237632.38850144332,83042.96315210768,54.66417875234613
15.0,33.0,237689.115656337,83057.38883681415,69.0898634588026
15.0,34.0,237734.31781409218,83068.88125651478,80.58228315944417
16.0,20.0,237645.57015149255,83046.31554566909,58.01657231373698
16.0,21.0,237609.46601918663,83037.13300037319,48.83402701784118
16.0,22.0,237577.83746012763,83029.08760348368,40.78863012834384
16.0,23.0,237563.01302809434,83025.3163251431,37.01735178775328
16.0,24.0,237542.65540323386,83020.137040381,31.838067025659623
16.0,25.0,237535.99588980587,83018.44266404152,30.14369068617599
16.0,26.0,237551.1935180481,83022.3093187477,34.01034539236294
16.0,27.0,237575.0772467306,83028.3854336688,40.086460313463874
16.0,28.0,237600.65298581796,83034.89132547418,46.5923521188458
16.0,29.0,237625.86434400643,83041.30384161418,53.00486825884064
16.0,30.0,237671.26915267465,83052.85085183762,64.55187848227499
16.0,31.0,237724.2353541929,83066.31803149774,78.01905814239389
16.0,32.0,237784.42283159206,83081.61765024654,93.3186768912039
16.0,33.0,237847.2592436294,83097.58649504605,109.28752169071214
16.0,34.0,237897.62957612282,83110.38424387245,122.08527051712171
17.0,21.0,237676.66502625824,83054.22294326092,65.92396990558431
17.0,22.0,237652.0335701284,83047.95927216407,59.66029880872816
17.0,23.0,237647.3853795716,83046.77718490921,58.47821155386962
17.0,24.0,237634.439829427,83043.48486371036,55.185890355017456
17.0,25.0,237636.56290633656,83044.0248183823,55.725845026963086
17.0,26.0,237662.67732204052,83050.66601117162,62.36703781628006
17.0,27.0,237696.7468516561,83059.32918291155,71.03020955620515
17.0,28.0,237731.3098260596,83068.11655866004,79.81758530470468
17.0,29.0,237764.8398895962,83076.64010382244,88.34113046708462
17.0,30.0,237818.8777312382,83090.37432107322,102.07534771788961
17.0,31.0,237879.4136619613,83105.75638206044,117.4574087051053
17.0,32.0,237945.51773782435,83122.54882732758,134.24985397224435
17.0,33.0,238012.6831255557,83139.60610066756,151.3071273122224
17.0,34.0,238066.334013304,83153.22778362287,164.9288102675358
18.0,22.0,237750.18300347784,83072.91438251408,84.61540915874909
18.0,23.0,237757.93589120897,83074.88516390447,86.58619054913625
18.0,24.0,237752.97488544503,83073.62408535267,85.32511199731945
18.0,25.0,237763.82701846174,83076.38264345458,88.08367009924496
18.0,26.0,237800.258496254,83085.64242271338,97.34344935803725
18.0,27.0,237843.36151172325,83096.59607306615,108.29709971079998
18.0,28.0,237885.41655221878,83107.2814913391,118.98251798375908
18.0,29.0,237925.3172240651,83117.41777763466,129.1188042793258
18.0,30.0,237985.28547756188,83132.6487951207,144.3498217653505
18.0,31.0,238050.22015894565,83149.13688189852,160.83790854318497
18.0,32.0,238119.03195685518,83166.60453081003,178.3055574546926
18.0,33.0,238187.60746899497,83184.00717823408,195.70820487873564
18.0,34.0,238241.59047837925,83197.70311108696,209.4041377316183
19.0,23.0,237905.2600941467,83112.32271725233,124.0237438970066
19.0,24.0,237905.06230043306,83112.27247009244,123.97349673711079
19.0,25.0,237921.64019812562,83116.48374448286,128.18477112752416
19.0,26.0,237965.28380076206,83127.56910231437,139.27012895904025
19.0,27.0,238014.1561610963,83139.9801377664,151.681164411055
19.0,28.0,238060.40478476207,83151.72253404873,163.42356069338513
19.0,29.0,238103.04454509055,83162.54662903328,174.24765567794145
19.0,30.0,238164.6587959599,83178.18397111818,189.88499776283737
19.0,31.0,238229.46887148588,83194.62803006536,206.32905671001865
19.0,32.0,238296.76554567908,83211.69827229549,223.39929894013724
19.0,33.0,238363.09922886736,83228.51952842799,240.22055507264375
19.0,34.0,238413.87397463346,83241.39210195372,253.0931285983701
20.0,24.0,238042.25815877813,83147.11542839491,158.8164550395701
20.0,25.0,238064.7096803112,83152.8154189414,164.5164455860579
20.0,26.0,238115.2026992858,83165.63261899486,177.33364563952256
20.0,27.0,238168.6214287855,83179.1895260522,190.89055269686514
20.0,28.0,238217.35124937445,83191.55380353355,203.25483017820653
20.0,29.0,238260.59100698304,83202.52296288389,214.2239895285469
20.0,30.0,238321.26829531498,83217.91235810803,229.61338475269798
20.0,31.0,238383.23565553976,83233.62490682516,245.32593346981983
20.0,32.0,238446.52917502163,83249.66950278595,261.3705294305993
20.0,33.0,238508.4724807759,83265.36770315253,277.06872979719543
20.0,34.0,238554.0636895097,83276.91921131645,288.6202379611043
