k1,k2,sse,lr
13.0,22.0,237241.3812499677,40.095556567802305
13.0,23.0,237176.99224813958,23.69029764544109
13.0,24.0,237125.3218106834,10.522298467147312
13.0,25.0,237097.75038357565,3.494659199077383
13.0,26.0,237094.2772120308,2.6093298116402694
13.0,27.0,237103.66669254663,5.002727089317792
13.0,28.0,237119.03232912123,8.919253986490393
13.0,29.0,237136.53046084102,13.379020703852534
13.0,30.0,237161.4417865811,19.72762804874531
13.0,31.0,237186.3031529297,26.06283851581886
13.0,32.0,237209.99293044806,32.098885158200254
13.0,33.0,237230.66146277203,37.36464000988737
13.0,34.0,237244.25514163123,40.82767310473124
14.0,18.0,237648.85860405077,143.81095362472323
14.0,19.0,237511.23350887268,108.80107696237708
14.0,20.0,237393.84855315142,78.92397106744066
14.0,21.0,237286.00286148852,51.46179773207499
14.0,22.0,237199.04840777902,29.31034590608401
14.0,23.0,237143.26795112187,15.09612398970061
14.0,24.0,237100.71787756463,4.251078488545063
14.0,25.0,237084.04103533734,0.0
14.0,26.0,237092.61062346882,2.1845031641535204
14.0,27.0,237113.4449830934,7.495132071370351
14.0,28.0,237139.14180162043,14.044547577431208
14.0,29.0,237165.8895483825,20.86106212365625
14.0,30.0,237199.25413757356,29.36276469226585
14.0,31.0,237231.1087189993,37.47858311892506
14.0,32.0,237260.18148074052,44.88470643390718
14.0,33.0,237284.74345040516,51.14102352406938
14.0,34.0,237301.06159375218,55.29715132802669
15.0,19.0,237485.52506899313,102.25896502389509
15.0,20.0,237374.1387453319,73.90593409889448
15.0,21.0,237273.91855754334,48.383834150540885
15.0,22.0,237197.5701957483,28.933704517846984
15.0,23.0,237155.41663614172,18.192190247369012
15.0,24.0,237126.0752957915,10.714341673579648
15.0,25.0,237123.50109510083,10.05824423085051
15.0,26.0,237146.4321891631,15.902538526831554
15.0,27.0,237180.19091930697,24.505371586369396
15.0,28.0,237217.04053333416,33.894465703214884
15.0,29.0,237253.32530531677,43.1382158991337
15.0,30.0,237294.87306092223,53.72100483643359
15.0,31.0,237333.15493712435,63.47028899397902
15.0,32.0,237366.91660541948,72.06710231891901
15.0,33.0,237394.7067421976,79.142453045597
15.0,34.0,237413.24371156417,83.86149288941941
16.0,20.0,237408.32390878454,82.60907243980921
16.0,21.0,237318.71421746598,59.79284103272949
16.0,22.0,237255.94443551346,43.80539937390007
16.0,23.0,237229.84519346515,37.156686482002655
16.0,24.0,237215.1793613093,33.420283516799074
16.0,25.0,237227.24861740295,36.49517559083558
16.0,26.0,237264.2380351093,45.918018804398336
16.0,27.0,237309.9680443052,57.565447336838005
16.0,28.0,237356.57437971787,69.43376688599521
16.0,29.0,237400.64429311128,80.65404225475366
16.0,30.0,237448.28038094915,92.77992946104452
16.0,31.0,237490.9139456065,103.63034898798998
16.0,32.0,237527.52912677402,112.94751020932678
16.0,33.0,237557.07698529982,120.46526138480094
16.0,34.0,237576.74447534312,125.468669025921
17.0,21.0,237364.8828230797,71.54927013064906
17.0,22.0,237320.33678245303,60.20605170267087
17.0,23.0,237313.7722601431,58.53427958469514
17.0,24.0,237315.54610705443,58.98602574377177
17.0,25.0,237343.0324577177,65.98555193759077
17.0,26.0,237394.02040560357,78.96772217116039
17.0,27.0,237450.9475791215,93.45879961476899
17.0,28.0,237506.0684542333,107.48676522694569
17.0,29.0,237556.3686063255,120.28504211099549
17.0,30.0,237608.3715211303,133.51371801722036
17.0,31.0,237653.71455850493,145.0458693854464
17.0,32.0,237691.79810795328,154.7300061726939
17.0,33.0,237722.03990059317,162.4189839773815
17.0,34.0,237742.0490102291,167.50576376993837
18.0,22.0,237412.53147154153,83.68018154324855
