[2026-09-09T23:16:37.148263+01:00] Protocol frozen before candidate performance
[2026-09-09T23:17:29.814197+01:00] Fit 112/240 A03_daily_q90 any_gt100 fold_2
[2026-09-09T23:17:30.211674+01:00] Fit 113/240 A03_daily_q90 any_gt100 fold_3
[2026-09-09T23:17:30.559166+01:00] Fit 114/240 A03_daily_q90 any_gt100 fold_4
[2026-09-09T23:17:31.000100+01:00] Fit 115/240 A03_daily_q90 any_gt1000 full
[2026-09-09T23:17:31.440549+01:00] Fit 116/240 A03_daily_q90 any_gt1000 fold_0
[2026-09-09T23:17:31.780221+01:00] Fit 117/240 A03_daily_q90 any_gt1000 fold_1
[2026-09-09T23:17:32.037201+01:00] Fit 118/240 A03_daily_q90 any_gt1000 fold_2
[2026-09-09T23:17:32.430330+01:00] Fit 119/240 A03_daily_q90 any_gt1000 fold_3
[2026-09-09T23:17:32.908507+01:00] Fit 120/240 A03_daily_q90 any_gt1000 fold_4
[2026-09-09T23:17:33.123445+01:00] Fit 121/240 A03_daily_q90 wthr_gt0 full
[2026-09-09T23:17:33.369590+01:00] Fit 122/240 A03_daily_q90 wthr_gt0 fold_0
[2026-09-09T23:17:33.667588+01:00] Fit 123/240 A03_daily_q90 wthr_gt0 fold_1
[2026-09-09T23:17:34.034262+01:00] Fit 124/240 A03_daily_q90 wthr_gt0 fold_2
[2026-09-09T23:17:34.368178+01:00] Fit 125/240 A03_daily_q90 wthr_gt0 fold_3
[2026-09-09T23:17:34.599174+01:00] Fit 126/240 A03_daily_q90 wthr_gt0 fold_4
[2026-09-09T23:17:35.005230+01:00] Fit 127/240 A03_daily_q90 wthr_gt5 full
[2026-09-09T23:17:35.355912+01:00] Fit 128/240 A03_daily_q90 wthr_gt5 fold_0
[2026-09-09T23:17:35.675457+01:00] Fit 129/240 A03_daily_q90 wthr_gt5 fold_1
[2026-09-09T23:17:35.964722+01:00] Fit 130/240 A03_daily_q90 wthr_gt5 fold_2
[2026-09-09T23:17:36.342350+01:00] Fit 131/240 A03_daily_q90 wthr_gt5 fold_3
[2026-09-09T23:17:36.732316+01:00] Fit 132/240 A03_daily_q90 wthr_gt5 fold_4
[2026-09-09T23:17:37.099634+01:00] Fit 133/240 A03_daily_q90 wthr_gt100 full
[2026-09-09T23:17:37.335800+01:00] Fit 134/240 A03_daily_q90 wthr_gt100 fold_0
[2026-09-09T23:17:37.713998+01:00] Fit 135/240 A03_daily_q90 wthr_gt100 fold_1
[2026-09-09T23:17:38.055893+01:00] Fit 136/240 A03_daily_q90 wthr_gt100 fold_2
[2026-09-09T23:17:38.415692+01:00] Fit 137/240 A03_daily_q90 wthr_gt100 fold_3
[2026-09-09T23:17:38.722719+01:00] Fit 138/240 A03_daily_q90 wthr_gt100 fold_4
[2026-09-09T23:17:39.190264+01:00] Fit 139/240 A03_daily_q90 wthr_gt1000 full
[2026-09-09T23:17:39.613095+01:00] Fit 140/240 A03_daily_q90 wthr_gt1000 fold_0
[2026-09-09T23:17:40.008847+01:00] Fit 141/240 A03_daily_q90 wthr_gt1000 fold_1
[2026-09-09T23:17:40.473164+01:00] Fit 142/240 A03_daily_q90 wthr_gt1000 fold_2
[2026-09-09T23:17:40.881096+01:00] Fit 143/240 A03_daily_q90 wthr_gt1000 fold_3
[2026-09-09T23:17:41.278846+01:00] Fit 144/240 A03_daily_q90 wthr_gt1000 fold_4
[2026-09-09T23:17:41.487949+01:00] Fit 145/240 A04_top3_mean any_gt0 full
[2026-09-09T23:17:41.736802+01:00] Fit 146/240 A04_top3_mean any_gt0 fold_0
[2026-09-09T23:17:41.962712+01:00] Fit 147/240 A04_top3_mean any_gt0 fold_1
[2026-09-09T23:17:42.167216+01:00] Fit 148/240 A04_top3_mean any_gt0 fold_2
[2026-09-09T23:17:42.351233+01:00] Fit 149/240 A04_top3_mean any_gt0 fold_3
[2026-09-09T23:17:42.576281+01:00] Fit 150/240 A04_top3_mean any_gt0 fold_4
[2026-09-09T23:17:42.779034+01:00] Fit 151/240 A04_top3_mean any_gt5 full
[2026-09-09T23:17:43.035010+01:00] Fit 152/240 A04_top3_mean any_gt5 fold_0
[2026-09-09T23:17:43.251593+01:00] Fit 153/240 A04_top3_mean any_gt5 fold_1
[2026-09-09T23:17:43.435484+01:00] Fit 154/240 A04_top3_mean any_gt5 fold_2
[2026-09-09T23:17:43.594533+01:00] Fit 155/240 A04_top3_mean any_gt5 fold_3
[2026-09-09T23:17:43.772358+01:00] Fit 156/240 A04_top3_mean any_gt5 fold_4
[2026-09-09T23:17:43.943955+01:00] Fit 157/240 A04_top3_mean any_gt100 full
[2026-09-09T23:17:44.187458+01:00] Fit 158/240 A04_top3_mean any_gt100 fold_0
