Incident Reference,source_row_used,earliest_source_row,time_used,earliest_recorded_start,lag_hours,hour_diff,date_diff,gust_0h_used,gust_0h_earliest,gust_0h_delta,precipitation_24h_sum_used,precipitation_24h_sum_earliest,precipitation_24h_sum_delta,temperature_0h_used,temperature_0h_earliest,temperature_0h_delta,pressure_msl_0h_used,pressure_msl_0h_earliest,pressure_msl_0h_delta,earliest_weather_status,coordinate_diff,lad_diff,current_date,temporal_partition_change
FREP-215657-J,237550,237550,2022-08-07 09:00:00+00:00,2022-08-07 09:00:00+00:00,0.0,False,False,4.199999809265137,4.199999809265137,0.0,0.0,0.0,0.0,20.25,20.25,0.0,1026.9000244140625,1026.9000244140625,0.0,matched,False,False,2022-08-07,False
FREP-215659-J,237551,237551,2022-11-12 10:00:00+00:00,2022-11-12 10:00:00+00:00,0.0,False,False,4.400000095367432,4.400000095367432,0.0,0.0,0.0,0.0,13.699999809265137,13.699999809265137,0.0,1027.800048828125,1027.800048828125,0.0,matched,False,False,2022-11-12,False
FREP-217556-J,237552,237552,2022-08-17 09:00:00+00:00,2022-08-17 09:00:00+00:00,0.0,False,False,6.400000095367432,6.400000095367432,0.0,4.5,4.5,0.0,21.75,21.75,0.0,1011.5,1011.5,0.0,matched,False,False,2022-08-17,False
FREP-21598-U,237554,237554,2023-05-31 11:00:00+00:00,2023-05-31 11:00:00+00:00,0.0,False,False,13.399999618530272,13.399999618530272,0.0,0.0,0.0,0.0,16.200000762939453,16.200000762939453,0.0,1026.0999755859375,1026.0999755859375,0.0,matched,False,False,2023-05-31,False
FREP-216295-Z,237555,237555,2021-05-14 15:40:00+00:00,2021-05-14 15:40:00+00:00,0.0,False,False,5.400000095367432,5.400000095367432,0.0,5.5,5.5,0.0,11.850000381469728,11.850000381469728,0.0,1009.7999877929688,1009.7999877929688,0.0,matched,False,False,2021-05-14,False
FREP-21983-U,237570,237570,2023-08-02 14:00:00+00:00,2023-08-02 14:00:00+00:00,0.0,False,False,13.5,13.5,0.0,9.700000762939451,9.700000762939451,0.0,17.100000381469727,17.100000381469727,0.0,985.2000122070312,985.2000122070312,0.0,matched,False,False,2023-08-02,False
FREP-21991-U,237571,237571,2023-08-23 12:00:00+00:00,2023-08-23 12:00:00+00:00,0.0,False,False,5.800000190734863,5.800000190734863,0.0,0.0,0.0,0.0,23.39999961853028,23.39999961853028,0.0,1019.9000244140624,1019.9000244140624,0.0,matched,False,False,2023-08-23,False
FREP-222455-J,237572,237572,2021-07-15 18:20:00+00:00,2021-07-15 18:20:00+00:00,0.0,False,False,9.800000190734863,9.800000190734863,0.0,0.0,0.0,0.0,19.75,19.75,0.0,1023.5,1023.5,0.0,matched,False,False,2021-07-15,False
FREP-220107-J,237573,237573,2022-11-14 09:00:00+00:00,2022-11-14 09:00:00+00:00,0.0,False,False,4.0,4.0,0.0,0.0,0.0,0.0,10.25,10.25,0.0,1009.5999755859376,1009.5999755859376,0.0,matched,False,False,2022-11-14,False
FREP-22019-U,237574,237574,2023-08-04 11:46:00+00:00,2023-08-04 11:46:00+00:00,0.0,False,False,8.199999809265137,8.199999809265137,0.0,0.5,0.5,0.0,18.350000381469727,18.350000381469727,0.0,1017.5,1017.5,0.0,matched,False,False,2023-08-04,False
FREP-21905-U,237580,237580,2023-07-15 18:51:00+00:00,2023-07-15 18:51:00+00:00,0.0,False,False,19.100000381469727,19.100000381469727,0.0,6.300000190734863,6.300000190734863,0.0,17.049999237060547,17.049999237060547,0.0,1003.5999755859376,1003.5999755859376,0.0,matched,False,False,2023-07-15,False
FREP-219082-J,237581,237581,2022-04-24 11:54:00+00:00,2022-04-24 11:54:00+00:00,0.0,False,False,11.800000190734863,11.800000190734863,0.0,0.0,0.0,0.0,16.450000762939453,16.450000762939453,0.0,1008.2000122070312,1008.2000122070312,0.0,matched,False,False,2022-04-24,False
FREP-220691-Z,237589,237589,2021-07-29 16:37:00+00:00,2021-07-29 16:37:00+00:00,0.0,False,False,12.300000190734863,12.300000190734863,0.0,1.5999999046325684,1.5999999046325684,0.0,19.600000381469727,19.600000381469727,0.0,1009.7000122070312,1009.7000122070312,0.0,matched,False,False,2021-07-29,False
FREP-222972-Z,237590,237590,2021-04-15 10:35:00+00:00,2021-04-15 10:35:00+00:00,0.0,False,False,10.300000190734863,10.300000190734863,0.0,0.1000000014901161,0.1000000014901161,0.0,8.100000381469727,8.100000381469727,0.0,1034.4000244140625,1034.4000244140625,0.0,matched,False,False,2021-04-15,False
FREP-225126-J,237591,237591,2021-06-16 14:00:00+00:00,2021-06-16 14:00:00+00:00,0.0,False,False,8.5,8.5,0.0,0.0,0.0,0.0,25.39999961853028,25.39999961853028,0.0,1010.4000244140624,1010.4000244140624,0.0,matched,False,False,2021-06-16,False
FREP-227787-Z,237593,237593,2022-07-11 17:15:00+00:00,2022-07-11 17:15:00+00:00,0.0,False,False,6.699999809265137,6.699999809265137,0.0,0.0,0.0,0.0,29.0,29.0,0.0,1021.5,1021.5,0.0,matched,False,False,2022-07-11,False
FREP-226599-Z,237594,237594,2021-04-15 10:49:00+00:00,2021-04-15 10:49:00+00:00,0.0,False,False,9.199999809265137,9.199999809265137,0.0,0.1000000014901161,0.1000000014901161,0.0,7.849999904632568,7.849999904632568,0.0,1035.0,1035.0,0.0,matched,False,False,2021-04-15,False
