term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_temperature_sq,gust_low,gust_ramp
incident_year[2022],974.15739249562705,-99.382945360413615,53.078506993169633,-26.489839075316912,-868.38702909704489,681.52125588224715,11704.343262736847,100.45692641943516,253.8034477761243,256.16552351440163,974.15739249562705,0,0,217.45621645259087,70.146116122152037,58.801255954577293,64.036753026785405,60.172137523550248,90.948874499388523,68.526894549572276,62.08275205171433,61.641647263965638,79.050230743966225,88.286218751412292,1281.5487328617903,9022.3636730445487,1462.9836897710463
incident_year[2023],918.72999630342633,108.20953013210948,55.42635744080868,-128.71818266272655,-439.02150305926551,652.53520447473886,11058.73480788013,97.111899701609559,245.68071531174431,248.68599345648238,0,918.72999630342633,0,54.398193233966929,85.510232609976953,65.630651996230668,67.079064009960646,94.593046324541305,85.992511395942685,63.157793048216398,66.619176594332089,74.746919001557387,89.083771957734001,92.934113577482023,955.55677481381008,8335.2735665423261,614.87113287962563
incident_year[2024],259.38476046545759,79.231971997386978,-162.46387358984802,-111.03131666582456,-205.72598132580848,186.1783213350391,3129.9402588207249,26.88052098848755,68.843412369313029,70.289322974627595,0,0,259.38476046545759,71.005047274468225,70.314320678571022,0,0,0,0,0,0,0,0,0,187.24475268069472,2646.2837108007875,473.2452111435843
incident_month[2],342.8594569610259,9.1673572366972831,-222.69106595192068,-142.13117577859694,-659.80655032773961,211.84873119832073,4106.0340450797776,33.750215028920387,86.927129116041002,85.636820860662127,217.45621645259087,54.398193233966936,71.005047274468225,342.8594569610259,0,0,0,0,0,0,0,0,0,0,220.23687051281706,3937.3428510552844,1265.0096959870755
incident_month[3],225.97066941070008,3.9884005763773041,-129.29369235500806,-65.556892308011399,-135.63573986659108,168.99932225785832,2730.2875240784165,24.483430873932118,60.701433706207219,61.400070753722254,70.146116122152037,85.510232609976953,70.314320678571022,0,225.97066941070008,0,0,0,0,0,0,0,0,0,149.51802319496662,2088.1179359531761,193.23710996176004
incident_month[4],169.1360507144083,-49.271952593075873,-80.64787435577891,69.61031092975314,-92.583559523808702,129.86909166005802,2046.5729739109058,18.599064425199678,47.078093008204611,48.171883553736052,58.801255954577279,65.630651996230668,0,0,0,169.1360507144083,0,0,0,0,0,0,0,0,103.15193267305169,1399.9251034976819,85.428930956162063
incident_month[5],194.81743302846363,-14.168321382644283,26.287412616806947,56.279542005529379,-67.517781982741369,147.18313822882612,2351.3410143138126,20.787027018323744,52.314136279088238,53.734869065331964,64.036753026785405,67.079064009960646,0,0,0,0,194.81743302846363,0,0,0,0,0,0,0,65.845739436398304,1611.0089174906191,119.89284816849289
incident_month[6],228.93089774415196,-16.240699486209213,232.68345311786615,77.256276552994478,-40.990858479178215,167.34836939667289,2758.0795610689734,24.48873337419667,62.0479825365991,63.08437785025157,60.172137523550241,94.593046324541305,0,0,0,0,0,228.93089774415196,0,0,0,0,0,0,353.62186157742906,1791.4733325348009,4.2045975080897664
incident_month[7],251.38948749638476,-22.011949748947035,343.5614832684364,33.993209647387665,-77.649144231966304,173.7319231886282,3020.8737863773722,26.129360465890176,66.038668938988465,67.311590221419451,90.948874499388509,85.992511395942685,0,0,0,0,0,0,251.38948749638476,0,0,0,0,0,663.12180043389617,2207.4011946414803,93.788301958192491
incident_month[8],194.44951516753599,-42.678073533088927,210.55516160291305,49.667224869620668,-35.602516119572364,143.14714580430655,2345.6805712707196,20.623050407812958,52.19631189209224,52.760511113133354,68.526894549572276,63.157793048216398,0,0,0,0,0,0,0,194.44951516753599,0,0,0,0,312.22970535617304,1514.480009685039,13.230224221468269
incident_month[9],183.71855017223405,-28.178730302548786,170.94947792265029,19.228551776971695,-42.66520091117232,137.81048570349316,2212.6183453892131,19.100291481319026,48.917353409130072,49.409183585641614,62.08275205171433,66.619176594332089,0,0,0,0,0,0,0,0,183.71855017223405,0,0,0,241.04036913727919,1403.9866990195035,76.007980648299679
incident_month[10],204.98304375219823,127.99466465476969,56.025235405831751,-84.861162024221542,-67.32455842202171,144.64209300740697,2461.5567593839678,21.550240327884271,53.924860775723268,54.64973137980455,61.641647263965638,74.746919001557387,0,0,0,0,0,0,0,0,0,204.98304375219823,0,0,68.229530347727092,1873.8871514015632,125.5269803592017
incident_month[11],222.89944723715229,90.890176621133108,-106.92461373501358,-156.84413752933489,-208.03183643227001,161.59830523477009,2681.9987487212161,23.49736596069177,60.215083619381801,62.914135627958117,79.050230743966239,89.083771957734001,0,0,0,0,0,0,0,0,0,0,222.89944723715229,0,124.79867782807068,2140.5392666389048,245.0592249253254
incident_month[12],234.55389686093372,-2.0656509489867436,-203.08639038174755,-51.373308581484785,-96.134339736008471,169.45027521909981,2823.8670179334363,25.052958882096437,62.849275453471932,64.597131185798517,88.286218751412292,92.934113577482023,0,0,0,0,0,0,0,0,0,0,0,234.55389686093372,296.33610073558117,2207.1074932827273,182.75816335654866
z_temperature_sq,2915.731644539173,-858.72050914442741,1519.1850426405169,570.33334682263296,-989.74395464713473,2115.1475664915379,35097.41728931931,302.84162401566601,768.39715691938989,786.46338905566665,1281.5487328617903,955.55677481381031,187.24475268069472,220.23687051281706,149.51802319496662,103.15193267305172,65.845739436398304,353.62186157742917,663.12180043389606,312.22970535617304,241.04036913727919,68.229530347727092,124.79867782807068,296.33610073558117,11228.218360606032,23148.291218042257,920.76844244556594
gust_low,24652.75976256666,3587.0393193514651,907.11566041603453,-6644.5911275600338,-20874.273690366826,17038.581065236802,296231.36899558653,2554.5787325177776,6483.6927335665423,6520.2251845855935,9022.3636730445505,8335.2735665423261,2646.2837108007875,3937.3428510552849,2088.1179359531761,1399.9251034976819,1611.0089174906188,1791.4733325348009,2207.4011946414803,1514.480009685039,1403.9866990195035,1873.887151401563,2140.5392666389048,2207.1074932827273,23148.291218042257,261914.17203880654,40025.195948191358
gust_ramp,2858.9425677279505,1769.4068969812288,-669.71859267604509,-3944.257026497844,-10805.340065066315,1540.2120225832089,33965.198348542297,268.00753974512861,699.71624943095071,643.71243599360071,1462.9836897710463,614.87113287962563,473.2452111435843,1265.0096959870755,193.23710996176001,85.428930956162063,119.89284816849289,4.2045975080897664,93.788301958192491,13.230224221468271,76.007980648299679,125.5269803592017,245.0592249253254,182.75816335654869,920.76844244556605,40025.195948191358,22197.752595547201
