k1,k2,sse,lr
11.0,18.0,45945.48849640303,28.840105080724022
11.0,19.0,45907.50305047036,20.687456906780096
11.0,20.0,45878.60795136145,14.481310939448665
11.0,21.0,45846.77377082923,7.6393763688170875
11.0,22.0,45824.1155362495,2.766679605671228
11.0,23.0,45815.260777477706,0.861791969019691
11.0,24.0,45811.255350081046,0.0
11.0,25.0,45815.625566531824,0.9402748005173042
11.0,26.0,45826.43193206946,3.2649355186563573
11.0,27.0,45840.15879715961,6.2170625505130355
11.0,28.0,45855.29920153717,9.472163087946816
11.0,29.0,45869.67365314984,12.561593726002023
11.0,30.0,45887.42850979735,16.37622213150327
11.0,31.0,45904.916711950886,20.132117251009152
11.0,32.0,45920.40572246811,23.457456581567538
11.0,33.0,45932.65488360246,26.086437722106673
11.0,34.0,45940.62327292569,27.796280134003858
12.0,18.0,45945.514319430586,28.845645069945334
12.0,19.0,45907.001113076214,20.579683152746746
12.0,20.0,45878.79642331734,14.521803978280253
12.0,21.0,45847.10952382274,7.711562585347106
12.0,22.0,45825.365448033284,3.0355383121510875
12.0,23.0,45818.41236348559,1.539821829161215
12.0,24.0,45816.40486631187,1.1079357787986464
12.0,25.0,45823.082418913706,2.5444483142284757
12.0,26.0,45836.28836359281,5.384768872645323
12.0,27.0,45852.22650249093,8.811637263537161
12.0,28.0,45869.359327108505,12.494047520448655
12.0,29.0,45885.46521763618,15.954481679621766
12.0,30.0,45904.89200928485,20.12681293369165
12.0,31.0,45923.78559198014,24.18293248414402
12.0,32.0,45940.343309784505,27.736211182069052
12.0,33.0,45953.3388444018,30.52415008219336
12.0,34.0,45961.79806284848,32.33848707324825
13.0,18.0,45945.88989655404,28.92621982527974
13.0,19.0,45907.02098552521,20.583950098586765
13.0,20.0,45880.067575408495,14.794905575604325
13.0,21.0,45848.9425428121,8.10564865063172
13.0,22.0,45828.68112179749,3.7487113259189835
13.0,23.0,45824.30876061291,2.8082430600306347
13.0,24.0,45824.89081253895,2.933444062586515
13.0,25.0,45834.38157420236,4.974709187534406
13.0,26.0,45850.37417217234,8.413427838318572
13.0,27.0,45868.78384798877,12.370380363321958
13.0,28.0,45888.06034077663,16.511943728652042
13.0,29.0,45905.96026915332,20.356194041974558
13.0,30.0,45927.008508486884,24.874669302125806
13.0,31.0,45947.18100555107,29.203203960418293
13.0,32.0,45964.64349990954,32.948702646549485
13.0,33.0,45978.22742223109,35.86130961552426
13.0,34.0,45987.05610172529,37.75385625284383
14.0,18.0,45960.30087439956,32.01739374067854
14.0,19.0,45920.1329429517,23.398903186034207
14.0,20.0,45894.24858869787,17.84112275156997
14.0,21.0,45863.669869399426,11.271347579074444
14.0,22.0,45845.06829754133,7.272694888293104
14.0,23.0,45843.4433331636,6.923310356074784
14.0,24.0,45846.68853918241,7.621051652494544
14.0,25.0,45858.8973534306,10.245587150174327
14.0,26.0,45877.4238673363,14.226907691941795
14.0,27.0,45897.94482821211,18.6349556812641
14.0,28.0,45918.9121362604,23.136847073702796
14.0,29.0,45938.08593158324,27.25185425263482
14.0,30.0,45960.067684537185,31.96738192045838
14.0,31.0,45980.7926504028,36.411238357155284
14.0,32.0,45998.48973614919,40.20427026235339
14.0,33.0,46012.117040461424,43.12402797928718
14.0,34.0,46020.92296439263,45.01030691672502
15.0,19.0,45945.70289730544,28.88610186589949
15.0,20.0,45919.731464074765,23.312723239764885
15.0,21.0,45889.041264957246,16.722649220098468
15.0,22.0,45871.814861927065,13.02171041393772
15.0,23.0,45872.69628689112,13.211110428437676
15.0,24.0,45878.272490608135,14.409237071428926
15.0,25.0,45892.698189970375,17.508128120096718
15.0,26.0,45913.10533913647,21.890275324537086
15.0,27.0,45934.99921691858,26.589511273473107
15.0,28.0,45956.84837239164,31.27691576487189
15.0,29.0,45976.45329274717,35.48095715952579
15.0,30.0,45998.388354795956,40.18254526429794
15.0,31.0,46018.700682186914,44.53431549394215
15.0,32.0,46035.78587614334,48.19320850521075
15.0,33.0,46048.79081131484,50.97738043604003
15.0,34.0,46057.10242766672,52.756367637008466
16.0,20.0,45935.07362639763,26.6054784804711
16.0,21.0,45904.58370372673,20.060611316422744
16.0,22.0,45889.43124951386,16.806417835312615
16.0,23.0,45893.66212889853,17.715164241415216
16.0,24.0,45902.11649761643,19.530818815837634
16.0,25.0,45919.10847010134,23.178992203951648
16.0,26.0,45941.53149106076,27.99114509294334
16.0,27.0,45964.74451152607,32.97036430503864
16.0,28.0,45987.28557059054,37.803041157320145
16.0,29.0,46007.04790286231,42.03802617964414
16.0,30.0,46028.59254331563,46.652880247002756
16.0,31.0,46048.1386627798,50.83778342348642
16.0,32.0,46064.29950232083,54.296543177623306
16.0,33.0,46076.43732068122,56.89349389444412
16.0,34.0,46084.08433861492,58.52926275920929
17.0,21.0,45898.610813817904,18.777981093721912
17.0,22.0,45888.71938147465,16.653508167503627
17.0,23.0,45899.27208648606,18.919992314116005
17.0,24.0,45912.60688099278,21.78326168307177
17.0,25.0,45933.654739045014,26.301001148854954
17.0,26.0,45959.119513949074,31.764026826224654
17.0,27.0,45984.273411749135,37.15738830465888
17.0,28.0,46007.861579545475,42.212354690344036
17.0,29.0,46027.962074972485,46.517864842954594
17.0,30.0,46049.22861087541,51.07109342348023
17.0,31.0,46068.06149395961,55.10151444294395
17.0,32.0,46083.32119198258,58.366030729146765
17.0,33.0,46094.6015478013,60.77854914039599
17.0,34.0,46101.58982068202,62.272827914708905
18.0,22.0,45900.54882509232,19.194171769320366
18.0,23.0,45917.49230295519,22.832059512037063
18.0,24.0,45934.9500509656,26.57896095092659
18.0,25.0,45958.8089056615,31.697409443885242
18.0,26.0,45985.74206896746,37.47219860726986
18.0,27.0,46011.16162552643,42.91935096383898
18.0,28.0,46034.124601579126,47.83749656205275
18.0,29.0,46052.997829133026,51.877874884081585
18.0,30.0,46072.38369369631,56.02627495933043
18.0,31.0,46089.06671494403,59.594893758313496
18.0,32.0,46102.256008551,62.415264789560446
18.0,33.0,46111.806498187565,64.45701794792161
18.0,34.0,46117.56064915477,65.6869660200319
19.0,23.0,45950.973141836446,30.016693365790776
19.0,24.0,45969.72251389243,34.037824006732166
19.0,25.0,45993.47190092871,39.128941484988516
19.0,26.0,46018.958009984184,44.58943380385281
19.0,27.0,46041.965536379124,49.51628406040642
19.0,28.0,46061.90508624586,53.784164330329176
19.0,29.0,46077.523009637654,57.12574948076287
19.0,30.0,46093.09641141138,60.45668126159663
19.0,31.0,46106.002293894824,63.21621549255059
19.0,32.0,46115.85325758629,65.32202758872778
19.0,33.0,46122.754920529886,66.79710821073016
19.0,34.0,46126.714078586534,67.6431926687046
20.0,24.0,45995.733148136744,39.61354429729054
20.0,25.0,46019.435877308315,44.6917897450015
20.0,26.0,46043.04489124319,49.74735751842382
20.0,27.0,46063.07958718933,54.035498012314186
20.0,28.0,46079.49589195166,57.54778355269591
20.0,29.0,46091.55248823158,60.12650805019325
20.0,30.0,46103.11978341991,62.59994445297443
20.0,31.0,46112.18263776872,64.53742236083481
20.0,32.0,46118.70426581319,65.93139546246401
20.0,33.0,46122.99622641166,66.84867811063528
20.0,34.0,46125.26049352935,67.33256543332628
