path,outer_group,task,model,train_n,test_n,config,model_sha256,fit_ids_sha256,model_path,fit_ids_path
B_fivefold,P5,R_log,P00,59565,494,"{""lambda"":0}",dedc6d2c76214fefe1f1f8e227fa651edef41164df45bab68eaa92b0b0b9642b,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\P00\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\P00\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,P02,59565,494,"{""lambda"":0}",5a7668672bec8dcfeeb49bb9f9a61ba5ef48bd1bcedb9bc8cdbd1e01140b173e,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\P02\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\P02\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,S01,3958,494,"{""lambda"":0.1}",572825b9898376d438bf7ea63fc1dbde2b190093d7742048936e964a71aa569f,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S01\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S01\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,S02,3958,494,"{""lambda"":0.1}",c5ead6e5d3b6b64c1c4dadc8b73cc59a9839eca830cccefbbb80872a92a886ca,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S02\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S02\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,S03,3958,494,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",07bd36522340402bf9daa75feceb5675a4cb9efc0d11f9689c634a9604adc7cf,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S03\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S03\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,S04,3958,494,"{""control_lambda"":0.1}",96e5becd594aed444c4480252317a71841f603c0e77bc33d00659e588c2017c4,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S04\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S04\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,G05,59565,494,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",79f8aa17684d989a5818049323f644b85b00aa0371c9418c6180d7e58fdc1fd0,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\G05\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\G05\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,S05,3958,494,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",3e9707e0a0e4cb937f2c790dcc9639dd7b80927338dcd90da5dc5e61f94169e3,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S05\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\S05\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,B00,3958,494,{},c100fd4636448d310f5f1106be5dd02abb9f067ca8e77a7cf6ea281c2cb2c58b,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\B00\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\B00\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,B01,3958,494,"{""lambda"":0.1}",dcde55e7af00c7ad54fc5be2c44a62b539bdfe1a1b53878bf1b3f6a363ba3c91,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\B01\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\B01\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,G02,59565,494,"{""lambda"":0}",fa84e7effe7aa703b946014f670c5d2339a8668a08d23940384c363167533c42,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\G02\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\G02\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,P00,59565,494,"{""lambda"":0}",48c0f9e8a0db4c59d6b40e19a34f3456a795b67a7b9551044e2f0d1b58d3ab0d,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\P00\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\P00\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,P02,59565,494,"{""lambda"":0.001}",4dcedd19cd07afaa9e46f90b2d1fd451fdfafc6bb7852c86e1e91f33b53c823d,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\P02\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\P02\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,S01,3958,494,"{""lambda"":0.1}",34580e2a1d3d306a339ae66a6bdddf91543f8d2971eb43376d29030166330ee5,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S01\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S01\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,S02,3958,494,"{""lambda"":0.1}",c931659c78d255e1ea988048c848e917619ce34199ed0bb0f8d68e27c131886e,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S02\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S02\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,S03,3958,494,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",edba89ed60c6009f6feaa158587b6aa505bcb91b32953ef34f9d053dde50d355,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S03\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S03\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,S04,3958,494,"{""control_lambda"":0.1}",fb6185c5dab3195ad8ce6fb4fff65238a37d4f07f9c15f037e8ddf7343fc4a7c,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S04\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S04\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,G05,59565,494,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",cf1669c52ad4c2a62c920d2afd6280e2cf8c362bed9fad5c1d318367e6cda01a,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\G05\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\G05\outer_P5.fit_ids.parquet
B_fivefold,P5,R_C_log,S05,3958,494,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",84e67491ef4915fc997eac9e5a16a081a02fa0e5e0091f0ab451b8c406f9cdbf,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S05\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_C_log\S05\outer_P5.fit_ids.parquet
