outer_group,inner_validation_group,task,model,config,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
P5,P4,E_log,P02,"{""lambda"":0}",58718,576,ok,576,4.634183092348689,2.152715283624077,1.9162341995632666,0.03482727682517617,2.2801567263537543,2.886706166873707,-0.6065494405199525,0.3163070363308104,0.3343291419140635,0.30811823475528993,-0.7710241987508004,1.056976619275724,2669.289461192845,211.91168090595883,2457.3777802868863
P5,P1,E_log,P02,"{""lambda"":0.001}",59108,270,ok,270,3.845726091703851,1.9610522919350852,1.690602544746335,0.030903778123277492,2.2553727869836906,2.331492197922629,-0.07611941093893856,0.21857023097666223,0.1833205117560658,0.2092137071168316,0.2998899155578576,0.8387258911559635,1038.3460447600398,1.5644244748565699,1036.7816202851832
P5,P2,E_log,P02,"{""lambda"":0.001}",56582,2603,ok,2603,5.402413427073251,2.324309236541741,1.9164638418333186,-0.028204080997698444,3.1054919247043675,2.864916310645726,0.24057561405864136,0.48571811456005265,0.2251648211773644,0.2529381311865669,1.7773998699969777,0.46357097754386056,14062.48215067167,150.65285768543922,13911.829292986233
P5,P3,E_log,P02,"{""lambda"":0.001}",58824,509,ok,509,3.8580255822522402,1.9641857300805952,1.6680093458287342,0.01764930021409805,2.139311737452243,2.2316909022182054,-0.09237916476596261,0.19717989049979784,0.1488543233487828,0.16368701939376237,0.45457178587150104,0.7549163506049079,1963.7350213663904,4.343760232174145,1959.3912611342162
P5,P4,E_log,P02,"{""lambda"":0.001}",58718,576,ok,576,4.607949019723296,2.1466133838498482,1.9146745186245495,0.04029111172579147,2.2801567263537543,2.8864442665146157,-0.6062875401608612,0.29856381791185377,0.34496680203496727,0.31811291267958314,-1.0549005985284143,1.1554206549462511,2654.178635360619,211.7287188600813,2442.449916500538
P5,P1,E_log,P02,"{""lambda"":0.1}",59108,270,ok,270,3.871916865228707,1.9677186956546169,1.7139546927609302,0.024303885394120206,2.2553727869836906,2.4211838216417925,-0.1658110346581019,0.1717976790375196,0.1767964747803233,0.1990168248534148,-0.23626020165484984,1.0290969922923807,1045.417553611751,7.423190787885374,1037.9943628238657
P5,P2,E_log,P02,"{""lambda"":0.1}",56582,2603,ok,2603,5.147225325121246,2.268749727299432,1.902356392302028,0.020364110124848622,3.1054919247043675,2.6735494526159895,0.4319424720883778,0.2948206994779101,0.24216880729408843,0.25567265139362066,0.9094104306697592,0.8214104631151696,13398.227521290602,485.65290080151107,12912.57462048909
P5,P3,E_log,P02,"{""lambda"":0.1}",58824,509,ok,509,3.8773055124434745,1.9690874821712403,1.7088887268445145,0.012740143312104157,2.139311737452243,2.3886799949911,-0.2493682575388563,0.14816526713694184,0.17050838286099051,0.19489499078650918,-0.6095778706763153,1.15079860587973,1973.5485058337285,31.65192468479437,1941.8965811489343
P5,P4,E_log,P02,"{""lambda"":0.1}",58718,576,ok,576,4.604732121048343,2.145863956789513,1.9182206226256642,0.04096110313364254,2.2801567263537543,2.8635265664682894,-0.5833698401145345,0.23901673206085167,0.3534678542597298,0.3233280212922064,-1.9545450969796412,1.4788414652482988,2652.3257017238457,196.02453332462838,2456.301168399218
P5,P1,E_log,S01,"{""lambda"":0}",3688,270,ok,270,34.415349183717815,5.866459680566962,5.528718665892937,-7.672428579990873,2.2553727869836906,7.779333669159194,-5.523960882175504,0.2825071556153623,0.17120572088461655,0.21147315393715393,-2.459079227264487,0.6060225997167858,9292.14427960381,8238.818833507396,1053.3254460964124
P5,P2,E_log,S01,"{""lambda"":0}",1355,2603,ok,2603,777.9688967708604,27.892093803995074,27.80099622403065,-147.06545358792104,3.1054919247043675,-24.695504299326288,27.80099622403065,0.3550116461176803,0.22594740797493792,0.2206481419197944,18.822962734710057,0.6364506923810611,2025053.0382945496,2011846.7028994188,13206.335395130727
P5,P3,E_log,S01,"{""lambda"":0}",3449,509,ok,509,4.242238376841231,2.0596694824270303,1.594683753270854,-0.08018097581296102,2.139311737452243,1.7316753950078294,0.4076363424444138,0.2693263536546409,0.06435708924859447,0.09256015039959065,1.7255178905678,0.23895578124939068,2159.2993338121864,84.57920032986284,2074.720133482323
P5,P4,E_log,S01,"{""lambda"":0}",3382,576,ok,576,5.346129942406686,2.3121699639963076,2.0277653212355147,-0.11345164662969176,2.2801567263537543,3.15867455564942,-0.8785178292956657,0.3777615647535231,0.25147542710598214,0.256952968126821,0.17743080851452353,0.6656988179039904,3079.370846826251,444.55310000085217,2634.817746825399
P5,P1,E_log,S01,"{""lambda"":0.001}",3688,270,ok,270,7.476317007523953,2.7342854656242372,2.421967013020165,-0.8839798760431545,2.2553727869836906,4.144188303888711,-1.8888155169050207,0.28782322938232147,0.17003279980905694,0.20944960721588826,-0.19282412109194658,0.5907542632120177,2018.6055920314673,963.2584953633187,1055.3470966681484
P5,P2,E_log,S01,"{""lambda"":0.001}",1355,2603,ok,2603,144.40478081618133,12.016854031575042,11.808410741767869,-26.483565809070875,3.1054919247043675,-8.702918817063502,11.808410741767869,0.26890281523849924,0.2363734678958981,0.23669512403069878,10.755613028052498,0.8790293537323147,375885.64446452,362958.58273311576,12927.061731404305
P5,P3,E_log,S01,"{""lambda"":0.001}",3449,509,ok,509,4.263112436773545,2.064730596657478,1.5910901957098955,-0.0854960383869916,2.139311737452243,1.703559226825239,0.43575251062700415,0.26790318180293843,0.06462107140832596,0.0931334401544904,1.7283952947876609,0.24121054096273956,2169.9242303177343,96.64904751352832,2073.2751828042065
P5,P4,E_log,S01,"{""lambda"":0.001}",3382,576,ok,576,5.311685400965605,2.3047093962071674,2.0208346254384373,-0.10627779717258146,2.2801567263537543,3.140190328164878,-0.8600336018111234,0.37682104522989085,0.251799436106635,0.2573166158291254,0.1818181014050433,0.6682202050392839,3059.530790956189,426.04289063666727,2633.4879003195215
