path,outer,inner,task,model,config,start_tau,start_h,tau,h,b,objective,success,status,message,iterations,tau_at_bound,h_at_bound,b_at_bound
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",24.17500066757202,2.0,4.599999904632568,19.999999999999996,0.04009670774137719,4.585777137193396,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",24.17500066757202,5.0,4.599999904632568,19.999999999999996,0.04009670774137719,4.585777137193396,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,0.5,29.600000381469727,0.5,0.0,4.600559895404528,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,2.0,29.600000381469727,2.0,0.0,4.600559895404528,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,5.0,4.599999904632568,19.999999999999996,0.04009670774137719,4.585777137193396,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",8.5,0.5,13.088875193176724,0.05000000000000001,0.04933421430968177,4.588958915957617,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",8.5,2.0,13.089168998654364,0.05000000000000001,0.04933459004753682,4.588958915695617,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",8.5,5.0,13.088846193986042,0.05000000000000001,0.04933417720960542,4.588958916007004,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",18.0,0.5,13.089253831888115,0.05000000000000001,0.049334698489873485,4.588958915700693,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",18.0,2.0,13.089056478430727,0.05000000000000001,0.049334446179724045,4.5889589157446915,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",18.0,5.0,13.087756871071925,0.05000000000000001,0.049332781765302425,4.58895892092422,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",23.600000381469727,0.5,13.088119525213147,0.05000000000000001,0.04933324672635209,4.588958918624761,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",23.600000381469727,2.0,13.090207983941061,0.05000000000000001,0.049335916701486404,4.588958918248761,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",23.600000381469727,5.0,13.088083910993948,0.05000000000000001,0.04933320108255512,4.588958918821299,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,0.5,29.600000381469727,0.5,0.0,4.628294791180634,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,2.0,13.089472383418071,0.05000000000000001,0.04933497776526985,4.588958915880391,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.001}",29.600000381469727,5.0,13.087250909960806,0.05000000000000001,0.04933213241263612,4.5889589252371525,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,22,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",6.099999904632568,0.5,13.216142643746869,0.05000000000000001,0.14036669898475984,4.038237644441286,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",6.099999904632568,2.0,13.216027948305193,0.05000000000000001,0.14036567104117859,4.038237644009299,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",6.099999904632568,5.0,13.215491211995404,0.05000000000000001,0.1403608603655615,4.038237643743125,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",12.899999618530273,0.5,13.215617480348795,0.05000000000000001,0.14036199212351064,4.0382376435447815,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",12.899999618530273,2.0,13.216351478909058,0.05000000000000001,0.14036857059731145,4.038237645565436,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",12.899999618530273,5.0,13.215327704690583,0.05000000000000001,0.14035939479706427,4.038237644239448,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",17.34999942779541,0.5,13.215589272693636,0.05000000000000001,0.1403617392969626,4.03823764357513,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",17.34999942779541,2.0,13.21573935644039,0.05000000000000001,0.14036308449183243,4.038237643505854,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",17.34999942779541,5.0,13.215478613610895,0.05000000000000001,0.1403607474435422,4.03823764377175,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",23.52000007629395,0.5,13.2280518503162,0.06214854055156877,0.14047439669924555,4.038249608488987,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,False,False,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",23.52000007629395,2.0,13.215595157547114,0.05000000000000001,0.14036179204327404,4.038237643568135,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23,False,True,False
B_inner,P1,P2,E_log,S04,"{""control_lambda"":0.1}",23.52000007629395,5.0,13.21518212959423,0.05000000000000001,0.14035808992872978,4.0382376449093105,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,26,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",10.600000381469727,0.5,11.024373604187714,0.05000000000000001,0.06827602925563481,4.697167518081818,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",10.600000381469727,2.0,11.024778752442149,0.05000000000000001,0.068276427219923,4.6971675179703505,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",10.600000381469727,5.0,11.024447355593537,0.05000000000000001,0.06827610170934095,4.697167518011408,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",19.100000381469727,0.5,11.024024749711486,0.05000000000000001,0.06827568647884963,4.69716751871744,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",19.100000381469727,2.0,5.372000122070312,19.999999999999996,0.09122732019012014,4.70802154402273,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",19.100000381469727,5.0,5.372000122070312,19.999999999999996,0.09122732019012014,4.70802154402273,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,True,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",24.299999237060547,0.5,5.372000122070312,19.999999999999996,0.09122732019012014,4.70802154402273,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",24.299999237060547,2.0,5.372000122070312,19.999999999999996,0.09122732019012014,4.70802154402273,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,True,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",24.299999237060547,5.0,5.372000122070312,19.999999999999996,0.09122732019012014,4.70802154402273,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,0.5,5.372000122070312,19.999999999999996,0.09122732019012014,4.70802154402273,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,True,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,2.0,5.372000122070312,19.999999999999996,0.09122732019012014,4.70802154402273,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,True,True,False
B_inner,P1,P3,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,5.0,5.372000122070312,19.999999999999996,0.09122732019012014,4.70802154402273,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",8.849999904632568,0.5,9.127663446613928,0.12640644541339058,0.04826725407093968,4.626148712635234,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6,False,False,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",8.849999904632568,2.0,9.002671157780927,0.05417900134245588,0.04816640984166476,4.626141839825392,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,False,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",8.849999904632568,5.0,8.99923537685225,0.05369957838019459,0.04816370385837554,4.626141849413638,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,False,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",18.700000762939453,0.5,4.599999904632568,19.999999999999996,0.0642242842459122,4.631577280977141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",18.700000762939453,2.0,4.599999904632568,19.999999999999996,0.0642242842459122,4.631577280977141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",18.700000762939453,5.0,4.599999904632568,19.999999999999996,0.0642242842459122,4.631577280977141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,True,True,False
