Incident Reference,Spatial Coordinates,Cause Code,licence_area,regulatory_year,substation,SiteFunctionalLocation
FREP-19326-U,1,1,1,1,1,1
FREP-19327-U,1,1,1,1,1,1
FREP-19339-U,1,1,1,1,1,1
FREP-19446-U,1,1,1,1,1,1
FREP-19451-U,1,1,1,1,1,1
FREP-194602-J,1,1,1,1,1,1
FREP-19542-U,1,1,1,1,1,1
FREP-19555-U,1,1,1,1,1,1
FREP-19593-U,1,1,1,1,1,1
FREP-19644-U,1,1,1,1,1,1
FREP-19648-U,1,1,1,1,1,1
FREP-19664-U,1,1,1,1,1,1
FREP-19668-U,1,1,1,1,1,1
FREP-19690-U,1,1,1,1,1,1
FREP-19717-U,1,1,1,1,1,1
FREP-19718-U,1,1,1,1,1,1
FREP-19726-U,1,1,1,1,1,1
FREP-19837-U,1,1,1,1,1,1
FREP-19846-U,1,1,1,1,1,1
FREP-19851-U,1,1,1,1,1,1
FREP-19855-U,1,1,1,1,1,1
FREP-19856-U,1,1,1,1,1,1
FREP-19858-U,1,1,1,1,1,1
FREP-19861-U,1,1,1,1,1,1
FREP-19862-U,1,1,1,1,1,1
FREP-19863-U,1,1,1,1,1,1
FREP-19867-U,1,1,1,1,1,1
FREP-19870-U,1,1,1,1,1,1
FREP-19877-U,1,1,1,1,1,1
FREP-19880-U,1,1,1,1,1,1
FREP-19892-U,1,1,1,1,1,1
FREP-19901-U,1,1,1,1,1,1
FREP-19919-U,1,1,1,1,1,1
FREP-19924-U,1,1,1,1,1,1
FREP-19925-U,1,1,1,1,1,1
FREP-19926-U,1,1,1,1,1,1
FREP-19927-U,1,1,1,1,1,1
FREP-19928-U,1,1,1,1,1,1
FREP-19939-U,1,1,1,1,1,1
FREP-19943-U,1,1,1,1,1,1
FREP-19945-U,1,1,1,1,1,1
FREP-19946-U,1,1,1,1,1,1
FREP-19949-U,1,1,1,1,1,1
FREP-19953-U,1,1,1,1,1,1
FREP-19958-U,1,1,1,1,1,1
FREP-19959-U,1,1,1,1,1,1
FREP-19965-U,1,1,1,1,1,1
FREP-19967-U,1,1,1,1,1,1
FREP-19971-U,1,1,1,1,1,1
FREP-19972-U,1,1,1,1,1,1
FREP-19978-U,1,1,1,1,1,1
FREP-20001-U,1,1,1,1,1,1
FREP-20002-U,1,1,1,1,1,1
FREP-20004-U,1,1,1,1,1,1
FREP-20006-U,1,1,1,1,1,1
FREP-20007-U,1,1,1,1,1,1
FREP-20008-U,1,1,1,1,1,1
FREP-20010-U,1,1,1,1,1,1
FREP-20012-U,1,1,1,1,1,1
FREP-20019-U,1,1,1,1,1,1
FREP-20036-U,1,1,1,1,1,1
FREP-20042-U,1,1,1,1,1,1
FREP-20052-U,1,1,1,1,1,1
FREP-20053-U,1,1,1,1,1,1
FREP-20313-U,1,1,1,1,1,1
FREP-20337-U,1,1,1,1,1,1
FREP-20384-U,1,1,1,1,1,1
FREP-20417-U,1,1,1,1,1,1
FREP-204445-Z,1,1,1,1,1,1
FREP-20476-U,1,1,1,1,1,1
FREP-20497-U,1,1,1,1,1,1
FREP-20670-U,1,1,1,1,1,1
FREP-20671-U,1,1,1,1,1,1
FREP-20683-U,1,1,1,1,1,1
FREP-20686-U,1,1,1,1,1,1
FREP-20687-U,1,1,1,1,1,1
FREP-20689-U,1,1,1,1,1,1
FREP-20691-U,1,1,1,1,1,1
FREP-20694-U,1,1,1,1,1,1
FREP-20700-U,1,1,1,1,1,1
FREP-20702-U,1,1,1,1,1,1
FREP-20704-U,1,1,1,1,1,1
FREP-20706-U,1,1,1,1,1,1
FREP-20707-U,1,1,1,1,1,1
FREP-20711-U,1,1,1,1,1,1
FREP-20719-U,1,1,1,1,1,1
FREP-20816-U,1,1,1,1,1,1
FREP-20838-U,1,1,1,1,1,1
FREP-20839-U,1,1,1,1,1,1
FREP-20856-U,1,1,1,1,1,1
FREP-20878-U,1,1,1,1,1,1
FREP-20881-U,1,1,1,1,1,1
FREP-20903-U,1,1,1,1,1,1
FREP-20925-U,1,1,1,1,1,1
FREP-20939-U,1,1,1,1,1,1
FREP-21111-U,1,1,1,1,1,1
FREP-21319-U,1,1,1,1,1,1
FREP-21321-U,1,1,1,1,1,1
FREP-21322-U,1,1,1,1,1,1
FREP-21323-U,1,1,1,1,1,1
FREP-21324-U,1,1,1,1,1,1
FREP-21331-U,1,1,1,1,1,1
FREP-21344-U,1,1,1,1,1,1
FREP-21345-U,1,1,1,1,1,1
FREP-21347-U,1,1,1,1,1,1
FREP-21348-U,1,1,1,1,1,1
FREP-21349-U,1,1,1,1,1,1
FREP-213495-J,1,1,1,1,1,1
FREP-21352-U,1,1,1,1,1,1
FREP-21358-U,1,1,1,1,1,1
FREP-21360-U,1,1,1,1,1,1
FREP-21363-U,1,1,1,1,1,1
FREP-21364-U,1,1,1,1,1,1
FREP-21365-U,1,1,1,1,1,1
FREP-21496-U,1,1,1,1,1,1
FREP-21524-U,1,1,1,1,1,1
FREP-21531-U,1,1,1,1,1,1
FREP-216673-J,1,1,1,1,1,1
FREP-21671-U,1,1,1,1,1,1
FREP-21672-U,1,1,1,1,1,1
FREP-21673-U,1,1,1,1,1,1
FREP-21677-U,1,1,1,1,1,1
FREP-21679-U,1,1,1,1,1,1
FREP-21680-U,1,1,1,1,1,1
FREP-21686-U,1,1,1,1,1,1
FREP-21692-U,1,1,1,1,1,1
FREP-21693-U,1,1,1,1,1,1
