storm,eta_pred,observed
Dudley,3.0881182622326775,936.0
Dudley,2.97083751927067,388.0
Dudley,2.9643234491031314,328.0
Dudley,2.839435653596936,55.0
Dudley,2.8790546887721127,32.0
Dudley,3.327905320443137,2751.0
Dudley,3.216473997681286,35.0
Dudley,2.338944425556418,494.0
Dudley,3.1385435528946664,4.0
Dudley,2.9671381555139225,8.0
Dudley,3.0073724399674435,840.0
Dudley,2.827685635244402,512.0
Dudley,2.85448863949845,562.0
Dudley,2.4427248121342457,1.0
Dudley,2.0993974546823098,1.0
Dudley,2.4391477497760174,10.0
Dudley,2.424478413179126,9.0
Dudley,2.0498667784897426,14.0
Dudley,2.048305932479189,1.0
Dudley,1.8189300498649905,54.0
Dudley,2.179434538972895,13.0
Dudley,2.1128450907135092,16.0
Dudley,2.528648945323828,45.0
Dudley,2.634163258967667,7.0
Dudley,2.685285749621651,1.0
Dudley,2.307005333949656,1.0
Dudley,3.6069771069710233,14.0
Dudley,2.2523756165173565,80.0
Dudley,2.0042004836146914,6.0
Dudley,2.5794217209552843,73.0
Dudley,2.589934482977205,68.0
Dudley,2.8286007031696667,1.0
Dudley,3.1680850696792233,809.0
Dudley,2.888868735388543,527.0
Dudley,3.089634243800951,451.0
Dudley,3.392594726702917,248.0
Dudley,2.774391112402416,1134.0
Dudley,3.2129127952020324,308.0
Dudley,3.457383280888725,531.0
Dudley,2.487378814215719,9.0
Dudley,2.2105697971103315,668.0
Dudley,3.4745726647848065,695.0
Dudley,2.7122126056667306,0.0
Dudley,2.9135496297204746,67.0
Dudley,2.841336250684733,59.0
Dudley,3.0836244900061236,1.0
Dudley,3.0141394040474814,571.0
Dudley,2.23763084100492,2.0
Dudley,2.41912324703251,4.0
Dudley,1.948189728433378,0.0
Dudley,2.338518131207708,3.0
Dudley,2.760786318991179,12.0
Dudley,2.161784094296268,12.0
Dudley,2.8269049370991675,1.0
Dudley,2.290783669849607,136.0
Dudley,2.180183451495219,1.0
Dudley,2.1525616048853013,2.0
Dudley,2.5340354635756133,56.0
Dudley,2.202556619503445,1.0
Dudley,1.9474398826713062,2.0
Dudley,2.0069597417772664,2.0
Dudley,3.0960532886624583,14.0
