storm,eta_pred,observed,in_training_range
Dudley,1.8693784050551836,3.983333333333333,True
Dudley,2.1622977579304843,26.6,True
Dudley,2.280584873380819,3.633333333333333,True
Dudley,2.049720207680959,6.15,True
Dudley,2.5845834222238095,14.483333333333333,True
Dudley,1.7524035038278425,0.0833333333333333,True
Dudley,2.274665419272623,24.45,True
Dudley,2.4856407027718084,9.783333333333331,True
Dudley,2.7815886331874657,0.8,True
Dudley,2.85570871562583,4.983333333333333,True
Dudley,1.3177603744675077,1.4,True
Dudley,1.7887506820038805,1.3666666666666667,True
Dudley,2.784852154939277,0.4166666666666667,True
Dudley,2.004072331813499,10.85,True
Dudley,2.5355226830371267,0.3666666666666666,True
Dudley,1.934806800689939,7.966666666666667,True
Dudley,2.783456915315067,8.016666666666667,True
Dudley,1.9834879713226166,22.916666666666668,True
Dudley,1.8533898782593303,1.0,True
Dudley,1.9719417948986453,12.833333333333334,True
Dudley,2.8017551860856056,7.133333333333334,True
Dudley,2.6772417864996187,5.033333333333333,True
Dudley,2.101937037441744,8.75,True
Dudley,2.281920693041776,1.9666666666666663,True
Dudley,2.400949680522964,8.966666666666667,True
Dudley,2.551215010619614,24.1,True
Dudley,1.7594862466924324,10.8,True
Dudley,2.0172123648936204,24.416666666666668,True
Dudley,1.5258835218990308,6.783333333333333,True
Dudley,2.4908717959172764,2.466666666666667,True
Dudley,2.071416043471381,4.35,True
Dudley,1.732346760877746,1.0,True
Dudley,2.7738386421476777,6.766666666666667,True
Dudley,2.144469447037332,8.516666666666667,True
Dudley,1.7130513156716243,1.0,True
Dudley,2.5951215907133243,1.15,True
Dudley,1.9288973617068594,7.416666666666667,True
Dudley,2.2927363625408272,11.933333333333334,True
Dudley,2.1929473969396027,9.616666666666667,True
Dudley,2.0687297665601427,3.983333333333333,True
Dudley,1.9722428484207215,19.8,True
Dudley,2.319096025710373,1.5833333333333333,True
Dudley,1.7829055582795632,1.0,True
Dudley,2.669782422367661,1.5333333333333334,True
Dudley,2.532355289164346,10.05,True
Dudley,2.2048322790301285,3.033333333333333,True
Dudley,2.078853738075745,4.65,True
Dudley,1.8774899315565035,1.0,True
Dudley,1.7230210731489815,1.4,True
Dudley,2.604551794264494,0.75,True
Dudley,2.0025472396479644,1.0,True
Dudley,1.9809950206679316,1.1166666666666667,True
Dudley,2.233293027031629,1.8,True
Dudley,2.6562204168936363,0.4333333333333333,True
Dudley,2.515026839174236,1.9,True
Dudley,2.2129932232426452,21.2,True
Dudley,2.7088051432650238,3.1,True
Dudley,2.6258364741664146,3.783333333333333,True
Dudley,2.0811691944189805,9.766666666666667,True
Dudley,2.225767490352627,25.28333333333333,True
Dudley,1.601739156403146,1.4166666666666667,True
Dudley,2.5674398963761402,1.4166666666666667,True
Dudley,2.487352358730442,9.733333333333333,True
Dudley,2.191864739041928,2.433333333333333,True
Dudley,2.314064586174856,0.7666666666666667,True
Dudley,1.7937896208001154,6.016666666666667,True
Dudley,2.0405566411328344,5.3,True
Dudley,2.2788031096768018,12.766666666666667,True
Dudley,1.7369810428548276,1.0,True
Dudley,1.7288350690358756,1.0,True
Dudley,2.03865814684287,23.433333333333334,True
Dudley,1.909477296075152,2.933333333333333,True
Dudley,2.39367333848111,4.816666666666666,True
Dudley,2.048718688511467,0.5333333333333333,True
Dudley,2.199190736658915,6.683333333333334,True
Dudley,2.547674830515241,0.9,True
Dudley,2.5718179888771355,24.666666666666668,True
Dudley,2.5087016233525703,0.9,True
Dudley,1.5547135738819753,0.9,True
Dudley,2.4555136296569717,5.1,True
Dudley,2.8995235987449797,2.5,True
Dudley,2.3400668603007255,10.783333333333331,True
Dudley,2.578381658940219,2.566666666666667,True
Dudley,2.2540997803330947,4.783333333333333,True
Dudley,2.401524875047501,4.716666666666667,True
Dudley,1.9227026934171614,4.966666666666667,True
Dudley,1.6528511664683052,1.0,True
Dudley,1.7089250391754967,1.0,True
Dudley,1.7306957066663047,1.0,True
Dudley,1.9297297188678313,0.1666666666666666,True
Dudley,1.9161712490645197,1.0,True
Dudley,2.672189071193329,6.65,True
Dudley,2.6264156708036466,1.1333333333333333,True
Dudley,2.5420227708753425,8.616666666666667,True
Dudley,2.064246570334847,4.316666666666666,True
Dudley,2.081952471629723,2.433333333333333,True
Dudley,2.2675743217073703,1.933333333333333,True
Dudley,1.9146972787081007,1111.5333333333333,False
Dudley,2.9161442206870265,3.866666666666666,True
Dudley,2.245815210466203,15.566666666666666,True
Dudley,2.151763305769288,3.0,True
Dudley,2.4358803874013994,2.45,True
Dudley,2.0658848137705763,16.716666666666665,True
Dudley,1.8901681748482775,4.666666666666667,True
Dudley,2.1354582927355006,10.9,True
Dudley,2.046511478843598,27.65,True
Dudley,2.566021028547067,5.533333333333333,True
Dudley,2.445116166625501,2.45,True
Dudley,1.6173424953792022,1.0,True
Dudley,1.824708311834111,3.933333333333333,True
Dudley,2.142360736826029,4.8,True
Dudley,1.8394392455716033,138.85,True
Dudley,2.0084385749666063,2.583333333333333,True
Dudley,1.8621656383659504,3.1666666666666665,True
Dudley,2.131300530349355,6.166666666666667,True
Dudley,1.8992936575388353,6.7,True
Dudley,2.0582286083524597,7.666666666666667,True
Dudley,2.534954781780906,18.466666666666665,True
Dudley,2.283132481244574,3.816666666666667,True
Dudley,2.47830860842307,4.066666666666666,True
Dudley,1.9538347265881135,5.9,True
Dudley,2.5364140054394255,13.333333333333334,True
Dudley,2.079332815480328,22.15,True
Dudley,2.512864431375424,18.55,True
Dudley,2.030227942074507,10.916666666666666,True
Dudley,2.0284140244217905,165.96666666666667,True
Dudley,2.2367442375630704,0.4333333333333333,True
Dudley,2.1831734738427118,14.316666666666666,True
Dudley,2.160416560903029,8.2,True
Dudley,2.011567762816289,2.583333333333333,True
Dudley,1.6635531564271748,1.0,True
Dudley,1.8682628714809926,3.0,True
Dudley,2.018277309542051,13.183333333333334,True
Dudley,2.0798011640027045,6.35,True
Dudley,2.0434832838039236,20.7,True
Dudley,1.9340527920512491,1.0,True
Dudley,2.450332461094408,2.7666666666666666,True
Dudley,2.6535314944298287,0.9333333333333332,True
Dudley,2.650125921244852,56.4,True
Dudley,2.0909827180213743,21.0,True
Dudley,2.4014463022335737,5.35,True
Dudley,2.0284140244217905,165.96666666666667,True
Dudley,2.7397994949401543,0.7333333333333333,True
Dudley,1.6254653536431574,7.083333333333333,True
Dudley,2.722038813305194,4.066666666666666,True
Dudley,2.738538878843956,8.383333333333333,True
Dudley,3.060052172161073,0.65,True
Dudley,1.4929080824929868,0.1333333333333333,True
Dudley,1.8685420948743372,1.7166666666666666,True
Dudley,2.357889875241189,7.6,True
Dudley,2.309920233452467,2.1166666666666667,True
Dudley,2.2334412007493674,3.1,True
Dudley,2.6921677586124493,2.8666666666666667,True
Dudley,1.5610864184013964,4.1,True
Dudley,2.114458316341697,6.25,True
Dudley,2.3653542382465966,23.766666666666666,True
Dudley,1.7594862466924324,10.8,True
Dudley,1.9062909564178392,3.6,True
Dudley,2.0881047228023824,18.683333333333334,True
Dudley,2.445985238230034,6.333333333333333,True
Dudley,2.7832412266918296,3.0166666666666666,True
Dudley,1.933700855423221,6.083333333333333,True
Dudley,2.2141075899334264,4.633333333333334,True
Dudley,1.4333247197517092,0.6166666666666667,True
Dudley,2.13316593872347,3.316666666666667,True
Dudley,2.013923961215446,2.95,True
Eunice,2.9727252108894926,28.966666666666665,True
Eunice,1.3585926541465252,5.233333333333333,True
Eunice,3.5364941151175606,128.71666666666667,True
Eunice,3.7978545699051827,129.68333333333334,True
Eunice,2.198566083089061,45.9,True
Eunice,1.0699039026613215,112.46666666666668,True
Eunice,2.633018908236919,34.38333333333333,True
Eunice,2.8241382144496874,143.35,True
Eunice,2.55448640089017,90.48333333333332,True
