Incident Reference,new_source_row,new_start_utc,new_stage,old_source_row,old_start_utc,old_stage,representative_row_changed,time_diff_hours_old_minus_new,new_gust_0h,old_gust_0h,gust_0h_diff,lat,lon,weather_status_v3,cause_group_official,cache_status,lat_r,lon_r,recomputed_gust_0h,recomputed_pressure_msl_0h,recomputed_temperature_0h,recomputed_precip_24h_sum
FREP-233061-Z,207321,2021-04-25 10:15:00+00:00,1,14,2021-04-25 14:56:00+00:00,3,True,4.683333333333334,,,,51.7043064090065,0.115333755355965,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.7,0.1,,,,
FREP-351183-G,182862,2024-02-04 12:20:00+00:00,1,54623,2024-02-04 12:39:00+00:00,2,True,0.3166666666666666,,,,51.1594569320356,-0.319453087918898,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.2,-0.3,,,,
FREP-304061-G,187027,2022-12-30 15:44:00+00:00,1,59845,2022-12-30 18:31:00+00:00,5,True,2.783333333333333,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-311846-G,111603,2023-03-08 06:45:00+00:00,1,62375,2023-03-08 15:15:00+00:00,2,True,8.5,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-329076-G,222465,2023-08-15 09:15:00+00:00,1,54283,2023-08-15 10:30:00+00:00,3,True,1.25,,,,51.0918308945304,-0.0756676219650012,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.1,-0.1,,,,
FREP-289000-G,138252,2022-08-24 17:22:00+00:00,1,99303,2022-08-24 17:36:00+00:00,2,True,0.2333333333333333,,,,51.3178958672932,0.0324546277819278,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.3,0.0,,,,
FREP-276521-J,42651,2021-10-30 06:46:00+00:00,2,5503,2021-10-30 17:50:00+00:00,6,True,11.066666666666666,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-305180-G,118874,2023-01-07 12:54:00+00:00,1,59928,2023-01-07 22:11:00+00:00,2,True,9.283333333333331,,,,,,invalid_time_or_coordinate,weather_natural,no_coordinates,,,,,,
FREP-299497-G,90269,2022-11-24 15:30:00+00:00,1,16746,2022-11-24 18:30:00+00:00,2,True,3.0,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-387669-Z,202924,2023-07-27 10:03:00+00:00,2,202923,2023-07-27 10:04:00+00:00,1,True,0.0166666666666666,,,,51.7564133892486,0.101061384135965,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.8,0.1,,,,
FREP-58615-C,65604,2021-12-19 08:08:00+00:00,1,2558,2021-12-19 10:14:00+00:00,2,True,2.1,,,,51.9662267741936,-0.430497829998899,weather_request_unavailable,external_or_customer,not_found_needs_new_request,52.0,-0.4,,,,
FREP-290743-G,79512,2022-09-09 14:55:00+00:00,1,33262,2022-09-09 15:27:00+00:00,3,True,0.5333333333333333,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-250530-G,103947,2021-05-11 10:47:00+00:00,1,69265,2021-05-11 12:50:00+00:00,4,True,2.05,,,,51.095059176549,0.533218964088187,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.1,0.5,,,,
FREP-292601-G,50699,2022-09-27 20:01:00+00:00,7,50698,2022-09-27 20:34:00+00:00,4,True,0.55,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-253257-G,101503,2021-06-25 09:58:00+00:00,2,20139,2021-06-25 11:00:00+00:00,1,True,1.0333333333333334,,,,,,invalid_time_or_coordinate,external_or_customer,no_coordinates,,,,,,
FREP-410030-Z,201907,2023-11-25 14:07:00+00:00,1,84593,2023-11-25 18:25:00+00:00,3,True,4.3,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-297168-G,78347,2022-11-05 18:53:00+00:00,1,16560,2022-11-05 21:38:00+00:00,3,True,2.75,,,,51.0470823089683,0.40528412380319,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.0,0.4,,,,
FREP-294829-Z,64828,2022-03-17 07:18:00+00:00,1,50881,2022-03-17 10:28:00+00:00,3,True,3.1666666666666665,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-301866-G,63691,2022-12-14 08:21:00+00:00,1,49940,2022-12-14 10:21:00+00:00,5,True,2.0,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-335230-Z,224313,2022-10-21 06:20:00+00:00,1,71625,2022-10-22 14:45:00+00:00,3,True,32.416666666666664,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-295155-J,216893,2022-08-19 03:56:00+00:00,1,117557,2022-08-19 08:30:00+00:00,2,True,4.566666666666666,,,,,,invalid_time_or_coordinate,third_party,no_coordinates,,,,,,
FREP-302620-G,137280,2022-12-19 11:58:00+00:00,3,30964,2022-12-20 00:51:00+00:00,10,True,12.883333333333333,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-298978-G,96552,2022-11-21 05:15:00+00:00,3,10707,2022-11-21 09:13:00+00:00,2,True,3.966666666666667,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-268501-Z,106472,2021-11-06 07:55:00+00:00,1,99530,2021-11-06 12:52:00+00:00,3,True,4.95,,,,51.5925620352751,0.612674239747208,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.6,0.6,,,,
FREP-306396-G,14308,2023-01-16 07:48:00+00:00,2,14306,2023-01-16 11:51:00+00:00,10,True,4.05,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-287287-G,227888,2022-08-08 10:33:00+00:00,1,16035,2022-08-09 11:57:00+00:00,2,True,25.4,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-349566-Z,116823,2022-12-29 10:36:00+00:00,2,53412,2022-12-29 11:18:00+00:00,1,True,0.7,,,,52.5758281720386,0.815522640736117,weather_request_unavailable,external_or_customer,not_found_needs_new_request,52.6,0.8,,,,
FREP-349601-Z,194734,2022-12-29 11:36:00+00:00,1,75323,2022-12-29 14:34:00+00:00,2,True,2.966666666666667,,,,51.7693269922491,-0.448133912648973,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.8,-0.4,,,,
FREP-269365-G,63859,2022-02-21 07:46:00+00:00,2,32480,2022-02-22 22:17:00+00:00,3,True,38.516666666666666,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-396379-Z,127610,2023-09-07 20:00:00+00:00,2,3942,2023-09-07 20:13:00+00:00,1,True,0.2166666666666666,,,,51.857471175924,0.519827025455693,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.9,0.5,,,,
FREP-276934-Z,106128,2021-12-31 07:01:00+00:00,1,5560,2021-12-31 09:31:00+00:00,3,True,2.5,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-345063-Z,57615,2022-12-08 13:04:00+00:00,4,26178,2022-12-08 13:25:00+00:00,3,True,0.35,,,,52.3393816340189,0.124567063805875,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,52.3,0.1,,,,
FREP-243665-Z,122604,2021-06-18 16:01:00+00:00,1,11459,2021-06-18 23:21:00+00:00,3,True,7.333333333333333,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-256431-G,230308,2021-10-10 21:36:00+00:00,1,180184,2021-10-11 20:44:00+00:00,2,True,23.133333333333333,,,,,,invalid_time_or_coordinate,human_error,no_coordinates,,,,,,
FREP-309259-G,107172,2023-02-09 17:10:00+00:00,1,9018,2023-02-09 17:43:00+00:00,2,True,0.55,,,,51.1511090372096,-0.504034443005657,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.2,-0.5,,,,
FREP-79877-C,180448,2023-09-20 22:13:00+00:00,1,73090,2023-09-21 01:41:00+00:00,2,True,3.466666666666667,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-284650-Z,149470,2022-02-14 09:50:00+00:00,2,102639,2022-02-14 11:16:00+00:00,1,True,1.4333333333333331,,,,,,invalid_time_or_coordinate,third_party,no_coordinates,,,,,,
FREP-280726-G,99388,2022-06-01 10:16:00+00:00,1,5850,2022-06-01 10:49:00+00:00,2,True,0.55,,,,51.0482500947197,0.168254198204291,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.0,0.2,,,,
FREP-75221-V,214654,2021-11-14 19:16:00+00:00,2,7105,2021-11-14 23:11:00+00:00,1,True,3.9166666666666665,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-228620-Z,55950,2021-04-01 00:07:00+00:00,7,784,2021-04-01 00:08:00+00:00,6,True,0.0166666666666666,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-59307-V,139792,2021-05-17 12:29:00+00:00,2,101862,2021-05-17 22:38:00+00:00,1,True,10.15,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-327705-G,210400,2023-08-02 22:05:00+00:00,1,193157,2023-08-03 00:10:00+00:00,2,True,2.083333333333333,,,,51.4473417111624,0.31912761433966,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.4,0.3,,,,
