path,task,model,config,split,start_tau,start_h,tau,h,b,objective,success,status,message,iterations,tau_at_bound,h_at_bound,b_at_bound
development,E_log,S04,"{""control_lambda"":0.1}",P2,14.100000381469727,5.0,12.62638548114531,0.05000000000000001,0.04963016266539577,3.7850786024824856,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,18.0,0.5,12.62698015944306,0.05000000000000001,0.04963449039808354,3.7850786047112566,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,18.0,2.0,12.625567528890455,0.05000000000000001,0.04962420095331965,3.7850786039896986,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,18.0,5.0,12.626173860127903,0.05000000000000001,0.049628621260324746,3.7850786023647385,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,11.219999885559082,0.5,12.606202708989862,0.05000000000000001,0.027977825595430827,4.746722059279096,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,11.219999885559082,2.0,12.605417200538245,0.05000000000000001,0.027977459553704564,4.746722058370641,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,11.219999885559082,5.0,12.604381143084941,0.05000000000000001,0.027976974870510762,4.74672205907678,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,20.0,0.5,12.603424169615131,0.05000000000000001,0.027976525275826614,4.746722061654757,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,20.0,2.0,12.601027890557997,0.05000000000000001,0.027975391440122843,4.746722076228629,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,20.0,5.0,12.605300202086985,0.05000000000000001,0.02797740492762113,4.746722058341856,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,25.200000762939453,0.5,12.605062244285126,0.05000000000000001,0.02797729374167135,4.746722058368547,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,25.200000762939453,2.0,12.605300202086985,0.05000000000000001,0.02797740492762113,4.746722058341856,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,25.200000762939453,5.0,12.605300202086985,0.05000000000000001,0.02797740492762113,4.746722058341856,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P3,30.5,0.5,30.5,0.5,0.0,4.75963618469019,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,E_log,S04,"{""control_lambda"":0.1}",P3,30.5,2.0,30.5,2.0,0.0,4.75963618469019,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,E_log,S04,"{""control_lambda"":0.1}",P3,30.5,5.0,12.605300202086985,0.05000000000000001,0.02797740492762113,4.746722058341856,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,8.699999809265137,0.5,11.29240040454411,0.689743401988688,0.03388091248731162,2.512182018425358,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,8.699999809265137,2.0,11.190856562425552,0.057505357830552654,0.03363103850813354,2.5122101495038818,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,8.699999809265137,5.0,11.352744676284736,0.6621216289590529,0.033910409625228066,2.5121820000541457,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,19.0,0.5,11.389135127267531,0.6825484114005715,0.0339432212192321,2.51218205747225,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,19.0,2.0,11.297902535570259,0.6772639332965256,0.033879493995418564,2.5121820467979568,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,19.0,5.0,11.282038001512277,0.682335509828488,0.03387087288534252,2.512182093900391,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,24.399999618530273,0.5,11.246308140466837,0.7039358181995885,0.033855750931033546,2.512182253517286,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,7,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,24.399999618530273,2.0,11.317191598831913,0.6969408083419114,0.03390055445964002,2.512181981732854,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,24.399999618530273,5.0,12.759785644063344,0.05000000000000001,0.03483042169094119,2.5121667097519844,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21,False,True,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,30.30999927520751,0.5,11.372848289169466,0.6516907399004637,0.03391982811448191,2.5121820777810475,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,30.30999927520751,2.0,29.996997456767847,13.549801106916037,0.08272581028755921,2.5135235663161484,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P1,30.30999927520751,5.0,30.369244716877983,13.666516772030937,0.0838727667775796,2.5135262488992494,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,False,False,False
development,R_log,S04,"{""control_lambda"":0.001}",P2,5.400000095367432,0.5,5.400000095367432,0.5,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,5.400000095367432,2.0,5.400000095367432,2.0,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,5.400000095367432,5.0,5.400000095367432,4.999999999999999,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,10.800000190734863,0.5,10.800000190734863,0.5,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,10.800000190734863,2.0,10.800000190734863,2.0,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,10.800000190734863,5.0,10.800000190734863,4.999999999999999,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,14.100000381469727,0.5,14.100000381469727,0.5,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,14.100000381469727,2.0,14.100000381469727,2.0,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,14.100000381469727,5.0,14.100000381469727,4.999999999999999,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,R_log,S04,"{""control_lambda"":0.001}",P2,18.0,0.5,18.0,0.5,0.0,1.158099906958625,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
