task,model,episode,n,mse,rmse,mae,r2
R_C_log,S02,P3,509,1.7530516195703199,1.324028556931579,1.058903837345594,-0.267524102614771
R_C_log,S02,P4,576,2.2036258743720016,1.484461476216881,1.158810230210416,-0.2626042323407738
R_C_log,S02,P5,494,2.3450935515667406,1.5313698284760415,1.243927528614196,-0.19601635950363927
R_C_log,S03,P1,270,9.907345645411244,3.1475936277434613,2.9563044613344975,-7.490523766939134
R_C_log,S03,P2,2603,4.081188010751701,2.0201950427500064,1.7615640255345675,-0.32906829991271525
R_C_log,S03,P3,509,1.6646554677790386,1.2902152796254733,1.0312118643452655,-0.20361026703626983
R_C_log,S03,P4,576,2.0716098568981343,1.4393088122074895,1.1201229508398785,-0.18696345123641267
R_C_log,S03,P5,494,2.2930788087120204,1.5142915203856953,1.2179078416261457,-0.16948842702603817
R_C_log,S04,P1,270,1.788989717276635,1.3375312023562795,1.047897380316033,-0.533151285620306
R_C_log,S04,P2,2603,4.060270769728457,2.0150113572207125,1.756072817809618,-0.32225644956610333
R_C_log,S04,P3,509,1.7278596665115653,1.314480759277809,1.0517859189303769,-0.2493093465075109
R_C_log,S04,P4,576,2.104302156465469,1.450621300155719,1.130861274077745,-0.20569505004305344
R_C_log,S04,P5,494,2.2956519167483274,1.515140890065451,1.219701443173261,-0.17080073258593353
R_C_log,S05,P1,270,1.0270026527600082,1.0134113936403164,0.765693508818202,0.11986613326576478
R_C_log,S05,P2,2603,5.62841072881651,2.3724271809302198,2.068508525826454,-0.8329325330887727
R_C_log,S05,P3,509,1.2225598992462765,1.105694306418495,0.8018138576224227,0.11604192261904911
R_C_log,S05,P4,576,1.5190252434147908,1.2324874211994177,0.9522080582081193,0.12964912797887373
R_C_log,S05,P5,494,1.859950749379197,1.3638001134254232,1.0147762735109584,0.051410327471848705
R_log,B00,P1,270,1.7455025501506016,1.321174685706096,1.0421166435135258,-0.49588309702011757
R_log,B00,P2,2603,4.558194116758813,2.134992767378572,1.865711492483918,-0.4844087774130612
R_log,B00,P3,509,1.9062553777095959,1.380672074646835,1.066670851765756,-0.3782963433661828
R_log,B00,P4,576,2.6685157369556047,1.6335592235837686,1.2679108765204194,-0.5289706400403817
R_log,B00,P5,494,2.4785141694451442,1.574329752448687,1.16133094581739,-0.26406193558355606
R_log,B01,P1,270,1.7972131870305685,1.3406018003234847,1.0585622266610002,-0.5401987398922599
R_log,B01,P2,2603,4.367505216549557,2.0898577024643465,1.8225497691575046,-0.422309562246872
R_log,B01,P3,509,1.5659654071085745,1.2513853951155793,0.9951283866452406,-0.13225353732457523
R_log,B01,P4,576,2.1583499135200617,1.469132367596624,1.1418014850823093,-0.23666261472782657
R_log,B01,P5,494,2.340870220680041,1.5299902681651414,1.247580551406172,-0.19386242716745827
R_log,G02,P1,270,1.2208446028354292,1.1049183693085336,0.8365372570047975,-0.04625501997243675
R_log,G02,P2,2603,4.785178023748269,2.187504976851086,1.9119590024872535,-0.5583277232139572
R_log,G02,P3,509,1.3539753776882613,1.1636044764817044,0.8993738752361666,0.021023450531675536
R_log,G02,P4,576,1.958693417690454,1.3995332856672091,1.0819569125715878,-0.1222660923505281
R_log,G02,P5,494,2.0474364008069226,1.4308865785962641,1.072803134729331,-0.04420884564384475
R_log,G05,P1,270,1.1557403848705974,1.0750536660421177,0.8072611169090942,0.009538825295737019
R_log,G05,P2,2603,4.822379408912694,2.1959916686801644,1.9200049988789556,-0.5704426225042185
R_log,G05,P3,509,1.3365283473091278,1.1560831922094221,0.8961201846998896,0.033638328084468205
R_log,G05,P4,576,1.895081737121159,1.3766196777328004,1.0634081450932213,-0.085818718026613
R_log,G05,P5,494,1.9466351742704533,1.3952186833147173,1.0610682504723792,0.007200581461996758
R_log,P00,P1,270,1.6479572931014088,1.2837278890409014,1.0045269142503281,-0.4122875152194603
R_log,P00,P2,2603,4.943412902073265,2.2233787131465625,1.9454728159782313,-0.6098580521692176
R_log,P00,P3,509,1.5292812077645372,1.2366410990115675,0.9291511444068841,-0.1057294428058475
R_log,P00,P4,576,2.5360239316414828,1.5924898529163327,1.2393144491847499,-0.4530572483500823
R_log,P00,P5,494,2.3658199593104747,1.5381222185868308,1.1265190632843052,-0.20658699226952093
R_log,P02,P1,270,1.6093514084738079,1.2686021474338627,0.9845231538336118,-0.3792025505169141
R_log,P02,P2,2603,4.853521512637303,2.2030709277363956,1.9220611938806709,-0.580584273107899
R_log,P02,P3,509,1.4562790930039156,1.2067638928157884,0.9165537999363396,-0.05294609121029237
R_log,P02,P4,576,2.5865078003363116,1.6082623543241668,1.2600268116889053,-0.4819828237031092
R_log,P02,P5,494,2.4492740520240868,1.5650156714947256,1.1502968383875647,-0.24914924318114484
R_log,S01,P1,270,9.9816946362836,3.1593820022725327,2.9615426548042976,-7.55424031591631
R_log,S01,P2,2603,4.5516652073649855,2.1334631956902808,1.8620476320379142,-0.48228259099737003
R_log,S01,P3,509,1.7604503299269811,1.3268196297639634,1.0566374589820582,-0.2728736562734544
R_log,S01,P4,576,2.1062994398716643,1.4513095603184265,1.1183132739575616,-0.2068394269135443
R_log,S01,P5,494,2.3535444669443866,1.5341266137266463,1.2420173720680927,-0.2003263935479931
R_log,S02,P1,270,8.77886671334596,2.962915238974271,2.75839728575237,-6.523425460681072
R_log,S02,P2,2603,4.381499799135979,2.0932032388509194,1.8259895026846789,-0.4268669989631231
R_log,S02,P3,509,1.7100036024474201,1.3076710604916744,1.039094708214727,-0.23639872178518528
R_log,S02,P4,576,2.048470723854458,1.4312479602970472,1.1015619169536068,-0.1737054986713169
R_log,S02,P5,494,2.3188894516721628,1.5227900221869601,1.2281766921919477,-0.1826520601821715
R_log,S03,P1,270,8.960962550341574,2.9934866878510706,2.7901478934551953,-6.6794802797221395
