Incident Reference,run_id,purpose,input_version,window_list,window_count,was_in_this_fit,tail_excluded_from_fit,model_fold,fit_model_key,model_training_tail_policy,training_threshold_hours,prediction_source,target_scale,y,prediction_eta,squared_error_log
FREP-286152-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Eunice,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,6.0014148779611505,2.259130999374924,14.00468862792637
FREP-286182-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Eunice,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,2.50449267193656,3.2809724891303897
FREP-287202-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Franklin,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,2.9444389791664403,1.9489790918890466,0.9909403871783212
FREP-290198-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Franklin,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,1.8122445818174513,1.2523789935013032
FREP-337137-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,1.0986122886681098,1.3015571148123468,0.0411866024587146
FREP-337209-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,4.804021044733257,1.8866047620185153,8.511317766649102
FREP-402894-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,1.3862943611198906,1.2152870577003865,0.029243497822810337
FREP-403859-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,1.175275550865903,0.23244776545387866
FREP-403915-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.0,1.6743790888823258,2.8035453332864075
FREP-405304-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Ciaran,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,2.1972245773362196,1.9325439833132336,0.0700558168523607
FREP-46168-M,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Ciaran,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,1.5510131571156216,0.7359340337318242
FREP-57127-C,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,3.6109179126442243,1.2387148053982786,5.62734758202732
FREP-60451-C,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Dudley,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,1.5737381319239567,0.7754404236241748
FREP-76926-V,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Eunice,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,3.4339872044851463,4.252871682352872,0.6705717880926975
FREP-82606-C,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Babet,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,3.8918202981106265,1.1149523239419978,7.710995745963383
FREP-83630-C,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Ciaran,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,1.6023684248742331,0.8266832711124219
FREP-87895-V,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Ciaran,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,1.9459101490553132,1.670081804683336,0.07608127555898613
