model,gust_ms,gust_z,predicted_level
E0_gust_dose_response,20.567347511953237,2.047795959439341,10.809446010335302
E0_gust_dose_response,21.077551608182947,2.1454854339940264,11.23863878167752
E0_gust_dose_response,21.587755704412658,2.243174908548712,11.707813507605623
E0_gust_dose_response,22.097959800642364,2.340864383103397,12.220519996873055
E0_gust_dose_response,22.608163896872075,2.4385538576580825,12.78072184054509
E0_gust_dose_response,23.118367993101785,2.5362433322127678,13.392846363718336
E0_gust_dose_response,23.62857208933149,2.6339328067674526,14.061841475101096
E0_gust_dose_response,24.138776185561202,2.7316222813221382,14.793240416682487
E0_gust_dose_response,24.648980281790912,2.829311755876824,15.593235574006975
E0_gust_dose_response,25.15918437802062,2.9270012304315087,16.46876269214577
E0_gust_dose_response,25.66938847425033,3.024690704986194,17.427597057952884
E0_gust_dose_response,26.179592570480036,3.1223801795408788,18.478463461102837
E0_gust_dose_response,26.689796666709746,3.2200696540955644,19.63116204124158
E0_gust_dose_response,27.200000762939453,3.3177591286502492,20.896712474074775
R0c_gust_dose_response,2.200000047683716,-1.4706281284041818,5.812431396363336
R0c_gust_dose_response,2.708163319801798,-1.3732605267693636,5.686398983636097
R0c_gust_dose_response,3.21632659191988,-1.2758929251345454,5.571463720008062
R0c_gust_dose_response,3.7244898640379613,-1.1785253234997275,5.467059179225552
R0c_gust_dose_response,4.232653136156044,-1.0811577218649093,5.372677012678505
R0c_gust_dose_response,4.740816408274125,-0.9837901202300913,5.287862830851071
R0c_gust_dose_response,5.248979680392207,-0.8864225185952732,5.212212561195621
R0c_gust_dose_response,5.757142952510289,-0.789054916960455,5.145369241598726
R0c_gust_dose_response,6.265306224628371,-0.691687315325637,5.087020213834533
R0c_gust_dose_response,6.773469496746452,-0.5943197136908189,5.03689468612003
R0c_gust_dose_response,7.281632768864535,-0.49695211205600076,4.9947616381685
R0c_gust_dose_response,7.789796040982616,-0.3995845104211827,4.960428046046272
R0c_gust_dose_response,8.297959313100698,-0.3022169087863647,4.9337374077302485
R0c_gust_dose_response,8.80612258521878,-0.2048493071515465,4.914568553591829
R0c_gust_dose_response,9.314285857336863,-0.1074817055167283,4.902834729143809
R0c_gust_dose_response,9.822449129454945,-0.010114103881910102,4.898482940324503
R0c_gust_dose_response,10.330612401573026,0.08725349775290775,4.901493554398256
R0c_gust_dose_response,10.838775673691108,0.18462109938772595,4.9118801522623325
R0c_gust_dose_response,11.346938945809189,0.2819887010225438,4.929689630603942
R0c_gust_dose_response,11.855102217927271,0.37935630265736203,4.955002554983728
R0c_gust_dose_response,12.363265490045354,0.4767239042921802,4.987933767569288
R0c_gust_dose_response,12.871428762163434,0.5740915059269981,5.028633255940027
R0c_gust_dose_response,13.379592034281517,0.6714591075618163,5.077287292169579
R0c_gust_dose_response,13.8877553063996,0.7688267091966344,5.134119854302629
R0c_gust_dose_response,14.39591857851768,0.8661943108314523,5.199394345419114
R0c_gust_dose_response,14.904081850635762,0.9635619124662705,5.273415628764074
R0c_gust_dose_response,15.412245122753845,1.0609295141010886,5.356532400961912
R0c_gust_dose_response,15.920408394871927,1.158297115735907,5.449139929180886
R0c_gust_dose_response,16.42857166699001,1.2556647173707252,5.551683182323095
R0c_gust_dose_response,16.936734939108092,1.3530323190055433,5.664660390949548
R0c_gust_dose_response,17.444898211226175,1.4503999206403615,5.788627075778608
R0c_gust_dose_response,17.953061483344253,1.547767522275179,5.924200590297716
R0c_gust_dose_response,18.461224755462336,1.6451351239099972,6.072065229390812
R0c_gust_dose_response,18.96938802758042,1.7425027255448153,6.232977963007651
R0c_gust_dose_response,19.4775512996985,1.8398703271796335,6.407774861899678
R0c_gust_dose_response,19.985714571816583,1.937237928814452,6.59737829144987
